"flush_policy","repeat_index","gpu_utilization_mean_pct","gpu_utilization_max_pct","gpu_memory_used_mean_mib","gpu_memory_used_max_mib","vllm_running_max","vllm_waiting_max","kv_cache_usage_max","server_version","pgvector_version"
"immediate","1","65.831325","92","11418.361446","11434","8","0","0.0270205833267106","18.4 (Debian 18.4-1.pgdg12+1)","0.8.2"
"immediate","2","64.975904","92","11421.445783","11428","8","0","0.0237622188667249","18.4 (Debian 18.4-1.pgdg12+1)","0.8.2"
"immediate","3","68.714286","92","11418.52381","11430","8","0","0.01939124215211","18.4 (Debian 18.4-1.pgdg12+1)","0.8.2"
"immediate","4","69.253012","92","11429.433735","11446","8","0","0.0225701343081935","18.4 (Debian 18.4-1.pgdg12+1)","0.8.2"
"immediate","5","69.380952","92","11424.52381","11444","8","0","0.0209806882301518","18.4 (Debian 18.4-1.pgdg12+1)","0.8.2"
"fixed_timeout","1","62.768293","92","11500.695122","11555","10","0","0.0200270205833267","18.4 (Debian 18.4-1.pgdg12+1)","0.8.2"
"fixed_timeout","2","70.26506","92","11463.915663","11478","13","0","0.0232853850433125","18.4 (Debian 18.4-1.pgdg12+1)","0.8.2"
"fixed_timeout","3","65.22619","92","11467.97619","11478","13","0","0.0254311372486689","18.4 (Debian 18.4-1.pgdg12+1)","0.8.2"
"fixed_timeout","4","70.73494","93","11468.156627","11471","11","0","0.0190733529365016","18.4 (Debian 18.4-1.pgdg12+1)","0.8.2"
"fixed_timeout","5","67.590361","90","11463.301205","11470","12","0","0.0205038544067393","18.4 (Debian 18.4-1.pgdg12+1)","0.8.2"
"queue_adaptive","1","66.987952","92","11336.650602","11343","8","0","0.0186759914169912","18.4 (Debian 18.4-1.pgdg12+1)","0.8.2"
"queue_adaptive","2","65.752941","91","11336.541176","11343","8","0","0.0232853850433125","18.4 (Debian 18.4-1.pgdg12+1)","0.8.2"
"queue_adaptive","3","67.298851","92","11340.781609","11376","8","0","0.0165302392116348","18.4 (Debian 18.4-1.pgdg12+1)","0.8.2"
"queue_adaptive","4","63.702381","92","11359.142857","11378","8","0","0.0257490264642772","18.4 (Debian 18.4-1.pgdg12+1)","0.8.2"
"queue_adaptive","5","67.493976","93","11352.783133","11361","8","0","0.020265437495033","18.4 (Debian 18.4-1.pgdg12+1)","0.8.2"
