"experiment_id","phase","repeat_index","flush_policy","server_version","pgvector_version","model_backend","total_rows","observed_tokens","e2e_s","rows_per_s","tokens_per_s","operator_invocations","batch_rows_mean","batch_service_s_p95","batch_service_s_p99","vllm_e2e_request_latency_mean_s","vllm_request_queue_time_mean_s","model_request_wall_s","max_inflight_seen"
"accelerated_arrival_formal_immediate","formal","1","immediate","18.4 (Debian 18.4-1.pgdg12+1)","0.8.2","compatible_http","512","70588","28.212966","18.148","2501.97","512","1","0.265507","0.277205","0.214575","7E-06","27.378618","8"
"accelerated_arrival_formal_immediate","formal","2","immediate","18.4 (Debian 18.4-1.pgdg12+1)","0.8.2","compatible_http","512","70570","28.270064","18.111","2496.28","512","1","0.271496","0.288464","0.215746","6E-06","27.412736","8"
"accelerated_arrival_formal_immediate","formal","3","immediate","18.4 (Debian 18.4-1.pgdg12+1)","0.8.2","compatible_http","512","70568","28.514467","17.956","2474.814","512","1","0.27041","0.280606","0.218279","7E-06","27.577552","8"
"accelerated_arrival_formal_immediate","formal","4","immediate","18.4 (Debian 18.4-1.pgdg12+1)","0.8.2","compatible_http","512","70565","28.45132","17.996","2480.201","512","1","0.268077","0.289929","0.219322","6E-06","27.611223","8"
"accelerated_arrival_formal_immediate","formal","5","immediate","18.4 (Debian 18.4-1.pgdg12+1)","0.8.2","compatible_http","512","70580","28.700877","17.839","2459.158","512","1","0.259274","0.269086","0.212592","7E-06","27.783381","8"
"accelerated_arrival_formal_fixed_timeout","formal","1","fixed_timeout","18.4 (Debian 18.4-1.pgdg12+1)","0.8.2","compatible_http","512","70578","28.038015","18.261","2517.225","465","1.101075","0.258629","0.27555","0.218108","7E-06","27.098232","8"
"accelerated_arrival_formal_fixed_timeout","formal","2","fixed_timeout","18.4 (Debian 18.4-1.pgdg12+1)","0.8.2","compatible_http","512","70580","28.274873","18.108","2496.209","464","1.103448","0.264343","0.287985","0.216921","7E-06","27.276233","8"
"accelerated_arrival_formal_fixed_timeout","formal","3","fixed_timeout","18.4 (Debian 18.4-1.pgdg12+1)","0.8.2","compatible_http","512","70567","28.638098","17.878","2464.095","467","1.09636","0.270986","0.286277","0.21837","7E-06","27.537138","8"
"accelerated_arrival_formal_fixed_timeout","formal","4","fixed_timeout","18.4 (Debian 18.4-1.pgdg12+1)","0.8.2","compatible_http","512","70579","28.387444","18.036","2486.275","467","1.09636","0.265542","0.281366","0.218417","8E-06","27.386006","8"
"accelerated_arrival_formal_fixed_timeout","formal","5","fixed_timeout","18.4 (Debian 18.4-1.pgdg12+1)","0.8.2","compatible_http","512","70584","28.5577","17.929","2471.628","467","1.09636","0.273636","0.287813","0.223009","7E-06","27.48076","8"
"accelerated_arrival_formal_queue_adaptive","formal","1","queue_adaptive","18.4 (Debian 18.4-1.pgdg12+1)","0.8.2","compatible_http","512","70563","28.329922","18.073","2490.759","512","1","0.25713","0.272908","0.215941","7E-06","27.383424","8"
"accelerated_arrival_formal_queue_adaptive","formal","2","queue_adaptive","18.4 (Debian 18.4-1.pgdg12+1)","0.8.2","compatible_http","512","70580","28.850073","17.747","2446.441","512","1","0.283658","0.302039","0.224842","7E-06","27.904501","8"
"accelerated_arrival_formal_queue_adaptive","formal","3","queue_adaptive","18.4 (Debian 18.4-1.pgdg12+1)","0.8.2","compatible_http","512","70578","29.595048","17.3","2384.791","512","1","0.274936","0.297798","0.222212","8E-06","28.666409","8"
"accelerated_arrival_formal_queue_adaptive","formal","4","queue_adaptive","18.4 (Debian 18.4-1.pgdg12+1)","0.8.2","compatible_http","512","70567","28.685659","17.849","2460.01","512","1","0.279491","0.303775","0.226541","8E-06","27.837394","8"
"accelerated_arrival_formal_queue_adaptive","formal","5","queue_adaptive","18.4 (Debian 18.4-1.pgdg12+1)","0.8.2","compatible_http","512","70572","28.110216","18.214","2510.546","512","1","0.260193","0.274009","0.217015","8E-06","27.351439","8"
