status,experiment_id,phase,repeat_index,server_version,pgvector_version,gpu_metrics_status,gpu_name,gpu_utilization_pct,gpu_memory_used_mib,gpu_memory_total_mib,database_trigger,job_id,operator,seed_workload,executor,strategy,data_source,source_workload_name,source_order,organizer,organizer_partition_mode,organizer_partitions,daft_runner,organizer_partition_effective,model_backend,model_endpoint_url,model_name,model_request_timeout_s,total_rows,written_rows,db_fetch_rows,ray_batch_rows,batching_policy,token_budget,embedding_dim,embedding_vector_dim,completion_max_tokens,model_workers,max_inflight_limit,endpoint_routing,pool_routing,endpoint_pool_ids,endpoint_gpu_ids,long_request_token_threshold,scheduling_policy,adaptive_min_inflight,adaptive_max_inflight,controller_min_window,controller_max_window,adaptive_sample_interval_s,adaptive_downshifts,adaptive_upshifts,adaptive_limit_mean,control_trace_path,control_trace_events,arrival_replay,arrival_time_scale,arrival_replay_preload,flush_policy,flush_timeout_ms,flush_max_wait_ms,flush_trace_output,flush_trace_path,flush_trace_events,submission_trace_path,submission_trace_events,resource_trace_path,resource_trace_events,writeback_mode,write_batch_rows,object_count,operator_invocations,max_inflight_seen,token_count,batch_rows_min,batch_rows_max,batch_rows_mean,batch_tokens_min,batch_tokens_max,batch_tokens_mean,batch_tokens_p50,batch_tokens_p95,batch_service_s_p50,batch_service_s_p95,batch_service_s_p99,vllm_metrics_status,vllm_prompt_tokens_delta,vllm_generation_tokens_delta,vllm_request_success_delta,vllm_e2e_request_latency_mean_s,vllm_request_queue_time_mean_s,vllm_request_inference_time_mean_s,vllm_request_prefill_time_mean_s,vllm_request_decode_time_mean_s,vllm_num_requests_running_after,vllm_num_requests_waiting_after,vllm_kv_cache_usage_perc_after,db_fetch_s,arrow_build_s,source_fetch_s,organizer_from_arrow_s,organizer_plan_s,organizer_collect_s,organization_policy_family,batch_prompt_token_spread_mean,prefix_group_ratio,organizer_warnings,model_service_s,model_request_wall_s,operator_wall_s,submit_s,bounded_wait_s,avg_bounded_wait_s,fanin_s,writeback_s,e2e_s,rows_per_s
ok,accelerated_arrival_formal_immediate,warmup,1,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,snapshot,NVIDIA GeForce RTX 5070,23,11537,12227,job_table,782,ai_complete,synthetic,ray_task,coalesced,daft_postgres,sharegpt_burstgpt,arrival_time,arrow,none,0,,true,compatible_http,http://localhost:8000/v1/completions,qwen2.5-1.5b,180.0,512,0,512,512,token_budget,6144,128,128,16,2,8,round_robin,none,default,0,0,static,0,0,0,0,0,0,0,8.0,,0,True,0.0005,bounded_requested_workload,immediate,25.0,50.0,D:\Code\ai-operator-execution-optimization\.worktrees\scheduling-foundation\experiments\results\accelerated_arrival_flush_20260725\formal_immediate_flush_trace.csv,D:\Code\ai-operator-execution-optimization\.worktrees\scheduling-foundation\experiments\results\accelerated_arrival_flush_20260725\formal_immediate_flush_trace.csv,512,D:\Code\ai-operator-execution-optimization\.worktrees\scheduling-foundation\experiments\results\accelerated_arrival_flush_20260725\formal_immediate_submission_trace.csv,512,D:\Code\ai-operator-execution-optimization\.worktrees\scheduling-foundation\experiments\results\accelerated_arrival_flush_20260725\formal_immediate_resource_trace.csv,92,none,0,512,512,8,70588,1,1,1.0,17,1867,137.867188,38.0,766.0,0.255321,0.403909,0.535321,ok,62396,8192,512,0.259194,3e-05,0.245463,0.036224,0.209239,0,0,0.0,0.526337,0.0,0.526337,0.0,0.0,0.0,none,0.0,0.0,,139.08799,27.550475,29.899875,0.835997,17.364469,0.034453,0.115598,9e-06,31.39743,16.307
ok,accelerated_arrival_formal_immediate,formal,1,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,snapshot,NVIDIA GeForce RTX 5070,24,11430,12227,job_table,783,ai_complete,synthetic,ray_task,coalesced,daft_postgres,sharegpt_burstgpt,arrival_time,arrow,none,0,,true,compatible_http,http://localhost:8000/v1/completions,qwen2.5-1.5b,180.0,512,0,512,512,token_budget,6144,128,128,16,2,8,round_robin,none,default,0,0,static,0,0,0,0,0,0,0,8.0,,0,True,0.0005,bounded_requested_workload,immediate,25.0,50.0,D:\Code\ai-operator-execution-optimization\.worktrees\scheduling-foundation\experiments\results\accelerated_arrival_flush_20260725\formal_immediate_flush_trace.csv,D:\Code\ai-operator-execution-optimization\.worktrees\scheduling-foundation\experiments\results\accelerated_arrival_flush_20260725\formal_immediate_flush_trace.csv,512,D:\Code\ai-operator-execution-optimization\.worktrees\scheduling-foundation\experiments\results\accelerated_arrival_flush_20260725\formal_immediate_submission_trace.csv,512,D:\Code\ai-operator-execution-optimization\.worktrees\scheduling-foundation\experiments\results\accelerated_arrival_flush_20260725\formal_immediate_resource_trace.csv,83,none,0,512,512,8,70588,1,1,1.0,17,1867,137.867188,38.0,766.0,0.226753,0.265507,0.277205,ok,62396,8192,512,0.214575,7e-06,0.20491,0.023535,0.181375,0,0,0.0,0.078821,0.0,0.078821,0.0,0.0,0.0,none,0.0,0.0,,116.648542,27.378618,27.400722,0.824307,11.793729,0.0234,0.11856,1.3e-05,28.212966,18.148
ok,accelerated_arrival_formal_immediate,formal,2,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,snapshot,NVIDIA GeForce RTX 5070,23,11410,12227,job_table,784,ai_complete,synthetic,ray_task,coalesced,daft_postgres,sharegpt_burstgpt,arrival_time,arrow,none,0,,true,compatible_http,http://localhost:8000/v1/completions,qwen2.5-1.5b,180.0,512,0,512,512,token_budget,6144,128,128,16,2,8,round_robin,none,default,0,0,static,0,0,0,0,0,0,0,8.0,,0,True,0.0005,bounded_requested_workload,immediate,25.0,50.0,D:\Code\ai-operator-execution-optimization\.worktrees\scheduling-foundation\experiments\results\accelerated_arrival_flush_20260725\formal_immediate_flush_trace.csv,D:\Code\ai-operator-execution-optimization\.worktrees\scheduling-foundation\experiments\results\accelerated_arrival_flush_20260725\formal_immediate_flush_trace.csv,512,D:\Code\ai-operator-execution-optimization\.worktrees\scheduling-foundation\experiments\results\accelerated_arrival_flush_20260725\formal_immediate_submission_trace.csv,512,D:\Code\ai-operator-execution-optimization\.worktrees\scheduling-foundation\experiments\results\accelerated_arrival_flush_20260725\formal_immediate_resource_trace.csv,83,none,0,512,512,8,70570,1,1,1.0,17,1867,137.832031,38.0,766.0,0.227015,0.271496,0.288464,ok,62396,8174,512,0.215746,6e-06,0.206036,0.023537,0.1825,0,0,0.0,0.075914,0.0,0.075914,0.0,0.0,0.0,none,0.0,0.0,,117.561311,27.412736,27.432193,0.842896,11.7578,0.023329,0.118102,1.1e-05,28.270064,18.111
ok,accelerated_arrival_formal_immediate,formal,3,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,snapshot,NVIDIA GeForce RTX 5070,75,11412,12227,job_table,785,ai_complete,synthetic,ray_task,coalesced,daft_postgres,sharegpt_burstgpt,arrival_time,arrow,none,0,,true,compatible_http,http://localhost:8000/v1/completions,qwen2.5-1.5b,180.0,512,0,512,512,token_budget,6144,128,128,16,2,8,round_robin,none,default,0,0,static,0,0,0,0,0,0,0,8.0,,0,True,0.0005,bounded_requested_workload,immediate,25.0,50.0,D:\Code\ai-operator-execution-optimization\.worktrees\scheduling-foundation\experiments\results\accelerated_arrival_flush_20260725\formal_immediate_flush_trace.csv,D:\Code\ai-operator-execution-optimization\.worktrees\scheduling-foundation\experiments\results\accelerated_arrival_flush_20260725\formal_immediate_flush_trace.csv,512,D:\Code\ai-operator-execution-optimization\.worktrees\scheduling-foundation\experiments\results\accelerated_arrival_flush_20260725\formal_immediate_submission_trace.csv,512,D:\Code\ai-operator-execution-optimization\.worktrees\scheduling-foundation\experiments\results\accelerated_arrival_flush_20260725\formal_immediate_resource_trace.csv,84,none,0,512,512,8,70568,1,1,1.0,17,1867,137.828125,38.0,766.0,0.231461,0.27041,0.280606,ok,62396,8172,512,0.218279,7e-06,0.208736,0.024048,0.184689,0,0,0.0,0.07951,0.0,0.07951,0.0,0.0,0.0,none,0.0,0.0,,118.538057,27.577552,27.603935,0.841741,11.465118,0.022748,0.118005,1.2e-05,28.514467,17.956
ok,accelerated_arrival_formal_immediate,formal,4,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,snapshot,NVIDIA GeForce RTX 5070,90,11420,12227,job_table,786,ai_complete,synthetic,ray_task,coalesced,daft_postgres,sharegpt_burstgpt,arrival_time,arrow,none,0,,true,compatible_http,http://localhost:8000/v1/completions,qwen2.5-1.5b,180.0,512,0,512,512,token_budget,6144,128,128,16,2,8,round_robin,none,default,0,0,static,0,0,0,0,0,0,0,8.0,,0,True,0.0005,bounded_requested_workload,immediate,25.0,50.0,D:\Code\ai-operator-execution-optimization\.worktrees\scheduling-foundation\experiments\results\accelerated_arrival_flush_20260725\formal_immediate_flush_trace.csv,D:\Code\ai-operator-execution-optimization\.worktrees\scheduling-foundation\experiments\results\accelerated_arrival_flush_20260725\formal_immediate_flush_trace.csv,512,D:\Code\ai-operator-execution-optimization\.worktrees\scheduling-foundation\experiments\results\accelerated_arrival_flush_20260725\formal_immediate_submission_trace.csv,512,D:\Code\ai-operator-execution-optimization\.worktrees\scheduling-foundation\experiments\results\accelerated_arrival_flush_20260725\formal_immediate_resource_trace.csv,83,none,0,512,512,8,70565,1,1,1.0,17,1867,137.822266,38.0,766.0,0.23096,0.268077,0.289929,ok,62396,8169,512,0.219322,6e-06,0.209397,0.024019,0.185379,0,0,0.0,0.077635,0.0,0.077635,0.0,0.0,0.0,none,0.0,0.0,,119.209982,27.611223,27.634437,0.865969,11.773801,0.023361,0.120681,1.1e-05,28.45132,17.996
ok,accelerated_arrival_formal_immediate,formal,5,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,snapshot,NVIDIA GeForce RTX 5070,92,11418,12227,job_table,787,ai_complete,synthetic,ray_task,coalesced,daft_postgres,sharegpt_burstgpt,arrival_time,arrow,none,0,,true,compatible_http,http://localhost:8000/v1/completions,qwen2.5-1.5b,180.0,512,0,512,512,token_budget,6144,128,128,16,2,8,round_robin,none,default,0,0,static,0,0,0,0,0,0,0,8.0,,0,True,0.0005,bounded_requested_workload,immediate,25.0,50.0,D:\Code\ai-operator-execution-optimization\.worktrees\scheduling-foundation\experiments\results\accelerated_arrival_flush_20260725\formal_immediate_flush_trace.csv,D:\Code\ai-operator-execution-optimization\.worktrees\scheduling-foundation\experiments\results\accelerated_arrival_flush_20260725\formal_immediate_flush_trace.csv,512,D:\Code\ai-operator-execution-optimization\.worktrees\scheduling-foundation\experiments\results\accelerated_arrival_flush_20260725\formal_immediate_submission_trace.csv,512,D:\Code\ai-operator-execution-optimization\.worktrees\scheduling-foundation\experiments\results\accelerated_arrival_flush_20260725\formal_immediate_resource_trace.csv,84,none,0,512,512,8,70580,1,1,1.0,17,1867,137.851562,38.0,766.0,0.226197,0.259274,0.269086,ok,62396,8184,512,0.212592,7e-06,0.202595,0.023319,0.179276,0,0,0.0,0.077596,0.0,0.077596,0.0,0.0,0.0,none,0.0,0.0,,115.844959,27.783381,27.80436,1.126462,11.919203,0.023649,0.109309,3e-05,28.700877,17.839
ok,accelerated_arrival_formal_fixed_timeout,warmup,1,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,snapshot,NVIDIA GeForce RTX 5070,23,11419,12227,job_table,788,ai_complete,synthetic,ray_task,coalesced,daft_postgres,sharegpt_burstgpt,arrival_time,arrow,none,0,,true,compatible_http,http://localhost:8000/v1/completions,qwen2.5-1.5b,180.0,512,0,512,512,token_budget,6144,128,128,16,2,8,round_robin,none,default,0,0,static,0,0,0,0,0,0,0,8.0,,0,True,0.0005,bounded_requested_workload,fixed_timeout,25.0,50.0,D:\Code\ai-operator-execution-optimization\.worktrees\scheduling-foundation\experiments\results\accelerated_arrival_flush_20260725\formal_fixed_timeout_flush_trace.csv,D:\Code\ai-operator-execution-optimization\.worktrees\scheduling-foundation\experiments\results\accelerated_arrival_flush_20260725\formal_fixed_timeout_flush_trace.csv,633,D:\Code\ai-operator-execution-optimization\.worktrees\scheduling-foundation\experiments\results\accelerated_arrival_flush_20260725\formal_fixed_timeout_submission_trace.csv,469,D:\Code\ai-operator-execution-optimization\.worktrees\scheduling-foundation\experiments\results\accelerated_arrival_flush_20260725\formal_fixed_timeout_resource_trace.csv,86,none,0,469,469,8,70577,1,5,1.091684,12,1867,150.484009,42.0,923.0,0.243117,0.286985,0.321067,ok,62396,8181,512,0.232516,7e-06,0.222249,0.025705,0.196544,0,0,0.0,0.569836,0.0,0.569836,0.0,0.0,0.0,none,0.0,0.0,,114.896929,25.54416,27.937313,0.800947,13.250085,0.028742,0.11257,1.3e-05,29.478561,17.369
ok,accelerated_arrival_formal_fixed_timeout,formal,1,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,snapshot,NVIDIA GeForce RTX 5070,86,11471,12227,job_table,789,ai_complete,synthetic,ray_task,coalesced,daft_postgres,sharegpt_burstgpt,arrival_time,arrow,none,0,,true,compatible_http,http://localhost:8000/v1/completions,qwen2.5-1.5b,180.0,512,0,512,512,token_budget,6144,128,128,16,2,8,round_robin,none,default,0,0,static,0,0,0,0,0,0,0,8.0,,0,True,0.0005,bounded_requested_workload,fixed_timeout,25.0,50.0,D:\Code\ai-operator-execution-optimization\.worktrees\scheduling-foundation\experiments\results\accelerated_arrival_flush_20260725\formal_fixed_timeout_flush_trace.csv,D:\Code\ai-operator-execution-optimization\.worktrees\scheduling-foundation\experiments\results\accelerated_arrival_flush_20260725\formal_fixed_timeout_flush_trace.csv,654,D:\Code\ai-operator-execution-optimization\.worktrees\scheduling-foundation\experiments\results\accelerated_arrival_flush_20260725\formal_fixed_timeout_submission_trace.csv,465,D:\Code\ai-operator-execution-optimization\.worktrees\scheduling-foundation\experiments\results\accelerated_arrival_flush_20260725\formal_fixed_timeout_resource_trace.csv,82,none,0,465,465,8,70578,1,5,1.101075,17,1867,151.780645,42.0,923.0,0.229457,0.258629,0.27555,ok,62396,8182,512,0.218108,7e-06,0.208296,0.023634,0.184662,0,0,0.0,0.073856,0.0,0.073856,0.0,0.0,0.0,none,0.0,0.0,,107.150303,27.098232,27.147458,0.77654,9.515823,0.020822,0.107734,1.2e-05,28.038015,18.261
ok,accelerated_arrival_formal_fixed_timeout,formal,2,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,snapshot,NVIDIA GeForce RTX 5070,69,11458,12227,job_table,790,ai_complete,synthetic,ray_task,coalesced,daft_postgres,sharegpt_burstgpt,arrival_time,arrow,none,0,,true,compatible_http,http://localhost:8000/v1/completions,qwen2.5-1.5b,180.0,512,0,512,512,token_budget,6144,128,128,16,2,8,round_robin,none,default,0,0,static,0,0,0,0,0,0,0,8.0,,0,True,0.0005,bounded_requested_workload,fixed_timeout,25.0,50.0,D:\Code\ai-operator-execution-optimization\.worktrees\scheduling-foundation\experiments\results\accelerated_arrival_flush_20260725\formal_fixed_timeout_flush_trace.csv,D:\Code\ai-operator-execution-optimization\.worktrees\scheduling-foundation\experiments\results\accelerated_arrival_flush_20260725\formal_fixed_timeout_flush_trace.csv,654,D:\Code\ai-operator-execution-optimization\.worktrees\scheduling-foundation\experiments\results\accelerated_arrival_flush_20260725\formal_fixed_timeout_submission_trace.csv,464,D:\Code\ai-operator-execution-optimization\.worktrees\scheduling-foundation\experiments\results\accelerated_arrival_flush_20260725\formal_fixed_timeout_resource_trace.csv,83,none,0,464,464,8,70580,1,5,1.103448,17,1867,152.112069,42.0,923.0,0.228652,0.264343,0.287985,ok,62396,8184,512,0.216921,7e-06,0.207282,0.023126,0.184156,0,0,0.0,0.080958,0.0,0.080958,0.0,0.0,0.0,none,0.0,0.0,,106.55253,27.276233,27.330856,0.769365,9.729947,0.021338,0.099859,1e-05,28.274873,18.108
ok,accelerated_arrival_formal_fixed_timeout,formal,3,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,snapshot,NVIDIA GeForce RTX 5070,24,11458,12227,job_table,791,ai_complete,synthetic,ray_task,coalesced,daft_postgres,sharegpt_burstgpt,arrival_time,arrow,none,0,,true,compatible_http,http://localhost:8000/v1/completions,qwen2.5-1.5b,180.0,512,0,512,512,token_budget,6144,128,128,16,2,8,round_robin,none,default,0,0,static,0,0,0,0,0,0,0,8.0,,0,True,0.0005,bounded_requested_workload,fixed_timeout,25.0,50.0,D:\Code\ai-operator-execution-optimization\.worktrees\scheduling-foundation\experiments\results\accelerated_arrival_flush_20260725\formal_fixed_timeout_flush_trace.csv,D:\Code\ai-operator-execution-optimization\.worktrees\scheduling-foundation\experiments\results\accelerated_arrival_flush_20260725\formal_fixed_timeout_flush_trace.csv,653,D:\Code\ai-operator-execution-optimization\.worktrees\scheduling-foundation\experiments\results\accelerated_arrival_flush_20260725\formal_fixed_timeout_submission_trace.csv,467,D:\Code\ai-operator-execution-optimization\.worktrees\scheduling-foundation\experiments\results\accelerated_arrival_flush_20260725\formal_fixed_timeout_resource_trace.csv,84,none,0,467,467,8,70567,1,5,1.09636,6,1867,151.107066,41.0,923.0,0.228674,0.270986,0.286277,ok,62396,8171,512,0.21837,7e-06,0.208153,0.023707,0.184446,0,0,0.0,0.070248,0.0,0.070248,0.0,0.0,0.0,none,0.0,0.0,,107.732673,27.537138,27.601495,1.045479,9.70275,0.021139,0.096719,1e-05,28.638098,17.878
