"schema_version","experiment_id","phase","repeat_index","job_id","sample_index","sample_epoch_s","gpu_metrics_status","gpu_name","gpu_utilization_pct","gpu_memory_used_mib","gpu_memory_total_mib","vllm_metrics_status","vllm_num_requests_running","vllm_num_requests_waiting","vllm_kv_cache_usage_perc","server_version","pgvector_version"
"1","accelerated_arrival_gate_immediate","formal","1","779","0","1784982291.6765285","snapshot","NVIDIA GeForce RTX 5070","25","11436","12227","ok","0","0","0.0","18.4 (Debian 18.4-1.pgdg12+1)","0.8.2"
"1","accelerated_arrival_gate_immediate","formal","1","779","1","1784982292.0015574","snapshot","NVIDIA GeForce RTX 5070","24","11428","12227","ok","0","0","0.0","18.4 (Debian 18.4-1.pgdg12+1)","0.8.2"
"1","accelerated_arrival_gate_immediate","formal","1","779","2","1784982292.3347363","snapshot","NVIDIA GeForce RTX 5070","24","11428","12227","ok","0","0","0.0","18.4 (Debian 18.4-1.pgdg12+1)","0.8.2"
"1","accelerated_arrival_gate_immediate","formal","1","779","3","1784982292.671588","snapshot","NVIDIA GeForce RTX 5070","24","11428","12227","ok","0","0","0.0","18.4 (Debian 18.4-1.pgdg12+1)","0.8.2"
"1","accelerated_arrival_gate_immediate","formal","1","779","4","1784982292.9963782","snapshot","NVIDIA GeForce RTX 5070","25","11428","12227","ok","0","0","0.0","18.4 (Debian 18.4-1.pgdg12+1)","0.8.2"
"1","accelerated_arrival_gate_immediate","formal","1","779","5","1784982293.3400714","snapshot","NVIDIA GeForce RTX 5070","25","11428","12227","ok","0","0","0.0","18.4 (Debian 18.4-1.pgdg12+1)","0.8.2"
"1","accelerated_arrival_gate_immediate","formal","1","779","6","1784982293.66576","snapshot","NVIDIA GeForce RTX 5070","25","11428","12227","ok","0","0","0.0","18.4 (Debian 18.4-1.pgdg12+1)","0.8.2"
"1","accelerated_arrival_gate_immediate","formal","1","779","7","1784982293.9902806","snapshot","NVIDIA GeForce RTX 5070","25","11420","12227","ok","0","0","0.0","18.4 (Debian 18.4-1.pgdg12+1)","0.8.2"
"1","accelerated_arrival_gate_immediate","formal","1","779","8","1784982294.3312957","snapshot","NVIDIA GeForce RTX 5070","25","11420","12227","ok","0","0","0.0","18.4 (Debian 18.4-1.pgdg12+1)","0.8.2"
"1","accelerated_arrival_gate_immediate","formal","1","779","9","1784982294.6722276","snapshot","NVIDIA GeForce RTX 5070","25","11425","12227","ok","0","0","0.0","18.4 (Debian 18.4-1.pgdg12+1)","0.8.2"
"1","accelerated_arrival_gate_immediate","formal","1","779","10","1784982295.0150166","snapshot","NVIDIA GeForce RTX 5070","26","11425","12227","ok","7","0","0.0027815306365731596","18.4 (Debian 18.4-1.pgdg12+1)","0.8.2"
"1","accelerated_arrival_gate_immediate","formal","1","779","11","1784982295.3522418","snapshot","NVIDIA GeForce RTX 5070","26","11425","12227","ok","7","0","0.0012715568624334095","18.4 (Debian 18.4-1.pgdg12+1)","0.8.2"
"1","accelerated_arrival_gate_immediate","formal","1","779","12","1784982295.6901484","snapshot","NVIDIA GeForce RTX 5070","26","11424","12227","ok","5","0","0.007947230390209059","18.4 (Debian 18.4-1.pgdg12+1)","0.8.2"
"1","accelerated_arrival_gate_immediate","formal","1","779","13","1784982296.011761","snapshot","NVIDIA GeForce RTX 5070","85","11420","12227","ok","7","0","0.0021457522053563993","18.4 (Debian 18.4-1.pgdg12+1)","0.8.2"
"1","accelerated_arrival_gate_immediate","formal","1","779","14","1784982296.3624816","snapshot","NVIDIA GeForce RTX 5070","85","11420","12227","ok","7","0","0.00206627990145436","18.4 (Debian 18.4-1.pgdg12+1)","0.8.2"
"1","accelerated_arrival_gate_immediate","formal","1","779","15","1784982296.6898263","snapshot","NVIDIA GeForce RTX 5070","85","11420","12227","ok","6","0","0.0034967813716919594","18.4 (Debian 18.4-1.pgdg12+1)","0.8.2"
