schema_version,experiment_id,phase,repeat_index,job_id,server_version,pgvector_version,sample_index,sample_epoch_s,gpu_metrics_status,gpu_name,gpu_utilization_pct,gpu_memory_used_mib,gpu_memory_total_mib,gpu_power_w,vllm_metrics_status,vllm_num_requests_running,vllm_num_requests_waiting,vllm_kv_cache_usage_perc
1,adaptive_admission_controller_512_20260726,warmup,1,1140,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,0,1785070484.8215892,snapshot,NVIDIA GeForce RTX 5070,3,10139,12227,40.65,ok,0,0,0.0
1,adaptive_admission_controller_512_20260726,warmup,1,1140,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,1,1785070485.1421835,snapshot,NVIDIA GeForce RTX 5070,3,10139,12227,40.87,ok,0,0,0.0
1,adaptive_admission_controller_512_20260726,warmup,1,1140,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,2,1785070485.4885087,snapshot,NVIDIA GeForce RTX 5070,3,10139,12227,40.87,ok,0,0,0.0
1,adaptive_admission_controller_512_20260726,warmup,1,1140,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,3,1785070485.8287134,snapshot,NVIDIA GeForce RTX 5070,6,10139,12227,41.13,ok,0,0,0.0
1,adaptive_admission_controller_512_20260726,warmup,1,1140,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,4,1785070486.1576996,snapshot,NVIDIA GeForce RTX 5070,6,10139,12227,41.18,ok,0,0,0.0
1,adaptive_admission_controller_512_20260726,warmup,1,1140,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,5,1785070486.4861732,snapshot,NVIDIA GeForce RTX 5070,6,10139,12227,41.18,ok,0,0,0.0
1,adaptive_admission_controller_512_20260726,warmup,1,1140,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,6,1785070486.845105,snapshot,NVIDIA GeForce RTX 5070,5,10139,12227,41.16,ok,0,0,0.0
1,adaptive_admission_controller_512_20260726,warmup,1,1140,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,7,1785070487.1820514,snapshot,NVIDIA GeForce RTX 5070,5,10139,12227,41.11,ok,0,0,0.0
1,adaptive_admission_controller_512_20260726,warmup,1,1140,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,8,1785070487.5070133,snapshot,NVIDIA GeForce RTX 5070,5,10139,12227,41.11,ok,0,0,0.0
1,adaptive_admission_controller_512_20260726,warmup,1,1140,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,9,1785070487.850951,snapshot,NVIDIA GeForce RTX 5070,39,10139,12227,47.94,ok,11,0,0.005340453938584733
