schema_version,experiment_id,phase,repeat_index,scenario_id,random_seed,job_id,server_version,pgvector_version,request_index,request_id,submission_id,doc_id,pool_id,endpoint_id,gpu_id,prompt_tokens,estimated_output_tokens,client_estimated_output_tokens,actual_output_tokens,output_token_source,total_tokens,finish_reason,prefix_key,status,error_type,arrival_epoch_s,flush_epoch_s,submit_epoch_s,service_start_epoch_s,completion_epoch_s,buffer_s,submit_to_service_s,service_s,service_clock_domain,e2e_s,request_time_origin,latency_granularity,slo_target_s,slo_met
3,adaptive_admission_mechanism_control_512_20260726,warmup,1,aimd_4_16_initial8,20260803,1157,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,0,1157:row:1000000,1157:batch:0,1000000,default,task-0,0,34,512,205,273,endpoint_request,307,stop,5158c58cfb5aa9d5,completed,,1785071952.2293835,1785071952.308893,1785071952.316126,1785071956.195271,1785071959.0172563,0.07950949668884277,3.8791449069976807,2.8200838565826416,backend,6.787872791290283,replayed_arrival,submission,180.0,True
3,adaptive_admission_mechanism_control_512_20260726,warmup,1,aimd_4_16_initial8,20260803,1157,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,1,1157:row:1000001,1157:batch:0,1000001,default,task-0,0,17,512,64,86,endpoint_request,103,stop,c46b9b85f0bc8d8f,completed,,1785071952.2493834,1785071952.308893,1785071952.316126,1785071956.195271,1785071959.0172563,0.0595095157623291,3.8791449069976807,2.8200838565826416,backend,6.7678728103637695,replayed_arrival,submission,180.0,True
3,adaptive_admission_mechanism_control_512_20260726,warmup,1,aimd_4_16_initial8,20260803,1157,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,2,1157:row:1000002,1157:batch:1,1000002,default,task-0,0,62,512,292,477,endpoint_request,539,stop,77745dfdc2774d38,completed,,1785071952.2858834,1785071952.3548763,1785071952.3571138,1785071956.220451,1785071961.201267,0.06899285316467285,3.863337278366089,4.979653358459473,backend,8.915383577346802,replayed_arrival,submission,180.0,True
3,adaptive_admission_mechanism_control_512_20260726,warmup,1,aimd_4_16_initial8,20260803,1157,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,3,1157:row:1000003,1157:batch:1,1000003,default,task-0,0,90,512,279,392,endpoint_request,482,stop,a659f76f1324db81,completed,,1785071952.3193834,1785071952.3548763,1785071952.3571138,1785071956.220451,1785071961.201267,0.035492897033691406,3.863337278366089,4.979653358459473,backend,8.88188362121582,replayed_arrival,submission,180.0,True
3,adaptive_admission_mechanism_control_512_20260726,warmup,1,aimd_4_16_initial8,20260803,1157,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,4,1157:row:1000004,1157:batch:1,1000004,default,task-0,0,4,512,50,60,endpoint_request,64,stop,5ebb4cd922644752,completed,,1785071952.3338835,1785071952.3548763,1785071952.3571138,1785071956.220451,1785071961.201267,0.020992755889892578,3.863337278366089,4.979653358459473,backend,8.867383480072021,replayed_arrival,submission,180.0,True
3,adaptive_admission_mechanism_control_512_20260726,warmup,1,aimd_4_16_initial8,20260803,1157,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,5,1157:row:1000005,1157:batch:2,1000005,default,task-0,0,5,512,25,32,endpoint_request,37,stop,63b90a1229052208,completed,,1785071952.3433836,1785071952.4161358,1785071952.4181657,1785071956.3288028,1785071961.2204633,0.07275223731994629,3.910637140274048,4.890365839004517,backend,8.877079725265503,replayed_arrival,submission,180.0,True
3,adaptive_admission_mechanism_control_512_20260726,warmup,1,aimd_4_16_initial8,20260803,1157,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,6,1157:row:1000006,1157:batch:2,1000006,default,task-0,0,266,512,269,369,endpoint_request,635,stop,31c017e504f691cb,completed,,1785071952.3573835,1785071952.4161358,1785071952.4181657,1785071956.3288028,1785071961.2204633,0.05875229835510254,3.910637140274048,4.890365839004517,backend,8.86307978630066,replayed_arrival,submission,180.0,True
3,adaptive_admission_mechanism_control_512_20260726,warmup,1,aimd_4_16_initial8,20260803,1157,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,7,1157:row:1000007,1157:batch:2,1000007,default,task-0,0,16,512,343,466,endpoint_request,482,stop,dc990017302d002a,completed,,1785071952.3603835,1785071952.4161358,1785071952.4181657,1785071956.3288028,1785071961.2204633,0.05575227737426758,3.910637140274048,4.890365839004517,backend,8.860079765319824,replayed_arrival,submission,180.0,True
3,adaptive_admission_mechanism_control_512_20260726,warmup,1,aimd_4_16_initial8,20260803,1157,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,8,1157:row:1000008,1157:batch:3,1000008,default,task-0,0,17,512,45,55,endpoint_request,72,stop,ceec92194ed7ee15,completed,,1785071952.4318836,1785071952.5088995,1785071952.510491,1785071956.747062,1785071957.2367435,0.07701587677001953,4.2365710735321045,0.48597192764282227,backend,4.80485987663269,replayed_arrival,submission,180.0,True
3,adaptive_admission_mechanism_control_512_20260726,warmup,1,aimd_4_16_initial8,20260803,1157,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,9,1157:row:1000009,1157:batch:4,1000009,default,task-0,0,5,512,157,222,endpoint_request,227,stop,84c3b3ae00cf1180,completed,,1785071952.4943836,1785071952.5706246,1785071952.5729167,1785071956.9562294,1785071962.456283,0.07624101638793945,4.383312702178955,5.498919725418091,backend,9.961899518966675,replayed_arrival,submission,180.0,True
