schema_version,experiment_id,phase,repeat_index,job_id,server_version,pgvector_version,sample_index,sample_epoch_s,gpu_metrics_status,gpu_name,gpu_utilization_pct,gpu_memory_used_mib,gpu_memory_total_mib,gpu_power_w,vllm_metrics_status,vllm_num_requests_running,vllm_num_requests_waiting,vllm_kv_cache_usage_perc
1,adaptive_admission_mechanism_control_512_20260726,formal,1,1159,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,0,1785072090.813182,snapshot,NVIDIA GeForce RTX 5070,6,10075,12227,44.20,ok,0,0,0.0
1,adaptive_admission_mechanism_control_512_20260726,formal,1,1159,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,1,1785072091.1507075,snapshot,NVIDIA GeForce RTX 5070,5,10075,12227,44.10,ok,0,0,0.0
1,adaptive_admission_mechanism_control_512_20260726,formal,1,1159,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,2,1785072091.487492,snapshot,NVIDIA GeForce RTX 5070,5,10069,12227,44.54,ok,0,0,0.0
1,adaptive_admission_mechanism_control_512_20260726,formal,1,1159,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,3,1785072091.8176324,snapshot,NVIDIA GeForce RTX 5070,10,10069,12227,45.10,ok,0,0,0.0
1,adaptive_admission_mechanism_control_512_20260726,formal,1,1159,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,4,1785072092.158401,snapshot,NVIDIA GeForce RTX 5070,10,10076,12227,45.10,ok,0,0,0.0
1,adaptive_admission_mechanism_control_512_20260726,formal,1,1159,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,5,1785072092.5135,snapshot,NVIDIA GeForce RTX 5070,10,10076,12227,44.86,ok,0,0,0.0
1,adaptive_admission_mechanism_control_512_20260726,formal,1,1159,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,6,1785072092.8632932,snapshot,NVIDIA GeForce RTX 5070,5,10076,12227,44.22,ok,0,0,0.0
1,adaptive_admission_mechanism_control_512_20260726,formal,1,1159,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,7,1785072093.2178416,snapshot,NVIDIA GeForce RTX 5070,5,10075,12227,44.22,ok,0,0,0.0
1,adaptive_admission_mechanism_control_512_20260726,formal,1,1159,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,8,1785072093.5762172,snapshot,NVIDIA GeForce RTX 5070,5,10075,12227,43.85,ok,0,0,0.0
1,adaptive_admission_mechanism_control_512_20260726,formal,1,1159,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,9,1785072093.9354885,snapshot,NVIDIA GeForce RTX 5070,5,10075,12227,43.91,ok,0,0,0.0
1,adaptive_admission_mechanism_control_512_20260726,formal,1,1159,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,10,1785072094.2752304,snapshot,NVIDIA GeForce RTX 5070,5,10075,12227,43.91,ok,0,0,0.0
1,adaptive_admission_mechanism_control_512_20260726,formal,1,1159,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,11,1785072094.6199772,snapshot,NVIDIA GeForce RTX 5070,5,10075,12227,43.99,ok,0,0,0.0
