schema_version,experiment_id,phase,repeat_index,scenario_id,random_seed,job_id,server_version,pgvector_version,request_index,request_id,submission_id,doc_id,pool_id,endpoint_id,gpu_id,prompt_tokens,estimated_output_tokens,client_estimated_output_tokens,actual_output_tokens,output_token_source,total_tokens,finish_reason,prefix_key,status,error_type,arrival_epoch_s,flush_epoch_s,submit_epoch_s,service_start_epoch_s,completion_epoch_s,buffer_s,submit_to_service_s,service_s,service_clock_domain,e2e_s,request_time_origin,latency_granularity,slo_target_s,slo_met
3,adaptive_flush_cross_rate_screen_512_20260726,formal,1,fast_fixed_25ms,20260729,1095,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,0,1095:row:1000000,1095:batch:0,1000000,default,task-0,0,34,512,219,293,endpoint_request,327,stop,5158c58cfb5aa9d5,completed,,1785023309.4059215,1785023309.4428358,1785023309.4489777,1785023311.5350695,1785023314.9628727,0.03691434860229492,2.0860917568206787,3.4261622428894043,backend,5.556951284408569,replayed_arrival,submission,180.0,True
3,adaptive_flush_cross_rate_screen_512_20260726,formal,1,fast_fixed_25ms,20260729,1095,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,1,1095:row:1000001,1095:batch:0,1000001,default,task-0,0,17,512,64,83,endpoint_request,100,stop,c46b9b85f0bc8d8f,completed,,1785023309.4159214,1785023309.4428358,1785023309.4489777,1785023311.5350695,1785023314.9628727,0.026914358139038086,2.0860917568206787,3.4261622428894043,backend,5.5469512939453125,replayed_arrival,submission,180.0,True
3,adaptive_flush_cross_rate_screen_512_20260726,formal,1,fast_fixed_25ms,20260729,1095,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,2,1095:row:1000002,1095:batch:1,1000002,default,task-0,0,62,512,290,468,endpoint_request,530,stop,77745dfdc2774d38,completed,,1785023309.4341714,1785023309.4741585,1785023309.475961,1785023311.537904,1785023316.958453,0.03998708724975586,2.0619430541992188,5.418222188949585,backend,7.5242815017700195,replayed_arrival,submission,180.0,True
3,adaptive_flush_cross_rate_screen_512_20260726,formal,1,fast_fixed_25ms,20260729,1095,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,3,1095:row:1000003,1095:batch:1,1000003,default,task-0,0,90,512,303,456,endpoint_request,546,stop,a659f76f1324db81,completed,,1785023309.4509215,1785023309.4741585,1785023309.475961,1785023311.537904,1785023316.958453,0.023236989974975586,2.0619430541992188,5.418222188949585,backend,7.507531404495239,replayed_arrival,submission,180.0,True
3,adaptive_flush_cross_rate_screen_512_20260726,formal,1,fast_fixed_25ms,20260729,1095,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,4,1095:row:1000004,1095:batch:1,1000004,default,task-0,0,4,512,50,60,endpoint_request,64,stop,5ebb4cd922644752,completed,,1785023309.4581714,1785023309.4741585,1785023309.475961,1785023311.537904,1785023316.958453,0.015987157821655273,2.0619430541992188,5.418222188949585,backend,7.500281572341919,replayed_arrival,submission,180.0,True
3,adaptive_flush_cross_rate_screen_512_20260726,formal,1,fast_fixed_25ms,20260729,1095,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,5,1095:row:1000005,1095:batch:2,1000005,default,task-0,0,5,512,26,33,endpoint_request,38,stop,63b90a1229052208,completed,,1785023309.4629214,1785023309.5048857,1785023309.5072608,1785023311.5520563,1785023317.5240884,0.04196429252624512,2.044795513153076,5.970000505447388,backend,8.061167001724243,replayed_arrival,submission,180.0,True
3,adaptive_flush_cross_rate_screen_512_20260726,formal,1,fast_fixed_25ms,20260729,1095,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,6,1095:row:1000006,1095:batch:2,1000006,default,task-0,0,266,512,258,341,endpoint_request,607,stop,31c017e504f691cb,completed,,1785023309.4699214,1785023309.5048857,1785023309.5072608,1785023311.5520563,1785023317.5240884,0.03496432304382324,2.044795513153076,5.970000505447388,backend,8.054167032241821,replayed_arrival,submission,180.0,True
3,adaptive_flush_cross_rate_screen_512_20260726,formal,1,fast_fixed_25ms,20260729,1095,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,7,1095:row:1000007,1095:batch:2,1000007,default,task-0,0,16,512,340,512,endpoint_request,528,length,dc990017302d002a,completed,,1785023309.4714215,1785023309.5048857,1785023309.5072608,1785023311.5520563,1785023317.5240884,0.03346419334411621,2.044795513153076,5.970000505447388,backend,8.052666902542114,replayed_arrival,submission,180.0,True
3,adaptive_flush_cross_rate_screen_512_20260726,formal,1,fast_fixed_25ms,20260729,1095,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,8,1095:row:1000008,1095:batch:3,1000008,default,task-0,0,17,512,45,55,endpoint_request,72,stop,ceec92194ed7ee15,completed,,1785023309.5071714,1785023309.5523262,1785023309.5541484,1785023311.6135697,1785023312.2491155,0.04515480995178223,2.0594213008880615,0.6331675052642822,backend,2.7419440746307373,replayed_arrival,submission,180.0,True
3,adaptive_flush_cross_rate_screen_512_20260726,formal,1,fast_fixed_25ms,20260729,1095,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,9,1095:row:1000009,1095:batch:4,1000009,default,task-0,0,5,512,180,250,endpoint_request,255,stop,84c3b3ae00cf1180,completed,,1785023309.5384214,1785023309.5825431,1785023309.5844395,1785023311.692928,1785023317.6382482,0.044121742248535156,2.1084885597229004,5.943605899810791,backend,8.09982681274414,replayed_arrival,submission,180.0,True
