schema_version,experiment_id,phase,repeat_index,job_id,server_version,pgvector_version,sample_index,sample_epoch_s,gpu_metrics_status,gpu_name,gpu_utilization_pct,gpu_memory_used_mib,gpu_memory_total_mib,gpu_power_w,vllm_metrics_status,vllm_num_requests_running,vllm_num_requests_waiting,vllm_kv_cache_usage_perc
1,adaptive_flush_cross_rate_screen_512_20260726,formal,1,1099,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,0,1785023794.769325,snapshot,NVIDIA GeForce RTX 5070,6,11652,12227,42.26,ok,0,0,0.0
1,adaptive_flush_cross_rate_screen_512_20260726,formal,1,1099,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,1,1785023795.1170397,snapshot,NVIDIA GeForce RTX 5070,6,11652,12227,42.18,ok,0,0,0.0
1,adaptive_flush_cross_rate_screen_512_20260726,formal,1,1099,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,2,1785023795.436328,snapshot,NVIDIA GeForce RTX 5070,6,11652,12227,42.18,ok,0,0,0.0
1,adaptive_flush_cross_rate_screen_512_20260726,formal,1,1099,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,3,1785023795.7665772,snapshot,NVIDIA GeForce RTX 5070,6,11652,12227,42.12,ok,0,0,0.0
1,adaptive_flush_cross_rate_screen_512_20260726,formal,1,1099,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,4,1785023796.0965147,snapshot,NVIDIA GeForce RTX 5070,6,11652,12227,42.29,ok,0,0,0.0
1,adaptive_flush_cross_rate_screen_512_20260726,formal,1,1099,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,5,1785023796.4547014,snapshot,NVIDIA GeForce RTX 5070,6,11652,12227,42.29,ok,0,0,0.0
1,adaptive_flush_cross_rate_screen_512_20260726,formal,1,1099,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,6,1785023796.7782562,snapshot,NVIDIA GeForce RTX 5070,6,11652,12227,42.29,ok,0,0,0.0
1,adaptive_flush_cross_rate_screen_512_20260726,formal,1,1099,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,7,1785023797.1070995,snapshot,NVIDIA GeForce RTX 5070,6,11652,12227,42.20,ok,0,0,0.0
1,adaptive_flush_cross_rate_screen_512_20260726,formal,1,1099,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,8,1785023797.4708817,snapshot,NVIDIA GeForce RTX 5070,6,11652,12227,42.20,ok,2,0,0.00039736151951041965
1,adaptive_flush_cross_rate_screen_512_20260726,formal,1,1099,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,9,1785023797.7918682,snapshot,NVIDIA GeForce RTX 5070,6,11652,12227,42.22,ok,8,0,0.0036557259794961494
