schema_version,experiment_id,phase,repeat_index,job_id,server_version,pgvector_version,sample_index,sample_epoch_s,gpu_metrics_status,gpu_name,gpu_utilization_pct,gpu_memory_used_mib,gpu_memory_total_mib,gpu_power_w,vllm_metrics_status,vllm_num_requests_running,vllm_num_requests_waiting,vllm_kv_cache_usage_perc
1,adaptive_flush_chatml_eos_gate_20260726,formal,1,1029,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,0,1785016262.741562,snapshot,NVIDIA GeForce RTX 5070,6,11653,12227,43.15,ok,0,0,0.0
1,adaptive_flush_chatml_eos_gate_20260726,formal,1,1029,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,1,1785016263.0850806,snapshot,NVIDIA GeForce RTX 5070,6,11653,12227,43.15,ok,0,0,0.0
1,adaptive_flush_chatml_eos_gate_20260726,formal,1,1029,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,2,1785016263.4062958,snapshot,NVIDIA GeForce RTX 5070,6,11653,12227,43.14,ok,0,0,0.0
1,adaptive_flush_chatml_eos_gate_20260726,formal,1,1029,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,3,1785016263.754929,snapshot,NVIDIA GeForce RTX 5070,6,11652,12227,43.14,ok,0,0,0.0
1,adaptive_flush_chatml_eos_gate_20260726,formal,1,1029,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,4,1785016264.0773845,snapshot,NVIDIA GeForce RTX 5070,6,11652,12227,43.14,ok,0,0,0.0
1,adaptive_flush_chatml_eos_gate_20260726,formal,1,1029,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,5,1785016264.4232733,snapshot,NVIDIA GeForce RTX 5070,6,11652,12227,43.11,ok,0,0,0.0
1,adaptive_flush_chatml_eos_gate_20260726,formal,1,1029,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,6,1785016264.7641325,snapshot,NVIDIA GeForce RTX 5070,6,11652,12227,43.15,ok,0,0,0.0
1,adaptive_flush_chatml_eos_gate_20260726,formal,1,1029,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,7,1785016265.0856912,snapshot,NVIDIA GeForce RTX 5070,6,11653,12227,43.15,ok,0,0,0.0
1,adaptive_flush_chatml_eos_gate_20260726,formal,1,1029,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,8,1785016265.4284017,snapshot,NVIDIA GeForce RTX 5070,6,11653,12227,43.14,ok,8,0,0.00357625367559411
1,adaptive_flush_chatml_eos_gate_20260726,formal,1,1029,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,9,1785016265.7515476,snapshot,NVIDIA GeForce RTX 5070,76,11653,12227,71.38,ok,8,0,0.004688865930223329
1,adaptive_flush_chatml_eos_gate_20260726,formal,1,1029,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,10,1785016266.0953608,snapshot,NVIDIA GeForce RTX 5070,76,11653,12227,71.38,ok,8,0,0.005483588969244169
1,adaptive_flush_chatml_eos_gate_20260726,formal,1,1029,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,11,1785016266.4183564,snapshot,NVIDIA GeForce RTX 5070,76,11653,12227,96.49,ok,8,0,0.005960422792656739
1,adaptive_flush_chatml_eos_gate_20260726,formal,1,1029,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,12,1785016266.7455597,snapshot,NVIDIA GeForce RTX 5070,75,11653,12227,104.66,ok,8,0,0.007152507351188109
1,adaptive_flush_chatml_eos_gate_20260726,formal,1,1029,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,13,1785016267.0759692,snapshot,NVIDIA GeForce RTX 5070,75,11653,12227,104.66,ok,8,0,0.008106174998013138
1,adaptive_flush_chatml_eos_gate_20260726,formal,1,1029,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,14,1785016267.4038272,snapshot,NVIDIA GeForce RTX 5070,75,11653,12227,110.40,ok,8,0,0.009298259556544508
1,adaptive_flush_chatml_eos_gate_20260726,formal,1,1029,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,15,1785016267.7457983,snapshot,NVIDIA GeForce RTX 5070,79,11653,12227,114.14,ok,8,0,0.010569816418978029
1,adaptive_flush_chatml_eos_gate_20260726,formal,1,1029,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,16,1785016268.087386,snapshot,NVIDIA GeForce RTX 5070,79,11653,12227,114.14,ok,8,0,0.011761900977509288
1,adaptive_flush_chatml_eos_gate_20260726,formal,1,1029,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,17,1785016268.4259226,snapshot,NVIDIA GeForce RTX 5070,79,11653,12227,112.32,ok,7,0,0.0033378367638877693
1,adaptive_flush_chatml_eos_gate_20260726,formal,1,1029,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,18,1785016268.7485263,snapshot,NVIDIA GeForce RTX 5070,81,11653,12227,111.41,ok,8,0,0.004688865930223329
1,adaptive_flush_chatml_eos_gate_20260726,formal,1,1029,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,19,1785016269.0976603,snapshot,NVIDIA GeForce RTX 5070,81,11653,12227,111.41,ok,8,0,0.005960422792656739
1,adaptive_flush_chatml_eos_gate_20260726,formal,1,1029,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,20,1785016269.4393518,snapshot,NVIDIA GeForce RTX 5070,81,11653,12227,114.70,ok,8,0,0.005960422792656739
1,adaptive_flush_chatml_eos_gate_20260726,formal,1,1029,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,21,1785016269.7592797,snapshot,NVIDIA GeForce RTX 5070,71,11653,12227,115.63,ok,8,0,0.005880950488754699
1,adaptive_flush_chatml_eos_gate_20260726,formal,1,1029,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,22,1785016270.088125,snapshot,NVIDIA GeForce RTX 5070,71,11653,12227,115.63,ok,8,0,0.007152507351188109
1,adaptive_flush_chatml_eos_gate_20260726,formal,1,1029,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,23,1785016270.4201999,snapshot,NVIDIA GeForce RTX 5070,71,11653,12227,114.41,ok,8,0,0.008265119605817328
1,adaptive_flush_chatml_eos_gate_20260726,formal,1,1029,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,24,1785016270.7347848,snapshot,NVIDIA GeForce RTX 5070,62,11653,12227,110.83,ok,7,0,0.007311451958992299
1,adaptive_flush_chatml_eos_gate_20260726,formal,1,1029,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,25,1785016271.0625253,snapshot,NVIDIA GeForce RTX 5070,62,11653,12227,110.83,ok,7,0,0.007231979655090148
1,adaptive_flush_chatml_eos_gate_20260726,formal,1,1029,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,26,1785016271.4058797,snapshot,NVIDIA GeForce RTX 5070,62,11653,12227,110.03,ok,8,0,0.009775093379957078
1,adaptive_flush_chatml_eos_gate_20260726,formal,1,1029,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,27,1785016271.7482238,snapshot,NVIDIA GeForce RTX 5070,75,11653,12227,118.49,ok,8,0,0.015656043868711778
1,adaptive_flush_chatml_eos_gate_20260726,formal,1,1029,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,28,1785016272.0910146,snapshot,NVIDIA GeForce RTX 5070,75,11653,12227,118.49,ok,8,0,0.016689183819438957
1,adaptive_flush_chatml_eos_gate_20260726,formal,1,1029,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,29,1785016272.4497926,snapshot,NVIDIA GeForce RTX 5070,75,11653,12227,124.68,ok,8,0,0.017960740681872367
