schema_version,experiment_id,phase,repeat_index,job_id,server_version,pgvector_version,flush_policy,flush_timeout_ms,flush_max_wait_ms,arrival_time_scale,trace_index,elapsed_s,pending_rows,pending_tokens,oldest_age_s,action,reason,selected_wait_s,window_reason
2,adaptive_flush_chatml_formal_512_20260726,warmup,1,1036,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,queue_adaptive,25.0,50.0,0.0005,0,0.0,1,546,0.0,wait,fixed_fallback_wait,0.025,fixed_fallback
2,adaptive_flush_chatml_formal_512_20260726,warmup,1,1036,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,queue_adaptive,25.0,50.0,0.0005,1,0.031000000002677552,2,1075,0.031000000002677552,flush,fixed_fallback,0.025,fixed_fallback
2,adaptive_flush_chatml_formal_512_20260726,warmup,1,1036,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,queue_adaptive,25.0,50.0,0.0005,2,0.062000000005355105,1,574,0.005500000006577466,wait,underloaded_base_window_wait,0.025,underloaded_base_window
2,adaptive_flush_chatml_formal_512_20260726,warmup,1,1036,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,queue_adaptive,25.0,50.0,0.0005,3,0.0940000000045984,1,574,0.037500000005820766,flush,underloaded_base_window,0.025,underloaded_base_window
2,adaptive_flush_chatml_formal_512_20260726,warmup,1,1036,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,queue_adaptive,25.0,50.0,0.0005,4,0.0940000000045984,1,602,0.004000000008090865,wait,underloaded_base_window_wait,0.025,underloaded_base_window
2,adaptive_flush_chatml_formal_512_20260726,warmup,1,1036,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,queue_adaptive,25.0,50.0,0.0005,5,0.125,3,1635,0.03500000000349246,flush,underloaded_base_window,0.025,underloaded_base_window
2,adaptive_flush_chatml_formal_512_20260726,warmup,1,1036,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,queue_adaptive,25.0,50.0,0.0005,6,0.14100000000325963,1,778,0.013000000006286427,wait,underloaded_base_window_wait,0.025,underloaded_base_window
2,adaptive_flush_chatml_formal_512_20260726,warmup,1,1036,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,queue_adaptive,25.0,50.0,0.0005,7,0.15600000000267755,2,1306,0.02800000000570435,flush,underloaded_base_window,0.025,underloaded_base_window
2,adaptive_flush_chatml_formal_512_20260726,warmup,1,1036,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,queue_adaptive,25.0,50.0,0.0005,8,0.2190000000045984,1,529,0.016500000005180482,wait,underloaded_base_window_wait,0.025,underloaded_base_window
2,adaptive_flush_chatml_formal_512_20260726,warmup,1,1036,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,queue_adaptive,25.0,50.0,0.0005,9,0.23400000000401633,1,529,0.031500000004598405,flush,underloaded_base_window,0.025,underloaded_base_window
2,adaptive_flush_chatml_formal_512_20260726,warmup,1,1036,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,queue_adaptive,25.0,50.0,0.0005,10,0.28100000000267755,1,517,0.01600000000325963,wait,underloaded_base_window_wait,0.025,underloaded_base_window
2,adaptive_flush_chatml_formal_512_20260726,warmup,1,1036,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,queue_adaptive,25.0,50.0,0.0005,11,0.2970000000059372,2,1079,0.03200000000651926,flush,underloaded_base_window,0.025,underloaded_base_window
2,adaptive_flush_chatml_formal_512_20260726,warmup,1,1036,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,queue_adaptive,25.0,50.0,0.0005,12,0.3280000000013388,1,522,0.011500000000523869,wait,underloaded_base_window_wait,0.025,underloaded_base_window
2,adaptive_flush_chatml_formal_512_20260726,warmup,1,1036,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,queue_adaptive,25.0,50.0,0.0005,13,0.3440000000045984,2,1058,0.027500000003783498,flush,underloaded_base_window,0.025,underloaded_base_window
2,adaptive_flush_chatml_formal_512_20260726,warmup,1,1036,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,queue_adaptive,25.0,50.0,0.0005,14,0.375,1,545,0.006999999997788109,wait,underloaded_base_window_wait,0.025,underloaded_base_window
2,adaptive_flush_chatml_formal_512_20260726,warmup,1,1036,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,queue_adaptive,25.0,50.0,0.0005,15,0.40600000000267755,2,1119,0.03800000000046566,flush,underloaded_base_window,0.025,underloaded_base_window
2,adaptive_flush_chatml_formal_512_20260726,warmup,1,1036,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,queue_adaptive,25.0,50.0,0.0005,16,0.4220000000059372,1,518,0.014000000002852175,wait,underloaded_base_window_wait,0.025,underloaded_base_window
2,adaptive_flush_chatml_formal_512_20260726,warmup,1,1036,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,queue_adaptive,25.0,50.0,0.0005,17,0.4370000000053551,1,518,0.0290000000022701,flush,underloaded_base_window,0.025,underloaded_base_window
