schema_version,experiment_id,phase,repeat_index,job_id,server_version,pgvector_version,sample_index,sample_epoch_s,gpu_metrics_status,gpu_name,gpu_utilization_pct,gpu_memory_used_mib,gpu_memory_total_mib,gpu_power_w,vllm_metrics_status,vllm_num_requests_running,vllm_num_requests_waiting,vllm_kv_cache_usage_perc
1,adaptive_flush_chatml_formal_512_20260726,formal,2,1039,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,0,1785017560.5943668,snapshot,NVIDIA GeForce RTX 5070,6,11653,12227,43.29,ok,0,0,0.0
1,adaptive_flush_chatml_formal_512_20260726,formal,2,1039,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,1,1785017560.9354248,snapshot,NVIDIA GeForce RTX 5070,6,11653,12227,43.30,ok,0,0,0.0
1,adaptive_flush_chatml_formal_512_20260726,formal,2,1039,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,2,1785017561.2780411,snapshot,NVIDIA GeForce RTX 5070,6,11653,12227,43.19,ok,0,0,0.0
1,adaptive_flush_chatml_formal_512_20260726,formal,2,1039,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,3,1785017561.6226132,snapshot,NVIDIA GeForce RTX 5070,6,11653,12227,43.19,ok,0,0,0.0
1,adaptive_flush_chatml_formal_512_20260726,formal,2,1039,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,4,1785017561.9617162,snapshot,NVIDIA GeForce RTX 5070,6,11653,12227,43.05,ok,0,0,0.0
1,adaptive_flush_chatml_formal_512_20260726,formal,2,1039,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,5,1785017562.2848623,snapshot,NVIDIA GeForce RTX 5070,6,11653,12227,42.99,ok,0,0,0.0
1,adaptive_flush_chatml_formal_512_20260726,formal,2,1039,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,6,1785017562.630624,snapshot,NVIDIA GeForce RTX 5070,6,11653,12227,42.99,ok,0,0,0.0
1,adaptive_flush_chatml_formal_512_20260726,formal,2,1039,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,7,1785017562.9538205,snapshot,NVIDIA GeForce RTX 5070,6,11653,12227,43.02,ok,0,0,0.0
1,adaptive_flush_chatml_formal_512_20260726,formal,2,1039,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,8,1785017563.2769392,snapshot,NVIDIA GeForce RTX 5070,6,11653,12227,48.08,ok,8,0,0.00341730906778992
1,adaptive_flush_chatml_formal_512_20260726,formal,2,1039,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,9,1785017563.618455,snapshot,NVIDIA GeForce RTX 5070,6,11653,12227,48.08,ok,15,0,0.0065167289199713485
1,adaptive_flush_chatml_formal_512_20260726,formal,2,1039,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,10,1785017563.946296,snapshot,NVIDIA GeForce RTX 5070,66,11653,12227,83.47,ok,14,0,0.007947230390209059
1,adaptive_flush_chatml_formal_512_20260726,formal,2,1039,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,11,1785017564.2737584,snapshot,NVIDIA GeForce RTX 5070,66,11653,12227,111.67,ok,13,0,0.009059842644838279
