schema_version,experiment_id,phase,repeat_index,scenario_id,random_seed,job_id,server_version,pgvector_version,request_index,request_id,submission_id,doc_id,pool_id,endpoint_id,gpu_id,prompt_tokens,estimated_output_tokens,client_estimated_output_tokens,actual_output_tokens,output_token_source,total_tokens,finish_reason,prefix_key,status,error_type,arrival_epoch_s,flush_epoch_s,submit_epoch_s,service_start_epoch_s,completion_epoch_s,buffer_s,submit_to_service_s,service_s,service_clock_domain,e2e_s,request_time_origin,latency_granularity,slo_target_s,slo_met
3,adaptive_flush_chatml_formal_512_20260726,formal,2,queue_adaptive,20260726,1040,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,0,1040:row:1000000,1040:batch:0,1000000,default,task-0,0,34,512,279,365,endpoint_request,399,stop,5158c58cfb5aa9d5,completed,,1785017703.287885,1785017703.3462412,1785017703.3524554,1785017705.3396204,1785017709.5562763,0.058356285095214844,1.9871649742126465,4.212838649749756,backend,6.268391370773315,replayed_arrival,submission,180.0,True
3,adaptive_flush_chatml_formal_512_20260726,formal,2,queue_adaptive,20260726,1040,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,1,1040:row:1000001,1040:batch:0,1000001,default,task-0,0,17,512,67,88,endpoint_request,105,stop,c46b9b85f0bc8d8f,completed,,1785017703.307885,1785017703.3462412,1785017703.3524554,1785017705.3396204,1785017709.5562763,0.03835630416870117,1.9871649742126465,4.212838649749756,backend,6.248391389846802,replayed_arrival,submission,180.0,True
3,adaptive_flush_chatml_formal_512_20260726,formal,2,queue_adaptive,20260726,1040,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,2,1040:row:1000002,1040:batch:1,1000002,default,task-0,0,62,512,274,442,endpoint_request,504,stop,77745dfdc2774d38,completed,,1785017703.344385,1785017703.4081044,1785017703.4100018,1785017705.4098396,1785017710.4112,0.06371951103210449,1.999837875366211,4.998803377151489,backend,7.066815137863159,replayed_arrival,submission,180.0,True
3,adaptive_flush_chatml_formal_512_20260726,formal,2,queue_adaptive,20260726,1040,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,3,1040:row:1000003,1040:batch:2,1000003,default,task-0,0,90,512,170,254,endpoint_request,344,stop,a659f76f1324db81,completed,,1785017703.3778849,1785017703.4392512,1785017703.4414158,1785017705.4530637,1785017710.673676,0.06136631965637207,2.011647939682007,5.2182817459106445,backend,7.295791149139404,replayed_arrival,submission,180.0,True
3,adaptive_flush_chatml_formal_512_20260726,formal,2,queue_adaptive,20260726,1040,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,4,1040:row:1000004,1040:batch:2,1000004,default,task-0,0,4,512,348,464,endpoint_request,468,stop,5ebb4cd922644752,completed,,1785017703.392385,1785017703.4392512,1785017703.4414158,1785017705.4530637,1785017710.673676,0.04686617851257324,2.011647939682007,5.2182817459106445,backend,7.2812910079956055,replayed_arrival,submission,180.0,True
3,adaptive_flush_chatml_formal_512_20260726,formal,2,queue_adaptive,20260726,1040,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,5,1040:row:1000005,1040:batch:2,1000005,default,task-0,0,5,512,25,32,endpoint_request,37,stop,63b90a1229052208,completed,,1785017703.401885,1785017703.4392512,1785017703.4414158,1785017705.4530637,1785017710.673676,0.03736615180969238,2.011647939682007,5.2182817459106445,backend,7.271790981292725,replayed_arrival,submission,180.0,True
3,adaptive_flush_chatml_formal_512_20260726,formal,2,queue_adaptive,20260726,1040,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,6,1040:row:1000006,1040:batch:3,1000006,default,task-0,0,266,512,233,312,endpoint_request,578,stop,31c017e504f691cb,completed,,1785017703.415885,1785017703.4703023,1785017703.4722106,1785017705.4950948,1785017710.9885345,0.05441737174987793,2.0228841304779053,5.238423109054565,backend,7.5726494789123535,replayed_arrival,submission,180.0,True
3,adaptive_flush_chatml_formal_512_20260726,formal,2,queue_adaptive,20260726,1040,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,7,1040:row:1000007,1040:batch:3,1000007,default,task-0,0,16,512,337,467,endpoint_request,483,stop,dc990017302d002a,completed,,1785017703.418885,1785017703.4703023,1785017703.4722106,1785017705.4950948,1785017710.9885345,0.05141735076904297,2.0228841304779053,5.238423109054565,backend,7.5696494579315186,replayed_arrival,submission,180.0,True
3,adaptive_flush_chatml_formal_512_20260726,formal,2,queue_adaptive,20260726,1040,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,8,1040:row:1000008,1040:batch:4,1000008,default,task-0,0,17,512,45,55,endpoint_request,72,stop,ceec92194ed7ee15,completed,,1785017703.490385,1785017703.5465555,1785017703.5483809,1785017705.5777514,1785017706.266915,0.05617046356201172,2.0293705463409424,0.6870391368865967,backend,2.7765300273895264,replayed_arrival,submission,180.0,True
3,adaptive_flush_chatml_formal_512_20260726,formal,2,queue_adaptive,20260726,1040,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,9,1040:row:1000009,1040:batch:5,1000009,default,task-0,0,5,512,199,300,endpoint_request,305,stop,84c3b3ae00cf1180,completed,,1785017703.552885,1785017703.6089783,1785017703.6112936,1785017705.6572824,1785017711.344107,0.05609321594238281,2.0459887981414795,5.6836488246917725,backend,7.791221857070923,replayed_arrival,submission,180.0,True
