schema_version,experiment_id,phase,repeat_index,scenario_id,random_seed,job_id,server_version,pgvector_version,request_index,request_id,submission_id,doc_id,pool_id,endpoint_id,gpu_id,prompt_tokens,estimated_output_tokens,client_estimated_output_tokens,actual_output_tokens,output_token_source,total_tokens,finish_reason,prefix_key,status,error_type,arrival_epoch_s,flush_epoch_s,submit_epoch_s,service_start_epoch_s,completion_epoch_s,buffer_s,submit_to_service_s,service_s,service_clock_domain,e2e_s,request_time_origin,latency_granularity,slo_target_s,slo_met
3,adaptive_flush_chatml_three_way_512_20260726,formal,1,fixed_25ms,20260728,1087,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,0,1087:row:1000000,1087:batch:0,1000000,default,task-0,0,34,512,247,321,endpoint_request,355,stop,5158c58cfb5aa9d5,completed,,1785021625.9527001,1785021625.9895537,1785021625.9963155,1785021628.0180311,1785021631.8567808,0.03685355186462402,2.0217156410217285,3.836089611053467,backend,5.904080629348755,replayed_arrival,submission,180.0,True
3,adaptive_flush_chatml_three_way_512_20260726,formal,1,fixed_25ms,20260728,1087,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,1,1087:row:1000001,1087:batch:0,1000001,default,task-0,0,17,512,71,95,endpoint_request,112,stop,c46b9b85f0bc8d8f,completed,,1785021625.9727,1785021625.9895537,1785021625.9963155,1785021628.0180311,1785021631.8567808,0.01685357093811035,2.0217156410217285,3.836089611053467,backend,5.884080648422241,replayed_arrival,submission,180.0,True
3,adaptive_flush_chatml_three_way_512_20260726,formal,1,fixed_25ms,20260728,1087,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,2,1087:row:1000002,1087:batch:1,1000002,default,task-0,0,62,512,283,461,endpoint_request,523,stop,77745dfdc2774d38,completed,,1785021626.0092,1785021626.0515153,1785021626.053227,1785021628.1077545,1785021633.5762663,0.04231524467468262,2.054527521133423,5.465178489685059,backend,7.567066192626953,replayed_arrival,submission,180.0,True
3,adaptive_flush_chatml_three_way_512_20260726,formal,1,fixed_25ms,20260728,1087,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,3,1087:row:1000003,1087:batch:2,1000003,default,task-0,0,90,512,167,252,endpoint_request,342,stop,a659f76f1324db81,completed,,1785021626.0427,1785021626.0816479,1785021626.0837226,1785021628.1320796,1785021631.0770593,0.03894782066345215,2.0483570098876953,2.9416921138763428,backend,5.0343592166900635,replayed_arrival,submission,180.0,True
3,adaptive_flush_chatml_three_way_512_20260726,formal,1,fixed_25ms,20260728,1087,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,4,1087:row:1000004,1087:batch:2,1000004,default,task-0,0,4,512,50,60,endpoint_request,64,stop,5ebb4cd922644752,completed,,1785021626.0572002,1785021626.0816479,1785021626.0837226,1785021628.1320796,1785021631.0770593,0.02444767951965332,2.0483570098876953,2.9416921138763428,backend,5.019859075546265,replayed_arrival,submission,180.0,True
3,adaptive_flush_chatml_three_way_512_20260726,formal,1,fixed_25ms,20260728,1087,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,5,1087:row:1000005,1087:batch:2,1000005,default,task-0,0,5,512,26,33,endpoint_request,38,stop,63b90a1229052208,completed,,1785021626.0667002,1785021626.0816479,1785021626.0837226,1785021628.1320796,1785021631.0770593,0.014947652816772461,2.0483570098876953,2.9416921138763428,backend,5.010359048843384,replayed_arrival,submission,180.0,True
3,adaptive_flush_chatml_three_way_512_20260726,formal,1,fixed_25ms,20260728,1087,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,6,1087:row:1000006,1087:batch:3,1000006,default,task-0,0,266,512,270,344,endpoint_request,610,stop,31c017e504f691cb,completed,,1785021626.0807002,1785021626.1134002,1785021626.1153116,1785021628.1629193,1785021634.2143993,0.0327000617980957,2.047607660293579,6.048605442047119,backend,8.133699178695679,replayed_arrival,submission,180.0,True
3,adaptive_flush_chatml_three_way_512_20260726,formal,1,fixed_25ms,20260728,1087,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,7,1087:row:1000007,1087:batch:3,1000007,default,task-0,0,16,512,361,512,endpoint_request,528,length,dc990017302d002a,completed,,1785021626.0837002,1785021626.1134002,1785021626.1153116,1785021628.1629193,1785021634.2143993,0.029700040817260742,2.047607660293579,6.048605442047119,backend,8.130699157714844,replayed_arrival,submission,180.0,True
3,adaptive_flush_chatml_three_way_512_20260726,formal,1,fixed_25ms,20260728,1087,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,8,1087:row:1000008,1087:batch:4,1000008,default,task-0,0,17,512,45,55,endpoint_request,72,stop,ceec92194ed7ee15,completed,,1785021626.1552002,1785021626.1908412,1785021626.1931162,1785021628.2488694,1785021628.9280791,0.03564095497131348,2.055753231048584,0.6765651702880859,backend,2.772878885269165,replayed_arrival,submission,180.0,True
3,adaptive_flush_chatml_three_way_512_20260726,formal,1,fixed_25ms,20260728,1087,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,9,1087:row:1000009,1087:batch:5,1000009,default,task-0,0,5,512,162,229,endpoint_request,234,stop,84c3b3ae00cf1180,completed,,1785021626.2177002,1785021626.2673006,1785021626.2693071,1785021628.3164885,1785021634.3630543,0.04960036277770996,2.0471813678741455,6.0441200733184814,backend,8.14535403251648,replayed_arrival,submission,180.0,True
3,adaptive_flush_chatml_three_way_512_20260726,formal,1,fixed_25ms,20260728,1087,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,10,1087:row:1000010,1087:batch:5,1000010,default,task-0,0,50,512,382,512,endpoint_request,562,length,8515a295c6c1e478,completed,,1785021626.2302,1785021626.2673006,1785021626.2693071,1785021628.3164885,1785021634.3630543,0.03710055351257324,2.0471813678741455,6.0441200733184814,backend,8.132854223251343,replayed_arrival,submission,180.0,True
3,adaptive_flush_chatml_three_way_512_20260726,formal,1,fixed_25ms,20260728,1087,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,11,1087:row:1000011,1087:batch:6,1000011,default,task-0,0,10,512,296,457,endpoint_request,467,stop,2a4d59517158701f,completed,,1785021626.2692,1785021626.3137612,1785021626.315698,1785021628.3868604,1785021634.4632926,0.044561147689819336,2.071162462234497,6.073139667510986,backend,8.194092512130737,replayed_arrival,submission,180.0,True
3,adaptive_flush_chatml_three_way_512_20260726,formal,1,fixed_25ms,20260728,1087,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,12,1087:row:1000012,1087:batch:6,1000012,default,task-0,0,24,512,267,512,endpoint_request,536,length,f3e572dddb0c04d0,completed,,1785021626.2932003,1785021626.3137612,1785021626.315698,1785021628.3868604,1785021634.4632926,0.02056097984313965,2.071162462234497,6.073139667510986,backend,8.170092344284058,replayed_arrival,submission,180.0,True
3,adaptive_flush_chatml_three_way_512_20260726,formal,1,fixed_25ms,20260728,1087,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,13,1087:row:1000013,1087:batch:7,1000013,default,task-0,0,33,512,124,512,endpoint_request,545,length,cb7bcd136f59c001,completed,,1785021626.3207002,1785021626.3765876,1785021626.3791544,1785021628.4063625,1785021634.482862,0.055887460708618164,2.027208089828491,6.073768615722656,backend,8.162161827087402,replayed_arrival,submission,180.0,True
3,adaptive_flush_chatml_three_way_512_20260726,formal,1,fixed_25ms,20260728,1087,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,14,1087:row:1000014,1087:batch:7,1000014,default,task-0,0,62,512,195,281,endpoint_request,343,stop,e832ea1ed53e38bb,completed,,1785021626.3357,1785021626.3765876,1785021626.3791544,1785021628.4063625,1785021634.482862,0.04088759422302246,2.027208089828491,6.073768615722656,backend,8.147161960601807,replayed_arrival,submission,180.0,True
3,adaptive_flush_chatml_three_way_512_20260726,formal,1,fixed_25ms,20260728,1087,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,15,1087:row:1000015,1087:batch:8,1000015,default,task-0,0,6,512,276,512,endpoint_request,518,length,268ad095d95190da,completed,,1785021626.3607001,1785021626.4065044,1785021628.9297323,1785021628.9323053,1785021635.0331078,0.04580426216125488,0.0025730133056640625,6.099307060241699,backend,8.672407627105713,replayed_arrival,submission,180.0,True
