schema_version,experiment_id,phase,repeat_index,scenario_id,random_seed,job_id,server_version,pgvector_version,request_index,request_id,submission_id,doc_id,pool_id,endpoint_id,gpu_id,prompt_tokens,estimated_output_tokens,client_estimated_output_tokens,actual_output_tokens,output_token_source,total_tokens,finish_reason,prefix_key,status,error_type,arrival_epoch_s,flush_epoch_s,submit_epoch_s,service_start_epoch_s,completion_epoch_s,buffer_s,submit_to_service_s,service_s,service_clock_domain,e2e_s,request_time_origin,latency_granularity,slo_target_s,slo_met
3,adaptive_flush_output_variability_gate_20260726,formal,1,max16,20260726,1027,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,0,1027:row:1000000,1027:batch:0,1000000,default,task-0,0,34,16,12,16,endpoint_request,50,length,5158c58cfb5aa9d5,completed,,1785015926.9453366,1785015926.9470909,1785015926.9513986,1785015928.8973477,1785015929.1463761,0.0017542839050292969,1.9459490776062012,0.2471301555633545,backend,2.2010395526885986,replayed_arrival,submission,10.0,True
3,adaptive_flush_output_variability_gate_20260726,formal,1,max16,20260726,1027,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,1,1027:row:1000001,1027:batch:1,1000001,default,task-0,0,17,16,15,16,endpoint_request,33,length,c46b9b85f0bc8d8f,completed,,1785015926.9653366,1785015926.973045,1785015926.9738054,1785015928.9050052,1785015929.1356144,0.007708549499511719,1.9311997890472412,0.2287905216217041,backend,2.1702778339385986,replayed_arrival,submission,10.0,True
3,adaptive_flush_output_variability_gate_20260726,formal,1,max16,20260726,1027,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,2,1027:row:1000002,1027:batch:2,1000002,default,task-0,0,62,16,12,16,endpoint_request,78,length,77745dfdc2774d38,completed,,1785015927.0018365,1785015927.0043714,1785015927.0050673,1785015928.9352922,1785015929.1781964,0.0025348663330078125,1.930224895477295,0.2408590316772461,backend,2.1763598918914795,replayed_arrival,submission,10.0,True
3,adaptive_flush_output_variability_gate_20260726,formal,1,max16,20260726,1027,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,3,1027:row:1000003,1027:batch:3,1000003,default,task-0,0,90,16,4,16,endpoint_request,106,length,a659f76f1324db81,completed,,1785015927.0343823,1785015927.0343823,1785015927.0351255,1785015929.0013406,1785015929.2164676,0.0,1.9662151336669922,0.21384310722351074,backend,2.1820852756500244,replayed_arrival,submission,10.0,True
3,adaptive_flush_output_variability_gate_20260726,formal,1,max16,20260726,1027,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,4,1027:row:1000004,1027:batch:4,1000004,default,task-0,0,4,16,15,16,endpoint_request,20,length,5ebb4cd922644752,completed,,1785015927.0498366,1785015927.0503983,1785015927.0512648,1785015929.021034,1785015929.2374709,0.0005617141723632812,1.9697692394256592,0.21493005752563477,backend,2.187634229660034,replayed_arrival,submission,10.0,True
3,adaptive_flush_output_variability_gate_20260726,formal,1,max16,20260726,1027,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,5,1027:row:1000005,1027:batch:5,1000005,default,task-0,0,5,16,14,16,endpoint_request,21,length,63b90a1229052208,completed,,1785015927.0593367,1785015927.0657027,1785015927.0667543,1785015929.0372307,1785015929.2496748,0.00636601448059082,1.9704763889312744,0.20969176292419434,backend,2.190338134765625,replayed_arrival,submission,10.0,True
3,adaptive_flush_output_variability_gate_20260726,formal,1,max16,20260726,1027,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,6,1027:row:1000006,1027:batch:6,1000006,default,task-0,0,266,16,14,16,endpoint_request,282,length,31c017e504f691cb,completed,,1785015927.0733366,1785015927.081299,1785015927.0823996,1785015929.079593,1785015929.292585,0.007962465286254883,1.9971933364868164,0.21009254455566406,backend,2.2192482948303223,replayed_arrival,submission,10.0,True
3,adaptive_flush_output_variability_gate_20260726,formal,1,max16,20260726,1027,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,7,1027:row:1000007,1027:batch:7,1000007,default,task-0,0,16,16,13,16,endpoint_request,32,length,dc990017302d002a,completed,,1785015927.0763366,1785015927.0824647,1785015927.0831058,1785015929.0765924,1785015929.3031218,0.006128072738647461,1.9934866428375244,0.22505831718444824,backend,2.226785182952881,replayed_arrival,submission,10.0,True
3,adaptive_flush_output_variability_gate_20260726,formal,1,max16,20260726,1027,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,8,1027:row:1000008,1027:batch:8,1000008,default,task-0,0,17,16,15,16,endpoint_request,33,length,ceec92194ed7ee15,completed,,1785015927.1478367,1785015927.1575723,1785015929.1365302,1785015929.139024,1785015929.3405657,0.009735584259033203,0.0024938583374023438,0.2000870704650879,backend,2.1927289962768555,replayed_arrival,submission,10.0,True
3,adaptive_flush_output_variability_gate_20260726,formal,1,max16,20260726,1027,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,9,1027:row:1000009,1027:batch:9,1000009,default,task-0,0,5,16,11,16,endpoint_request,21,length,84c3b3ae00cf1180,completed,,1785015927.2103367,1785015929.1366339,1785015929.1472137,1785015929.149073,1785015929.3793635,1.9262971878051758,0.0018591880798339844,0.2274327278137207,backend,2.1690268516540527,replayed_arrival,submission,10.0,True
3,adaptive_flush_output_variability_gate_20260726,formal,1,max16,20260726,1027,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,10,1027:row:1000010,1027:batch:10,1000010,default,task-0,0,50,16,14,16,endpoint_request,66,length,8515a295c6c1e478,completed,,1785015927.2228365,1785015929.147309,1785015929.1790342,1785015929.1820688,1785015929.3784413,1.9244725704193115,0.0030345916748046875,0.19443678855895996,backend,2.155604839324951,replayed_arrival,submission,10.0,True
3,adaptive_flush_output_variability_gate_20260726,formal,1,max16,20260726,1027,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,11,1027:row:1000011,1027:batch:11,1000011,default,task-0,0,10,16,14,16,endpoint_request,26,length,2a4d59517158701f,completed,,1785015927.2618365,1785015929.1791306,1785015929.2171,1785015929.2195656,1785015929.426401,1.9172940254211426,0.0024657249450683594,0.2053079605102539,backend,2.164564371109009,replayed_arrival,submission,10.0,True
3,adaptive_flush_output_variability_gate_20260726,formal,1,max16,20260726,1027,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,12,1027:row:1000012,1027:batch:12,1000012,default,task-0,0,24,16,4,16,endpoint_request,40,length,f3e572dddb0c04d0,completed,,1785015927.2858367,1785015929.217177,1785015929.2380795,1785015929.2401419,1785015929.4798694,1.931340217590332,0.0020623207092285156,0.23725628852844238,backend,2.194032669067383,replayed_arrival,submission,10.0,True
3,adaptive_flush_output_variability_gate_20260726,formal,1,max16,20260726,1027,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,13,1027:row:1000013,1027:batch:13,1000013,default,task-0,0,33,16,4,16,endpoint_request,49,length,cb7bcd136f59c001,completed,,1785015927.3133366,1785015929.2381558,1785015929.250553,1785015929.2527723,1785015929.478676,1.9248192310333252,0.0022194385528564453,0.224625825881958,backend,2.165339469909668,replayed_arrival,submission,10.0,True
3,adaptive_flush_output_variability_gate_20260726,formal,1,max16,20260726,1027,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,14,1027:row:1000014,1027:batch:14,1000014,default,task-0,0,62,16,9,16,endpoint_request,78,length,e832ea1ed53e38bb,completed,,1785015927.3283365,1785015929.2506566,1785015929.2932532,1785015929.2968931,1785015929.5500488,1.9223201274871826,0.0036399364471435547,0.25180625915527344,backend,2.221712350845337,replayed_arrival,submission,10.0,True
3,adaptive_flush_output_variability_gate_20260726,formal,1,max16,20260726,1027,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,15,1027:row:1000015,1027:batch:15,1000015,default,task-0,0,6,16,15,16,endpoint_request,22,length,268ad095d95190da,completed,,1785015927.3533366,1785015929.2933547,1785015929.303891,1785015929.3063517,1785015929.561212,1.9400181770324707,0.0024607181549072266,0.25362586975097656,backend,2.2078754901885986,replayed_arrival,submission,10.0,True
3,adaptive_flush_output_variability_gate_20260726,formal,1,max16,20260726,1027,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,16,1027:row:1000016,1027:batch:16,1000016,default,task-0,0,8,16,12,16,endpoint_request,24,length,7beaf3607820d3fa,completed,,1785015927.4258366,1785015929.3039687,1785015929.3414023,1785015929.3439875,1785015929.6056056,1.8781321048736572,0.002585172653198242,0.2607452869415283,backend,2.1797690391540527,replayed_arrival,submission,10.0,True
