schema_version,experiment_id,phase,repeat_index,job_id,server_version,pgvector_version,sample_index,sample_epoch_s,gpu_metrics_status,gpu_name,gpu_utilization_pct,gpu_memory_used_mib,gpu_memory_total_mib,gpu_power_w,vllm_metrics_status,vllm_num_requests_running,vllm_num_requests_waiting,vllm_kv_cache_usage_perc
1,hol_age_diagnostic_512_20260728,warmup,1,70,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,0,1785201816.024207,snapshot,NVIDIA GeForce RTX 4090,0,23102,24564,22.37,ok,0,0,0.0
1,hol_age_diagnostic_512_20260728,warmup,1,70,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,1,1785201816.395656,snapshot,NVIDIA GeForce RTX 4090,0,23102,24564,22.29,ok,0,0,0.0
1,hol_age_diagnostic_512_20260728,warmup,1,70,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,2,1785201816.7602901,snapshot,NVIDIA GeForce RTX 4090,0,23102,24564,22.29,ok,0,0,0.0
1,hol_age_diagnostic_512_20260728,warmup,1,70,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,3,1785201817.1230822,snapshot,NVIDIA GeForce RTX 4090,0,23102,24564,22.29,ok,0,0,0.0
1,hol_age_diagnostic_512_20260728,warmup,1,70,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,4,1785201817.425638,snapshot,NVIDIA GeForce RTX 4090,0,23102,24564,22.31,ok,0,0,0.0
1,hol_age_diagnostic_512_20260728,warmup,1,70,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,5,1785201817.7288058,snapshot,NVIDIA GeForce RTX 4090,0,23102,24564,22.31,ok,0,0,0.0
1,hol_age_diagnostic_512_20260728,warmup,1,70,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,6,1785201818.0322335,snapshot,NVIDIA GeForce RTX 4090,0,23102,24564,22.31,ok,0,0,0.0
1,hol_age_diagnostic_512_20260728,warmup,1,70,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,7,1785201818.3955011,snapshot,NVIDIA GeForce RTX 4090,0,23102,24564,22.34,ok,0,0,0.0
1,hol_age_diagnostic_512_20260728,warmup,1,70,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,8,1785201818.717193,snapshot,NVIDIA GeForce RTX 4090,0,23102,24564,22.34,ok,0,0,0.0
1,hol_age_diagnostic_512_20260728,warmup,1,70,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,9,1785201819.0807557,snapshot,NVIDIA GeForce RTX 4090,0,23102,24564,22.34,ok,0,0,0.0
