schema_version,experiment_id,phase,repeat_index,job_id,server_version,pgvector_version,sample_index,sample_epoch_s,gpu_metrics_status,gpu_name,gpu_utilization_pct,gpu_memory_used_mib,gpu_memory_total_mib,gpu_power_w,vllm_metrics_status,vllm_num_requests_running,vllm_num_requests_waiting,vllm_kv_cache_usage_perc
1,hol_age_diagnostic_512_20260728,warmup,1,73,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,0,1785201966.8621032,snapshot,NVIDIA GeForce RTX 4090,0,23102,24564,63.49,ok,0,0,0.0
1,hol_age_diagnostic_512_20260728,warmup,1,73,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,1,1785201967.2018101,snapshot,NVIDIA GeForce RTX 4090,0,23102,24564,63.49,ok,0,0,0.0
1,hol_age_diagnostic_512_20260728,warmup,1,73,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,2,1785201967.5721135,snapshot,NVIDIA GeForce RTX 4090,0,23102,24564,62.24,ok,0,0,0.0
1,hol_age_diagnostic_512_20260728,warmup,1,73,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,3,1785201967.8928087,snapshot,NVIDIA GeForce RTX 4090,0,23102,24564,62.24,ok,0,0,0.0
1,hol_age_diagnostic_512_20260728,warmup,1,73,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,4,1785201968.2355118,snapshot,NVIDIA GeForce RTX 4090,0,23102,24564,62.24,ok,0,0,0.0
1,hol_age_diagnostic_512_20260728,warmup,1,73,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,5,1785201968.585648,snapshot,NVIDIA GeForce RTX 4090,0,23102,24564,61.71,ok,0,0,0.0
1,hol_age_diagnostic_512_20260728,warmup,1,73,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,6,1785201968.9317381,snapshot,NVIDIA GeForce RTX 4090,0,23102,24564,61.71,ok,0,0,0.0
1,hol_age_diagnostic_512_20260728,warmup,1,73,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,7,1785201969.2551243,snapshot,NVIDIA GeForce RTX 4090,0,23102,24564,61.71,ok,0,0,0.0
1,hol_age_diagnostic_512_20260728,warmup,1,73,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,8,1785201969.616996,snapshot,NVIDIA GeForce RTX 4090,0,23102,24564,61.70,ok,0,0,0.0
1,hol_age_diagnostic_512_20260728,warmup,1,73,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,9,1785201969.9147856,snapshot,NVIDIA GeForce RTX 4090,0,23102,24564,61.70,ok,0,0,0.0
1,hol_age_diagnostic_512_20260728,warmup,1,73,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,10,1785201970.2384374,snapshot,NVIDIA GeForce RTX 4090,0,23102,24564,61.70,ok,0,0,0.0
1,hol_age_diagnostic_512_20260728,warmup,1,73,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,11,1785201970.5587852,snapshot,NVIDIA GeForce RTX 4090,0,23102,24564,61.57,ok,0,0,0.0
1,hol_age_diagnostic_512_20260728,warmup,1,73,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,12,1785201970.877534,snapshot,NVIDIA GeForce RTX 4090,0,23102,24564,61.57,ok,0,0,0.0
1,hol_age_diagnostic_512_20260728,warmup,1,73,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,13,1785201971.1961405,snapshot,NVIDIA GeForce RTX 4090,0,23102,24564,61.57,ok,0,0,0.0
1,hol_age_diagnostic_512_20260728,warmup,1,73,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,14,1785201971.5364735,snapshot,NVIDIA GeForce RTX 4090,0,23102,24564,50.87,ok,0,0,0.0
1,hol_age_diagnostic_512_20260728,warmup,1,73,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,15,1785201971.841301,snapshot,NVIDIA GeForce RTX 4090,0,23102,24564,50.87,ok,0,0,0.0
1,hol_age_diagnostic_512_20260728,warmup,1,73,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,16,1785201972.179265,snapshot,NVIDIA GeForce RTX 4090,0,23102,24564,50.87,ok,0,0,0.0
1,hol_age_diagnostic_512_20260728,warmup,1,73,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,17,1785201972.5197008,snapshot,NVIDIA GeForce RTX 4090,0,23102,24564,33.19,ok,0,0,0.0
1,hol_age_diagnostic_512_20260728,warmup,1,73,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,18,1785201972.8601751,snapshot,NVIDIA GeForce RTX 4090,0,23102,24564,33.19,ok,0,0,0.0
1,hol_age_diagnostic_512_20260728,warmup,1,73,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,19,1785201973.223348,snapshot,NVIDIA GeForce RTX 4090,0,23102,24564,33.19,ok,0,0,0.0
1,hol_age_diagnostic_512_20260728,warmup,1,73,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,20,1785201973.5474925,snapshot,NVIDIA GeForce RTX 4090,100,23102,24564,35.40,ok,8,0,0.001196057793512617
1,hol_age_diagnostic_512_20260728,warmup,1,73,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,21,1785201973.9502518,snapshot,NVIDIA GeForce RTX 4090,100,23102,24564,106.92,ok,18,0,0.0030379867955219186
1,hol_age_diagnostic_512_20260728,warmup,1,73,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,22,1785201974.3227694,snapshot,NVIDIA GeForce RTX 4090,100,23102,24564,149.71,ok,17,0,0.004832073485790844
1,hol_age_diagnostic_512_20260728,warmup,1,73,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,23,1785201974.650387,snapshot,NVIDIA GeForce RTX 4090,100,23102,24564,287.77,ok,17,0,0.006769687111281231
1,hol_age_diagnostic_512_20260728,warmup,1,73,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,24,1785201974.9736738,snapshot,NVIDIA GeForce RTX 4090,100,23102,24564,304.37,ok,17,0,0.009616304659841202
1,hol_age_diagnostic_512_20260728,warmup,1,73,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,25,1785201975.3403683,snapshot,NVIDIA GeForce RTX 4090,100,23102,24564,308.08,ok,17,0,0.00987943737441388
