schema_version,experiment_id,phase,repeat_index,job_id,server_version,pgvector_version,sample_index,sample_epoch_s,gpu_metrics_status,gpu_name,gpu_utilization_pct,gpu_memory_used_mib,gpu_memory_total_mib,gpu_power_w,vllm_metrics_status,vllm_num_requests_running,vllm_num_requests_waiting,vllm_kv_cache_usage_perc
1,hol_age_diagnostic_512_20260728,formal,1,77,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,0,1785202411.6238086,snapshot,NVIDIA GeForce RTX 4090,0,23102,24564,63.26,ok,0,0,0.0
1,hol_age_diagnostic_512_20260728,formal,1,77,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,1,1785202411.943128,snapshot,NVIDIA GeForce RTX 4090,0,23102,24564,63.26,ok,0,0,0.0
1,hol_age_diagnostic_512_20260728,formal,1,77,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,2,1785202412.3078377,snapshot,NVIDIA GeForce RTX 4090,0,23102,24564,62.30,ok,0,0,0.0
1,hol_age_diagnostic_512_20260728,formal,1,77,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,3,1785202412.6529686,snapshot,NVIDIA GeForce RTX 4090,0,23102,24564,62.30,ok,0,0,0.0
1,hol_age_diagnostic_512_20260728,formal,1,77,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,4,1785202412.9526901,snapshot,NVIDIA GeForce RTX 4090,0,23102,24564,62.30,ok,0,0,0.0
1,hol_age_diagnostic_512_20260728,formal,1,77,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,5,1785202413.274756,snapshot,NVIDIA GeForce RTX 4090,0,23102,24564,61.74,ok,0,0,0.0
1,hol_age_diagnostic_512_20260728,formal,1,77,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,6,1785202413.5973191,snapshot,NVIDIA GeForce RTX 4090,0,23102,24564,61.74,ok,0,0,0.0
1,hol_age_diagnostic_512_20260728,formal,1,77,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,7,1785202413.914991,snapshot,NVIDIA GeForce RTX 4090,0,23102,24564,61.74,ok,0,0,0.0
1,hol_age_diagnostic_512_20260728,formal,1,77,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,8,1785202414.2374344,snapshot,NVIDIA GeForce RTX 4090,0,23102,24564,61.37,ok,0,0,0.0
1,hol_age_diagnostic_512_20260728,formal,1,77,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,9,1785202414.5924969,snapshot,NVIDIA GeForce RTX 4090,0,23102,24564,61.37,ok,0,0,0.0
1,hol_age_diagnostic_512_20260728,formal,1,77,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,10,1785202414.9562986,snapshot,NVIDIA GeForce RTX 4090,0,23102,24564,61.37,ok,0,0,0.0
1,hol_age_diagnostic_512_20260728,formal,1,77,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,11,1785202415.293127,snapshot,NVIDIA GeForce RTX 4090,0,23102,24564,58.92,ok,0,0,0.0
1,hol_age_diagnostic_512_20260728,formal,1,77,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,12,1785202415.59123,snapshot,NVIDIA GeForce RTX 4090,0,23102,24564,58.92,ok,0,0,0.0
1,hol_age_diagnostic_512_20260728,formal,1,77,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,13,1785202415.9325259,snapshot,NVIDIA GeForce RTX 4090,0,23102,24564,58.92,ok,0,0,0.0
1,hol_age_diagnostic_512_20260728,formal,1,77,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,14,1785202416.2512279,snapshot,NVIDIA GeForce RTX 4090,0,23102,24564,43.39,ok,0,0,0.0
1,hol_age_diagnostic_512_20260728,formal,1,77,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,15,1785202416.570564,snapshot,NVIDIA GeForce RTX 4090,0,23102,24564,43.39,ok,0,0,0.0
1,hol_age_diagnostic_512_20260728,formal,1,77,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,16,1785202416.8714476,snapshot,NVIDIA GeForce RTX 4090,0,23102,24564,43.39,ok,0,0,0.0
1,hol_age_diagnostic_512_20260728,formal,1,77,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,17,1785202417.199701,snapshot,NVIDIA GeForce RTX 4090,94,23102,24564,72.14,ok,11,0,0.0015787962874366235
1,hol_age_diagnostic_512_20260728,formal,1,77,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,18,1785202417.5890472,snapshot,NVIDIA GeForce RTX 4090,100,23102,24564,125.74,ok,19,0,0.00399483303033199
1,hol_age_diagnostic_512_20260728,formal,1,77,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,19,1785202417.933422,snapshot,NVIDIA GeForce RTX 4090,100,23102,24564,154.01,ok,17,0,0.005454023538417396
1,hol_age_diagnostic_512_20260728,formal,1,77,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,20,1785202418.2757587,snapshot,NVIDIA GeForce RTX 4090,100,23102,24564,294.54,ok,16,0,0.00791790259305325
1,hol_age_diagnostic_512_20260728,formal,1,77,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,21,1785202418.619677,snapshot,NVIDIA GeForce RTX 4090,100,23102,24564,301.14,ok,15,0,0.00913788154243611
1,hol_age_diagnostic_512_20260728,formal,1,77,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,22,1785202418.960369,snapshot,NVIDIA GeForce RTX 4090,100,23102,24564,295.37,ok,15,0,0.01054922973878103
1,hol_age_diagnostic_512_20260728,formal,1,77,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,23,1785202419.3071196,snapshot,NVIDIA GeForce RTX 4090,100,23102,24564,290.79,ok,12,0,0.010022964309635451
1,hol_age_diagnostic_512_20260728,formal,1,77,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,24,1785202419.6343358,snapshot,NVIDIA GeForce RTX 4090,100,23102,24564,285.39,ok,7,0,0.006793608267151474
1,hol_age_diagnostic_512_20260728,formal,1,77,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,25,1785202419.9918468,snapshot,NVIDIA GeForce RTX 4090,100,23102,24564,276.24,ok,4,0,0.004138359965553562
1,hol_age_diagnostic_512_20260728,formal,1,77,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,26,1785202420.3156025,snapshot,NVIDIA GeForce RTX 4090,100,23102,24564,281.46,ok,5,0,0.009042196918955137
1,hol_age_diagnostic_512_20260728,formal,1,77,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,27,1785202420.6860173,snapshot,NVIDIA GeForce RTX 4090,100,23102,24564,273.95,ok,5,0,0.006123815902784435
