schema_version,experiment_id,phase,repeat_index,job_id,server_version,pgvector_version,sample_index,sample_epoch_s,gpu_metrics_status,gpu_name,gpu_utilization_pct,gpu_memory_used_mib,gpu_memory_total_mib,gpu_power_w,vllm_metrics_status,vllm_num_requests_running,vllm_num_requests_waiting,vllm_kv_cache_usage_perc
1,hol_age_diagnostic_512_20260728,formal,1,80,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,0,1785202718.4648445,snapshot,NVIDIA GeForce RTX 4090,0,23102,24564,64.37,ok,0,0,0.0
1,hol_age_diagnostic_512_20260728,formal,1,80,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,1,1785202718.7694354,snapshot,NVIDIA GeForce RTX 4090,0,23102,24564,64.37,ok,0,0,0.0
1,hol_age_diagnostic_512_20260728,formal,1,80,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,2,1785202719.0888734,snapshot,NVIDIA GeForce RTX 4090,0,23102,24564,63.81,ok,0,0,0.0
1,hol_age_diagnostic_512_20260728,formal,1,80,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,3,1785202719.3907347,snapshot,NVIDIA GeForce RTX 4090,0,23102,24564,63.81,ok,0,0,0.0
1,hol_age_diagnostic_512_20260728,formal,1,80,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,4,1785202719.6922584,snapshot,NVIDIA GeForce RTX 4090,0,23102,24564,63.81,ok,0,0,0.0
1,hol_age_diagnostic_512_20260728,formal,1,80,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,5,1785202719.994562,snapshot,NVIDIA GeForce RTX 4090,0,23102,24564,63.24,ok,0,0,0.0
1,hol_age_diagnostic_512_20260728,formal,1,80,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,6,1785202720.301691,snapshot,NVIDIA GeForce RTX 4090,0,23102,24564,63.24,ok,0,0,0.0
1,hol_age_diagnostic_512_20260728,formal,1,80,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,7,1785202720.6017232,snapshot,NVIDIA GeForce RTX 4090,0,23102,24564,63.24,ok,0,0,0.0
1,hol_age_diagnostic_512_20260728,formal,1,80,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,8,1785202720.9042172,snapshot,NVIDIA GeForce RTX 4090,0,23102,24564,62.82,ok,0,0,0.0
1,hol_age_diagnostic_512_20260728,formal,1,80,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,9,1785202721.2447252,snapshot,NVIDIA GeForce RTX 4090,0,23102,24564,62.82,ok,0,0,0.0
1,hol_age_diagnostic_512_20260728,formal,1,80,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,10,1785202721.5817742,snapshot,NVIDIA GeForce RTX 4090,0,23102,24564,62.82,ok,0,0,0.0
1,hol_age_diagnostic_512_20260728,formal,1,80,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,11,1785202721.9041052,snapshot,NVIDIA GeForce RTX 4090,0,23102,24564,61.60,ok,0,0,0.0
1,hol_age_diagnostic_512_20260728,formal,1,80,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,12,1785202722.2443247,snapshot,NVIDIA GeForce RTX 4090,0,23102,24564,61.60,ok,0,0,0.0
1,hol_age_diagnostic_512_20260728,formal,1,80,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,13,1785202722.5842342,snapshot,NVIDIA GeForce RTX 4090,0,23102,24564,61.60,ok,0,0,0.0
1,hol_age_diagnostic_512_20260728,formal,1,80,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,14,1785202722.884841,snapshot,NVIDIA GeForce RTX 4090,0,23102,24564,46.09,ok,0,0,0.0
1,hol_age_diagnostic_512_20260728,formal,1,80,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,15,1785202723.2460492,snapshot,NVIDIA GeForce RTX 4090,0,23102,24564,46.09,ok,0,0,0.0
1,hol_age_diagnostic_512_20260728,formal,1,80,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,16,1785202723.5823803,snapshot,NVIDIA GeForce RTX 4090,0,23102,24564,46.09,ok,0,0,0.0
1,hol_age_diagnostic_512_20260728,formal,1,80,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,17,1785202723.943885,snapshot,NVIDIA GeForce RTX 4090,94,23102,24564,38.01,ok,2,0,0.00021529040283230216
1,hol_age_diagnostic_512_20260728,formal,1,80,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,18,1785202724.2736564,snapshot,NVIDIA GeForce RTX 4090,100,23102,24564,91.10,ok,11,0,0.0016984020667878408
