schema_version,experiment_id,phase,repeat_index,job_id,server_version,pgvector_version,controller,trace_index,elapsed_s,fresh,inflight,k_max,running,waiting,kv_usage,sample_age_s,controller_action,reason,allowed
1,hol_age_diagnostic_512_20260728,formal,3,91,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,aimd_hol,0,0.0,True,0,10,0,0,0.0,0.11003117263317108,increase,hol_age_low_load,True
1,hol_age_diagnostic_512_20260728,formal,3,91,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,aimd_hol,1,0.06971536204218864,True,1,12,0,0,0.0,0.17974653467535973,increase,hol_age_low_load,True
1,hol_age_diagnostic_512_20260728,formal,3,91,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,aimd_hol,2,0.11391793936491013,True,2,14,0,0,0.0,0.2239491119980812,increase,hol_age_low_load,True
1,hol_age_diagnostic_512_20260728,formal,3,91,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,aimd_hol,3,0.20238673873245716,True,3,16,0,0,0.0,0.05354711599647999,increase,hol_age_low_load,True
1,hol_age_diagnostic_512_20260728,formal,3,91,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,aimd_hol,4,0.2648984417319298,True,4,16,0,0,0.0,0.1160588189959526,hold,at_maximum,True
1,hol_age_diagnostic_512_20260728,formal,3,91,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,aimd_hol,5,0.3163938485085964,True,5,16,0,0,0.0,0.16755422577261925,hold,at_maximum,True
1,hol_age_diagnostic_512_20260728,formal,3,91,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,aimd_hol,6,0.36789307557046413,True,6,16,0,0,0.0,0.21905345283448696,hold,at_maximum,True
1,hol_age_diagnostic_512_20260728,formal,3,91,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,aimd_hol,7,0.48042181879282,True,7,16,0,0,0.0,0.07139404490590096,hold,at_maximum,True
1,hol_age_diagnostic_512_20260728,formal,3,91,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,aimd_hol,8,0.5332920663058758,True,8,16,0,0,0.0,0.12426429241895676,hold,at_maximum,True
1,hol_age_diagnostic_512_20260728,formal,3,91,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,aimd_hol,9,0.6363849472254515,True,9,16,0,0,0.0,0.22735717333853245,hold,deadband,True
1,hol_age_diagnostic_512_20260728,formal,3,91,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,aimd_hol,10,0.7218635659664869,True,10,16,0,0,0.0,0.05175341106951237,hold,deadband,True
1,hol_age_diagnostic_512_20260728,formal,3,91,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,aimd_hol,11,0.8028660975396633,True,11,16,0,0,0.0,0.13275594264268875,hold,deadband,True
1,hol_age_diagnostic_512_20260728,formal,3,91,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,aimd_hol,12,0.8873573634773493,True,12,16,0,0,0.0,0.21724720858037472,hold,deadband,True
1,hol_age_diagnostic_512_20260728,formal,3,91,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,aimd_hol,13,1.0318711549043655,True,13,16,0,0,0.0,0.1006535179913044,hold,deadband,True
1,hol_age_diagnostic_512_20260728,formal,3,91,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,aimd_hol,14,1.0839112680405378,True,14,16,0,0,0.0,0.1526936311274767,hold,deadband,True
1,hol_age_diagnostic_512_20260728,formal,3,91,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,aimd_hol,15,1.1438302248716354,True,15,16,0,0,0.0,0.2126125879585743,hold,deadband,True
1,hol_age_diagnostic_512_20260728,formal,3,91,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,aimd_hol,16,1.2893778402358294,True,16,16,0,0,0.0,0.0992782935500145,hold,deadband,False
1,hol_age_diagnostic_512_20260728,formal,3,91,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,aimd_hol,17,4.102804396301508,True,15,8,14,0,0.0024160367428953666,0.045183852314949036,decrease,hol_age_congestion,False
1,hol_age_diagnostic_512_20260728,formal,3,91,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,aimd_hol,18,4.322154890745878,True,14,4,19,0,0.003970911874461747,0.0036940276622772217,decrease,hol_age_congestion,False
1,hol_age_diagnostic_512_20260728,formal,3,91,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,aimd_hol,19,4.993126790970564,True,13,4,18,0,0.007200267916945724,0.1483284030109644,hold,at_minimum,False
1,hol_age_diagnostic_512_20260728,formal,3,91,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,aimd_hol,20,5.020830534398556,True,12,4,18,0,0.007200267916945724,0.17603214643895626,hold,at_minimum,False
1,hol_age_diagnostic_512_20260728,formal,3,91,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,aimd_hol,21,5.460356462746859,True,11,4,15,0,0.009448856568749386,0.09160928800702095,hold,at_minimum,False
1,hol_age_diagnostic_512_20260728,formal,3,91,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,aimd_hol,22,5.6542949359864,True,10,4,15,0,0.00906611807482538,0.02557525224983692,hold,at_minimum,False
1,hol_age_diagnostic_512_20260728,formal,3,91,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,aimd_hol,23,6.1965123154222965,True,9,4,12,0,0.010166491244856912,0.045522745698690414,hold,at_minimum,False
1,hol_age_diagnostic_512_20260728,formal,3,91,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,aimd_hol,24,6.251697154715657,True,8,4,12,0,0.010166491244856912,0.10070758499205112,hold,at_minimum,False
1,hol_age_diagnostic_512_20260728,formal,3,91,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,aimd_hol,25,6.271645585075021,True,7,4,12,0,0.010166491244856912,0.12065601535141468,hold,at_minimum,False
1,hol_age_diagnostic_512_20260728,formal,3,91,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,aimd_hol,26,6.31019551306963,True,6,4,12,0,0.010166491244856912,0.15920594334602356,hold,at_minimum,False
