status,experiment_id,phase,repeat_index,server_version,pgvector_version,gpu_metrics_status,gpu_name,gpu_utilization_pct,gpu_memory_used_mib,gpu_memory_total_mib,database_trigger,job_id,operator,seed_workload,executor,strategy,data_source,source_workload_name,source_order,organizer,organizer_partition_mode,organizer_partitions,daft_runner,organizer_partition_effective,model_backend,model_endpoint_url,model_name,model_request_timeout_s,total_rows,written_rows,db_fetch_rows,ray_batch_rows,batching_policy,token_budget,embedding_dim,embedding_vector_dim,completion_max_tokens,model_workers,max_inflight_limit,writeback_mode,write_batch_rows,object_count,operator_invocations,max_inflight_seen,token_count,batch_rows_min,batch_rows_max,batch_rows_mean,batch_tokens_min,batch_tokens_max,batch_tokens_mean,batch_tokens_p50,batch_tokens_p95,batch_service_s_p50,batch_service_s_p95,batch_service_s_p99,vllm_metrics_status,vllm_prompt_tokens_delta,vllm_generation_tokens_delta,vllm_request_success_delta,vllm_e2e_request_latency_mean_s,vllm_request_queue_time_mean_s,vllm_request_inference_time_mean_s,vllm_request_prefill_time_mean_s,vllm_request_decode_time_mean_s,vllm_num_requests_running_after,vllm_num_requests_waiting_after,vllm_kv_cache_usage_perc_after,db_fetch_s,arrow_build_s,source_fetch_s,organizer_from_arrow_s,organizer_plan_s,organizer_collect_s,organizer_warnings,model_service_s,model_request_wall_s,operator_wall_s,submit_s,bounded_wait_s,avg_bounded_wait_s,fanin_s,writeback_s,e2e_s,rows_per_s
ok,matrix_fixed32_k2,warmup,1,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,snapshot,NVIDIA GeForce RTX 5070,6,11309,12227,job_table,552,ai_complete,synthetic,ray_task,coalesced,daft_postgres,sharegpt_burstgpt,arrival_time,daft,none,0,native,true,compatible_http,http://localhost:8000/v1/completions,qwen2.5-1.5b,300.0,512,0,512,32,fixed_rows,0,128,128,16,2,2,none,0,16,16,2,70586,32,32,32.0,1245,11049,4411.625,3449.0,11049.0,0.33914,0.375388,0.375388,ok,62396,8190,512,0.320582,5.4e-05,0.28869,0.045632,0.243059,0,0,0.0,0.433976,0.0,0.433976,0.000565,4.8e-05,0.010151,,5.456171,2.770542,4.364178,0.019032,3.995767,0.285412,0.002712,6e-06,4.994766,102.507
ok,matrix_fixed32_k2,formal,1,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,snapshot,NVIDIA GeForce RTX 5070,91,11306,12227,job_table,553,ai_complete,synthetic,ray_task,coalesced,daft_postgres,sharegpt_burstgpt,arrival_time,daft,none,0,native,true,compatible_http,http://localhost:8000/v1/completions,qwen2.5-1.5b,300.0,512,0,512,32,fixed_rows,0,128,128,16,2,2,none,0,16,16,2,70578,32,32,32.0,1245,11049,4411.125,3449.0,11049.0,0.331645,0.35192,0.35192,ok,62396,8182,512,0.313369,4.8e-05,0.284956,0.041276,0.24368,0,0,0.0,0.064925,0.0,0.064925,0.000395,6.1e-05,0.008612,,5.290299,2.68093,2.686911,0.016977,2.329556,0.166397,0.003096,7e-06,2.77672,184.39
ok,matrix_fixed32_k2,formal,2,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,snapshot,NVIDIA GeForce RTX 5070,80,11312,12227,job_table,554,ai_complete,synthetic,ray_task,coalesced,daft_postgres,sharegpt_burstgpt,arrival_time,daft,none,0,native,true,compatible_http,http://localhost:8000/v1/completions,qwen2.5-1.5b,300.0,512,0,512,32,fixed_rows,0,128,128,16,2,2,none,0,16,16,2,70574,32,32,32.0,1244,11041,4410.875,3449.0,11041.0,0.339331,0.368191,0.368191,ok,62396,8178,512,0.321327,5.5e-05,0.290075,0.0437,0.246376,0,0,0.0,0.068491,0.0,0.068491,0.000429,4.8e-05,0.008761,,5.441304,2.762789,2.769045,0.019035,2.416977,0.172641,0.002931,5e-06,2.884871,177.478
ok,matrix_fixed32_k2,formal,3,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,snapshot,NVIDIA GeForce RTX 5070,94,11313,12227,job_table,555,ai_complete,synthetic,ray_task,coalesced,daft_postgres,sharegpt_burstgpt,arrival_time,daft,none,0,native,true,compatible_http,http://localhost:8000/v1/completions,qwen2.5-1.5b,300.0,512,0,512,32,fixed_rows,0,128,128,16,2,2,none,0,16,16,2,70580,32,32,32.0,1245,11049,4411.25,3449.0,11049.0,0.345551,0.361402,0.361402,ok,62396,8184,512,0.323422,4.5e-05,0.294195,0.04601,0.248184,0,0,0.0,0.064397,0.0,0.064397,0.000457,4.8e-05,0.008398,,5.483585,2.78231,2.787769,0.016428,2.439716,0.174265,0.002836,9e-06,2.917001,175.523
ok,matrix_fixed32_k4,warmup,1,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,snapshot,NVIDIA GeForce RTX 5070,6,11313,12227,job_table,556,ai_complete,synthetic,ray_task,coalesced,daft_postgres,sharegpt_burstgpt,arrival_time,daft,none,0,native,true,compatible_http,http://localhost:8000/v1/completions,qwen2.5-1.5b,300.0,512,0,512,32,fixed_rows,0,128,128,16,2,4,none,0,16,16,4,70580,32,32,32.0,1245,11049,4411.25,3449.0,11049.0,0.399795,0.481852,0.481852,ok,62396,8184,512,0.387077,3.8e-05,0.357946,0.049823,0.308123,0,0,0.0,0.465031,0.0,0.465031,0.000561,4.7e-05,0.010398,,6.47563,1.750321,3.3714,0.02328,2.997352,0.249779,0.00477,5e-06,4.036073,126.856
ok,matrix_fixed32_k4,formal,1,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,snapshot,NVIDIA GeForce RTX 5070,96,11306,12227,job_table,557,ai_complete,synthetic,ray_task,coalesced,daft_postgres,sharegpt_burstgpt,arrival_time,daft,none,0,native,true,compatible_http,http://localhost:8000/v1/completions,qwen2.5-1.5b,300.0,512,0,512,32,fixed_rows,0,128,128,16,2,4,none,0,16,16,4,70578,32,32,32.0,1245,11049,4411.125,3449.0,11049.0,0.415018,0.451085,0.451085,ok,62396,8182,512,0.399103,5.4e-05,0.362186,0.061155,0.30103,0,0,0.0,0.0652,0.0,0.0652,0.00043,5.1e-05,0.008799,,6.69684,1.706342,1.711847,0.019269,1.279665,0.106639,0.003449,7e-06,1.847473,277.135
ok,matrix_fixed32_k4,formal,2,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,snapshot,NVIDIA GeForce RTX 5070,95,11320,12227,job_table,558,ai_complete,synthetic,ray_task,coalesced,daft_postgres,sharegpt_burstgpt,arrival_time,daft,none,0,native,true,compatible_http,http://localhost:8000/v1/completions,qwen2.5-1.5b,300.0,512,0,512,32,fixed_rows,0,128,128,16,2,4,none,0,16,16,4,70588,32,32,32.0,1245,11049,4411.75,3449.0,11049.0,0.420949,0.438758,0.438758,ok,62396,8192,512,0.403359,8.8e-05,0.364794,0.067537,0.297257,0,0,0.0,0.070579,0.0,0.070579,0.000433,4.9e-05,0.009098,,6.742384,1.70275,1.710329,0.016141,1.273368,0.106114,0.002443,1e-05,1.818711,281.518
ok,matrix_fixed32_k4,formal,3,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,snapshot,NVIDIA GeForce RTX 5070,95,11312,12227,job_table,559,ai_complete,synthetic,ray_task,coalesced,daft_postgres,sharegpt_burstgpt,arrival_time,daft,none,0,native,true,compatible_http,http://localhost:8000/v1/completions,qwen2.5-1.5b,300.0,512,0,512,32,fixed_rows,0,128,128,16,2,4,none,0,16,16,4,70578,32,32,32.0,1245,11049,4411.125,3449.0,11049.0,0.41922,0.457137,0.457137,ok,62396,8182,512,0.40651,5.2e-05,0.371879,0.06324,0.308639,0,0,0.0,0.062436,0.0,0.062436,0.000525,8.6e-05,0.008454,,6.84097,1.736765,1.763216,0.016602,1.314269,0.109522,0.002569,1.1e-05,1.863449,274.759
ok,matrix_fixed32_k8,warmup,1,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,snapshot,NVIDIA GeForce RTX 5070,6,11309,12227,job_table,560,ai_complete,synthetic,ray_task,coalesced,daft_postgres,sharegpt_burstgpt,arrival_time,daft,none,0,native,true,compatible_http,http://localhost:8000/v1/completions,qwen2.5-1.5b,300.0,512,0,512,32,fixed_rows,0,128,128,16,2,8,none,0,16,16,8,70580,32,32,32.0,1245,11049,4411.25,3449.0,11049.0,0.647087,0.746702,0.746702,ok,62396,8184,512,0.653245,6.5e-05,0.603917,0.100442,0.503474,0,0,0.0,0.457032,0.0,0.457032,0.000654,5.1e-05,0.010094,,10.754727,1.60358,3.583824,0.023295,2.92826,0.366033,0.003675,7e-06,4.243397,120.658
ok,matrix_fixed32_k8,formal,1,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,snapshot,NVIDIA GeForce RTX 5070,83,11305,12227,job_table,561,ai_complete,synthetic,ray_task,coalesced,daft_postgres,sharegpt_burstgpt,arrival_time,daft,none,0,native,true,compatible_http,http://localhost:8000/v1/completions,qwen2.5-1.5b,300.0,512,0,512,32,fixed_rows,0,128,128,16,2,8,none,0,16,16,8,70581,32,32,32.0,1245,11049,4411.3125,3449.0,11049.0,0.692099,0.761129,0.761129,ok,62396,8185,512,0.673703,9.1e-05,0.608515,0.098352,0.510163,0,0,0.0,0.070386,0.0,0.070386,0.000629,7.6e-05,0.010797,,11.176816,1.432337,1.4425,0.018643,0.755604,0.094451,0.003508,6e-06,1.542997,331.822
