status,experiment_id,phase,repeat_index,server_version,pgvector_version,gpu_metrics_status,gpu_name,gpu_utilization_pct,gpu_memory_used_mib,gpu_memory_total_mib,database_trigger,job_id,operator,seed_workload,executor,strategy,data_source,source_workload_name,source_order,organizer,organizer_partition_mode,organizer_partitions,daft_runner,organizer_partition_effective,model_backend,model_endpoint_url,model_name,model_request_timeout_s,total_rows,written_rows,db_fetch_rows,ray_batch_rows,batching_policy,token_budget,embedding_dim,embedding_vector_dim,completion_max_tokens,model_workers,max_inflight_limit,scheduling_policy,adaptive_min_inflight,adaptive_max_inflight,adaptive_downshifts,adaptive_upshifts,adaptive_limit_mean,writeback_mode,write_batch_rows,object_count,operator_invocations,max_inflight_seen,token_count,batch_rows_min,batch_rows_max,batch_rows_mean,batch_tokens_min,batch_tokens_max,batch_tokens_mean,batch_tokens_p50,batch_tokens_p95,batch_service_s_p50,batch_service_s_p95,batch_service_s_p99,vllm_metrics_status,vllm_prompt_tokens_delta,vllm_generation_tokens_delta,vllm_request_success_delta,vllm_e2e_request_latency_mean_s,vllm_request_queue_time_mean_s,vllm_request_inference_time_mean_s,vllm_request_prefill_time_mean_s,vllm_request_decode_time_mean_s,vllm_num_requests_running_after,vllm_num_requests_waiting_after,vllm_kv_cache_usage_perc_after,db_fetch_s,arrow_build_s,source_fetch_s,organizer_from_arrow_s,organizer_plan_s,organizer_collect_s,organization_policy_family,batch_prompt_token_spread_mean,prefix_group_ratio,organizer_warnings,model_service_s,model_request_wall_s,operator_wall_s,submit_s,bounded_wait_s,avg_bounded_wait_s,fanin_s,writeback_s,e2e_s,rows_per_s
ok,ablation_fixed32,warmup,1,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,snapshot,NVIDIA GeForce RTX 5070,7,11528,12227,job_table,699,ai_complete,synthetic,ray_task,coalesced,daft_postgres,sharegpt_burstgpt,arrival_time,daft,none,0,native,true,compatible_http,http://localhost:8000/v1/completions,qwen2.5-1.5b,300.0,512,0,512,32,fixed_rows,0,128,128,16,2,8,static,0,0,0,0,8.0,none,0,16,16,8,70578,32,32,32.0,1245,11047,4411.125,3449.0,11047.0,0.706291,0.79745,0.79745,ok,62396,8182,512,0.686553,7.2e-05,0.637531,0.091947,0.545585,0,0,0.0,0.768929,0.0,0.768929,0.001886,9.5e-05,0.012849,none,995.25,0.041016,,11.217684,1.578665,4.355881,0.043429,3.719042,0.46488,0.004208,7e-06,5.36968,95.35
ok,ablation_fixed32,formal,1,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,snapshot,NVIDIA GeForce RTX 5070,97,11574,12227,job_table,700,ai_complete,synthetic,ray_task,coalesced,daft_postgres,sharegpt_burstgpt,arrival_time,daft,none,0,native,true,compatible_http,http://localhost:8000/v1/completions,qwen2.5-1.5b,300.0,512,0,512,32,fixed_rows,0,128,128,16,2,8,static,0,0,0,0,8.0,none,0,16,16,8,70554,32,32,32.0,1245,11047,4409.625,3449.0,11047.0,0.716673,0.774209,0.774209,ok,62396,8158,512,0.699248,7.9e-05,0.634926,0.102819,0.532107,0,0,0.0,0.069687,0.0,0.069687,0.000614,5.8e-05,0.009949,none,995.25,0.041016,,11.600248,1.490764,1.499329,0.016923,0.770141,0.096268,0.002853,1.3e-05,1.608602,318.289
ok,ablation_fixed32,formal,2,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,snapshot,NVIDIA GeForce RTX 5070,96,11579,12227,job_table,701,ai_complete,synthetic,ray_task,coalesced,daft_postgres,sharegpt_burstgpt,arrival_time,daft,none,0,native,true,compatible_http,http://localhost:8000/v1/completions,qwen2.5-1.5b,300.0,512,0,512,32,fixed_rows,0,128,128,16,2,8,static,0,0,0,0,8.0,none,0,16,16,8,70568,32,32,32.0,1245,11049,4410.5,3449.0,11049.0,0.698272,0.824686,0.824686,ok,62396,8172,512,0.696891,8.7e-05,0.636993,0.096891,0.540103,0,0,0.0,0.075011,0.0,0.075011,0.000463,4.9e-05,0.010511,none,995.25,0.041016,,11.511806,1.473415,1.481306,0.01752,0.814214,0.101777,0.002762,8e-06,1.604604,319.082
ok,ablation_fixed32,formal,3,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,snapshot,NVIDIA GeForce RTX 5070,96,11578,12227,job_table,702,ai_complete,synthetic,ray_task,coalesced,daft_postgres,sharegpt_burstgpt,arrival_time,daft,none,0,native,true,compatible_http,http://localhost:8000/v1/completions,qwen2.5-1.5b,300.0,512,0,512,32,fixed_rows,0,128,128,16,2,8,static,0,0,0,0,8.0,none,0,16,16,8,70576,32,32,32.0,1245,11049,4411.0,3449.0,11049.0,0.710461,0.811081,0.811081,ok,62396,8180,512,0.712896,6.6e-05,0.647012,0.098357,0.548655,0,0,0.0,0.069627,0.0,0.069627,0.000409,4.7e-05,0.010028,none,995.25,0.041016,,11.699324,1.5085,1.516496,0.015997,0.805345,0.100668,0.002915,1.3e-05,1.633849,313.37
ok,ablation_token6144,warmup,1,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,snapshot,NVIDIA GeForce RTX 5070,11,11564,12227,job_table,703,ai_complete,synthetic,ray_task,coalesced,daft_postgres,sharegpt_burstgpt,arrival_time,daft,none,0,native,true,compatible_http,http://localhost:8000/v1/completions,qwen2.5-1.5b,300.0,512,0,512,32,token_budget,6144,128,128,16,2,8,static,0,0,0,0,8.0,none,0,13,13,8,70578,1,71,39.384615,1159,6141,5429.076923,5806.0,6141.0,0.816022,1.236022,1.236022,ok,62396,8182,512,0.764535,0.023044,0.68982,0.093224,0.596596,0,0,0.0,0.466825,0.0,0.466825,0.000687,1.7e-05,0.003264,none,1014.077,0.039062,,10.515788,1.649503,4.306842,0.022184,3.678459,0.735692,0.003367,1.2e-05,4.978779,102.836
ok,ablation_token6144,formal,1,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,snapshot,NVIDIA GeForce RTX 5070,97,11568,12227,job_table,704,ai_complete,synthetic,ray_task,coalesced,daft_postgres,sharegpt_burstgpt,arrival_time,daft,none,0,native,true,compatible_http,http://localhost:8000/v1/completions,qwen2.5-1.5b,300.0,512,0,512,32,token_budget,6144,128,128,16,2,8,static,0,0,0,0,8.0,none,0,13,13,8,70578,1,71,39.384615,1159,6141,5429.076923,5806.0,6141.0,0.735851,1.385695,1.385695,ok,62396,8182,512,0.741272,0.015832,0.655885,0.11012,0.545764,0,0,0.0,0.069588,0.0,0.069588,0.000574,2e-05,0.002959,none,1014.077,0.039062,,10.955759,1.502676,1.510293,0.017993,0.820805,0.164161,0.003055,8e-06,1.616041,316.824
ok,ablation_token6144,formal,2,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,snapshot,NVIDIA GeForce RTX 5070,97,11563,12227,job_table,705,ai_complete,synthetic,ray_task,coalesced,daft_postgres,sharegpt_burstgpt,arrival_time,daft,none,0,native,true,compatible_http,http://localhost:8000/v1/completions,qwen2.5-1.5b,300.0,512,0,512,32,token_budget,6144,128,128,16,2,8,static,0,0,0,0,8.0,none,0,13,13,8,70565,1,71,39.384615,1159,6141,5428.076923,5814.0,6141.0,0.788294,1.406743,1.406743,ok,62396,8169,512,0.74693,0.016179,0.664441,0.103727,0.560715,0,0,0.0,0.072839,0.0,0.072839,0.000443,1.6e-05,0.002855,none,1014.077,0.039062,,10.625865,1.53155,1.539754,0.017162,0.835545,0.167109,0.002552,6e-06,1.644178,311.402
ok,ablation_token6144,formal,3,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,snapshot,NVIDIA GeForce RTX 5070,97,11563,12227,job_table,706,ai_complete,synthetic,ray_task,coalesced,daft_postgres,sharegpt_burstgpt,arrival_time,daft,none,0,native,true,compatible_http,http://localhost:8000/v1/completions,qwen2.5-1.5b,300.0,512,0,512,32,token_budget,6144,128,128,16,2,8,static,0,0,0,0,8.0,none,0,13,13,8,70575,1,71,39.384615,1159,6141,5428.846154,5806.0,6141.0,0.795727,1.428432,1.428432,ok,62396,8179,512,0.781731,0.014889,0.692868,0.109028,0.58384,0,0,0.0,0.095246,0.0,0.095246,0.000516,1.7e-05,0.003494,none,1014.077,0.039062,,10.879045,1.553415,1.561764,0.017485,0.875122,0.175024,0.002847,1.6e-05,1.765697,289.971
ok,ablation_length_fixed32,warmup,1,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,snapshot,NVIDIA GeForce RTX 5070,11,11550,12227,job_table,707,ai_complete,synthetic,ray_task,coalesced,daft_postgres,sharegpt_burstgpt,arrival_time,daft,none,0,native,true,compatible_http,http://localhost:8000/v1/completions,qwen2.5-1.5b,300.0,512,0,512,32,length_align_fixed_rows,0,128,128,16,2,8,static,0,0,0,0,8.0,none,0,16,16,8,70570,32,32,32.0,562,33407,4410.625,1137.0,33407.0,0.709937,0.746602,0.746602,ok,62396,8174,512,0.671765,0.00011,0.615901,0.0963,0.519601,0,0,0.0,0.496681,0.0,0.496681,0.000578,1.5e-05,0.04401,length_align,114.375,0.054688,,11.030772,1.660879,4.218443,0.028712,3.483854,0.435482,0.003454,1.2e-05,4.980967,102.791
ok,ablation_length_fixed32,formal,1,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,snapshot,NVIDIA GeForce RTX 5070,97,11603,12227,job_table,708,ai_complete,synthetic,ray_task,coalesced,daft_postgres,sharegpt_burstgpt,arrival_time,daft,none,0,native,true,compatible_http,http://localhost:8000/v1/completions,qwen2.5-1.5b,300.0,512,0,512,32,length_align_fixed_rows,0,128,128,16,2,8,static,0,0,0,0,8.0,none,0,16,16,8,70586,32,32,32.0,562,33407,4411.625,1147.0,33407.0,0.705632,0.753255,0.753255,ok,62396,8190,512,0.6802,9.1e-05,0.630293,0.096941,0.533352,0,0,0.0,0.091385,0.0,0.091385,0.000541,1.7e-05,0.00484,length_align,114.375,0.054688,,11.288355,1.465865,1.473628,0.022269,0.703343,0.087918,0.003084,9e-06,1.619776,316.093
