sample_index,sample_epoch_s,gpu_index,gpu_name,gpu_utilization_pct,gpu_memory_used_mib,gpu_memory_total_mib,gpu_power_w
0,0.00018342584371566772,0,NVIDIA GeForce RTX 4090,0.0,23110.0,24564.0,351.08
0,0.00018342584371566772,1,NVIDIA GeForce RTX 4090,0.0,23110.0,24564.0,350.29
1,0.36689507216215134,0,NVIDIA GeForce RTX 4090,0.0,23110.0,24564.0,242.1
1,0.36689507216215134,1,NVIDIA GeForce RTX 4090,0.0,23110.0,24564.0,237.33
2,0.7578697949647903,0,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,200.78
2,0.7578697949647903,1,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,211.79
3,1.160422421991825,0,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,267.47
3,1.160422421991825,1,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,264.22
4,1.5388340689241886,0,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,335.3
4,1.5388340689241886,1,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,338.37
5,1.918347354978323,0,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,357.87
5,1.918347354978323,1,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,337.15
6,2.3369251023977995,0,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,357.8
6,2.3369251023977995,1,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,335.15
7,2.757389113306999,0,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,356.24
7,2.757389113306999,1,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,333.69
8,3.1777081172913313,0,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,356.66
8,3.1777081172913313,1,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,335.14
9,3.5933644957840443,0,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,356.56
9,3.5933644957840443,1,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,334.1
10,4.05152222700417,0,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,357.88
10,4.05152222700417,1,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,333.18
11,4.476658942177892,0,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,359.35
11,4.476658942177892,1,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,334.6
12,4.837729446589947,0,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,358.32
12,4.837729446589947,1,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,334.82
13,5.220999728888273,0,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,356.54
13,5.220999728888273,1,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,336.51
14,5.621043708175421,0,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,356.53
14,5.621043708175421,1,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,334.93
15,5.992454933002591,0,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,357.97
15,5.992454933002591,1,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,336.29
16,6.37525619007647,0,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,359.1
16,6.37525619007647,1,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,334.78
17,6.7977138459682465,0,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,359.02
17,6.7977138459682465,1,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,335.18
18,7.193798493593931,0,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,357.59
18,7.193798493593931,1,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,333.84
19,7.576228214427829,0,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,358.45
19,7.576228214427829,1,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,333.67
20,7.957366898655891,0,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,356.78
20,7.957366898655891,1,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,333.19
21,8.337281234562397,0,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,354.93
21,8.337281234562397,1,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,332.72
22,8.756566690281034,0,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,354.85
22,8.756566690281034,1,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,333.49
23,9.176445694640279,0,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,356.9
23,9.176445694640279,1,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,335.09
24,9.556001937016845,0,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,357.82
24,9.556001937016845,1,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,334.4
25,9.953480921685696,0,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,356.34
25,9.953480921685696,1,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,335.94
26,10.373801093548536,0,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,355.57
26,10.373801093548536,1,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,334.85
27,10.754573114216328,0,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,355.79
27,10.754573114216328,1,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,336.09
28,11.17097575776279,0,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,357.45
28,11.17097575776279,1,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,333.89
29,11.575958417728543,0,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,357.59
29,11.575958417728543,1,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,333.32
30,11.977767050266266,0,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,356.4
30,11.977767050266266,1,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,332.66
31,12.355555918067694,0,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,355.13
31,12.355555918067694,1,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,332.38
32,12.753825360909104,0,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,354.25
32,12.753825360909104,1,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,332.6
33,13.173519050702453,0,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,355.06
33,13.173519050702453,1,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,331.27
34,13.595738859847188,0,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,355.45
34,13.595738859847188,1,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,331.52
35,14.01959484256804,0,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,357.63
35,14.01959484256804,1,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,331.31
36,14.418019888922572,0,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,357.47
36,14.418019888922572,1,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,331.49
37,14.816050041466951,0,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,357.73
37,14.816050041466951,1,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,332.77
38,15.198950473219156,0,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,357.35
38,15.198950473219156,1,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,333.63
39,15.617933426052332,0,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,357.23
39,15.617933426052332,1,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,334.19
40,16.011863661929965,0,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,358.39
40,16.011863661929965,1,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,334.58
41,16.431891225278378,0,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,358.11
41,16.431891225278378,1,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,334.95
42,16.81656936556101,0,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,357.35
42,16.81656936556101,1,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,333.97
43,17.23459197767079,0,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,357.41
43,17.23459197767079,1,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,334.32
44,17.635046001523733,0,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,358.88
44,17.635046001523733,1,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,332.81
45,18.056320587173104,0,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,359.33
45,18.056320587173104,1,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,334.0
46,18.478778650984168,0,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,357.03
46,18.478778650984168,1,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,333.07
47,18.902680661529303,0,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,356.11
47,18.902680661529303,1,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,330.92
48,19.301505705341697,0,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,355.65
48,19.301505705341697,1,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,329.97
49,19.702495958656073,0,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,354.8
49,19.702495958656073,1,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,334.12
50,20.129787117242813,0,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,355.17
50,20.129787117242813,1,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,333.15
51,20.510858178138733,0,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,355.48
51,20.510858178138733,1,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,334.37
52,20.93837576918304,0,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,357.7
52,20.93837576918304,1,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,333.55
53,21.361515631899238,0,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,355.42
53,21.361515631899238,1,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,333.98
54,21.789803070947528,0,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,355.48
54,21.789803070947528,1,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,334.73
55,22.20609319768846,0,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,352.6
55,22.20609319768846,1,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,334.3
56,22.62571731954813,0,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,354.07
56,22.62571731954813,1,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,333.04
57,23.04490940272808,0,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,356.22
57,23.04490940272808,1,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,331.46
58,23.4256160762161,0,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,356.12
58,23.4256160762161,1,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,331.91
59,23.849914574995637,0,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,354.72
59,23.849914574995637,1,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,332.58
60,24.254960456863046,0,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,354.87
60,24.254960456863046,1,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,334.04
61,24.63768258690834,0,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,357.15
61,24.63768258690834,1,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,333.07
62,25.05933184735477,0,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,359.26
62,25.05933184735477,1,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,332.58
63,25.479605393484235,0,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,357.93
63,25.479605393484235,1,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,334.46
64,25.90502168610692,0,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,356.24
64,25.90502168610692,1,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,335.3
65,26.325829289853573,0,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,355.16
65,26.325829289853573,1,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,334.39
66,26.746790498495102,0,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,355.52
66,26.746790498495102,1,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,334.15
67,27.16803858987987,0,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,355.16
67,27.16803858987987,1,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,335.59
68,27.586587907746434,0,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,357.0
68,27.586587907746434,1,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,335.45
69,28.006214704364538,0,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,356.48
69,28.006214704364538,1,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,333.37
70,28.42864173091948,0,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,357.18
70,28.42864173091948,1,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,332.55
71,28.812227932736278,0,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,356.98
71,28.812227932736278,1,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,331.79
72,29.237328065559268,0,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,358.01
72,29.237328065559268,1,NVIDIA GeForce RTX 4090,38.0,23110.0,24564.0,319.11
73,29.635390358045697,0,NVIDIA GeForce RTX 4090,28.0,23110.0,24564.0,342.96
73,29.635390358045697,1,NVIDIA GeForce RTX 4090,0.0,23110.0,24564.0,232.86
