sample_index,sample_epoch_s,gpu_index,gpu_name,gpu_utilization_pct,gpu_memory_used_mib,gpu_memory_total_mib,gpu_power_w
0,0.00022077560424804688,0,NVIDIA GeForce RTX 4090,0.0,23110.0,24564.0,352.32
0,0.00022077560424804688,1,NVIDIA GeForce RTX 4090,0.0,23110.0,24564.0,351.14
1,0.3652980364859104,0,NVIDIA GeForce RTX 4090,0.0,23110.0,24564.0,245.01
1,0.3652980364859104,1,NVIDIA GeForce RTX 4090,0.0,23110.0,24564.0,238.67
2,0.7747885715216398,0,NVIDIA GeForce RTX 4090,0.0,23110.0,24564.0,160.37
2,0.7747885715216398,1,NVIDIA GeForce RTX 4090,0.0,23110.0,24564.0,130.58
3,1.1761118303984404,0,NVIDIA GeForce RTX 4090,0.0,23110.0,24564.0,160.37
3,1.1761118303984404,1,NVIDIA GeForce RTX 4090,0.0,23110.0,24564.0,130.58
4,1.5818445924669504,0,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,192.16
4,1.5818445924669504,1,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,179.33
5,1.9749526288360357,0,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,272.94
5,1.9749526288360357,1,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,276.52
6,2.3474078439176083,0,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,420.34
6,2.3474078439176083,1,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,402.22
7,2.761116787791252,0,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,420.47
7,2.761116787791252,1,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,400.98
8,3.1758686807006598,0,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,420.23
8,3.1758686807006598,1,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,394.41
9,3.591575291007757,0,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,419.26
9,3.591575291007757,1,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,397.93
10,3.9699470326304436,0,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,419.1
10,3.9699470326304436,1,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,397.11
11,4.364086465910077,0,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,419.13
11,4.364086465910077,1,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,397.62
12,4.754821415990591,0,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,416.52
12,4.754821415990591,1,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,396.85
13,5.160349624231458,0,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,417.88
13,5.160349624231458,1,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,397.13
14,5.578290419653058,0,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,419.02
14,5.578290419653058,1,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,398.2
15,5.9733474515378475,0,NVIDIA GeForce RTX 4090,0.0,23110.0,24564.0,376.09
15,5.9733474515378475,1,NVIDIA GeForce RTX 4090,0.0,23110.0,24564.0,341.43
