doc_id,prompt_tokens,output_tokens,output_text,status,error_type,finish_reason,submit_epoch_s,service_start_epoch_s,completion_epoch_s
60000000,239,0,Denver Broncos,completed,,stop,1786016210.8186016,1786016210.8235548,1786016210.9027326
60000001,239,0,Carolina Panthers,completed,,stop,1786016210.8202431,1786016210.8234339,1786016210.9152663
60000002,235,0,"Santa Clara, California",completed,,stop,1786016210.8216062,1786016210.8251345,1786016210.9455936
60000003,234,0,Denver Broncos,completed,,stop,1786016210.8229074,1786016210.8257222,1786016210.919009
60000004,244,0,gold,completed,,stop,1786016210.82414,1786016210.8270879,1786016210.8989246
60000005,235,0,golden anniversary,completed,,stop,1786016210.8255649,1786016210.8281057,1786016210.9172695
60000006,234,0,February 7,completed,,stop,1786016210.8271585,1786016210.8291922,1786016210.9279873
60000007,232,0,American Football Conference,completed,,stop,1786016210.8284485,1786016210.8306806,1786016210.9307342
60000008,235,0,golden anniversary,completed,,stop,1786016210.9021754,1786016210.9059253,1786016210.996475
60000009,232,0,American Football Conference,completed,,stop,1786016210.9040346,1786016210.906925,1786016211.0157351
60000010,235,0,February 7,completed,,stop,1786016210.91693,1786016210.9190102,1786016211.0186913
60000011,231,0,Denver Broncos,completed,,stop,1786016210.91876,1786016210.921614,1786016211.0029304
60000012,237,0,Levi's Stadium,completed,,stop,1786016210.9201908,1786016210.9220011,1786016211.0319946
60000013,236,0,Santa Clara,completed,,stop,1786016210.9292674,1786016210.931774,1786016211.0262864
60000014,244,0,Super Bowl L,completed,,stop,1786016210.9319832,1786016210.934892,1786016211.033511
60000015,240,0,2015,completed,,stop,1786016210.9476275,1786016210.9512007,1786016211.0772254
60000016,245,0,2015,completed,,stop,1786016210.9989092,1786016211.0021026,1786016211.10856
60000017,236,0,Santa Clara,completed,,stop,1786016211.0041697,1786016211.0064633,1786016211.100599
60000018,237,0,Levi's Stadium,completed,,stop,1786016211.0170486,1786016211.019108,1786016211.1231835
60000019,237,0,24-10,completed,,stop,1786016211.0199754,1786016211.0215528,1786016211.152915
60000020,240,0,"February 7, 2016",completed,,stop,1786016211.0276248,1786016211.0294497,1786016211.2221904
60000021,233,0,2016,completed,,stop,1786016211.0332713,1786016211.0358663,1786016211.1492991
60000022,234,0,Denver Broncos,completed,,stop,1786016211.034742,1786016211.0372808,1786016211.115731
60000023,234,0,Carolina Panthers,completed,,stop,1786016211.0796652,1786016211.0826907,1786016211.1901278
60000024,231,0,Denver Broncos,completed,,stop,1786016211.1034968,1786016211.1063676,1786016211.19726
60000025,240,0,2015,completed,,stop,1786016211.1098816,1786016211.1126897,1786016211.2241251
60000026,233,0,Denver Broncos,completed,,stop,1786016211.1169698,1786016211.1198044,1786016211.199182
60000027,233,0,Levi's Stadium,completed,,stop,1786016211.1245193,1786016211.127211,1786016211.237447
60000028,236,0,Super Bowl,completed,,stop,1786016211.1523025,1786016211.1549108,1786016211.2487848
60000029,236,0,Denver Broncos,completed,,stop,1786016211.154569,1786016211.1572316,1786016211.250442
60000030,207,0,Cam Newton,completed,,stop,1786016211.1927922,1786016211.1958022,1786016211.2875779
60000031,208,0,4,completed,,stop,1786016211.1989043,1786016211.2011771,1786016211.264685
60000032,205,0,1995,completed,,stop,1786016211.2004454,1786016211.2032616,1786016211.313016
60000033,200,0,Arizona Cardinals,completed,,stop,1786016211.2237642,1786016211.2255523,1786016211.3063378
60000034,206,0,New England Patriots,completed,,stop,1786016211.22573,1786016211.2288368,1786016211.3179057
60000035,205,0,Arizona Cardinals,completed,,stop,1786016211.239006,1786016211.2421894,1786016211.3195243
60000036,203,0,New England Patriots,completed,,stop,1786016211.250185,1786016211.2531607,1786016211.3503823
60000037,202,0,New England Patriots,completed,,stop,1786016211.2517178,1786016211.2537818,1786016211.3520832
60000038,205,0,4,completed,,stop,1786016211.2659883,1786016211.2680843,1786016211.3535826
60000039,199,0,Cam Newton,completed,,stop,1786016211.2892978,1786016211.2923934,1786016211.371187
60000040,214,0,15–1,completed,,stop,1786016211.3079813,1786016211.3097878,1786016211.4188876
60000041,210,0,Cam Newton,completed,,stop,1786016211.3143415,1786016211.3162625,1786016211.3953373
60000042,212,0,12–4,completed,,stop,1786016211.319281,1786016211.3213232,1786016211.436965
60000043,206,0,4,completed,,stop,1786016211.320865,1786016211.323137,1786016211.385555
60000044,213,0,New England Patriots,completed,,stop,1786016211.3518212,1786016211.3550007,1786016211.4606805
60000045,201,0,Cam Newton,completed,,stop,1786016211.3533351,1786016211.356254,1786016211.4477777
60000046,204,0,Arizona Cardinals,completed,,stop,1786016211.3547704,1786016211.3569014,1786016211.4503126
60000047,205,0,2,completed,,stop,1786016211.3727982,1786016211.3757396,1786016211.4345384
60000048,202,0,The Broncos (Denver) beat the New England Patriots in the AFC championship.,completed,,stop,1786016211.3872182,1786016211.3902497,1786016211.6830997
60000049,206,0,Cam Newton,completed,,stop,1786016211.3967361,1786016211.399898,1786016211.4782743
60000050,205,0,New England Patriots,completed,,stop,1786016211.4203017,1786016211.422522,1786016211.5185196
60000051,209,0,Arizona Cardinals,completed,,stop,1786016211.4365072,1786016211.4395728,1786016211.521909
60000052,198,0,Cam Newton,completed,,stop,1786016211.4390187,1786016211.4416306,1786016211.5317206
60000053,204,0,Arizona Cardinals,completed,,stop,1786016211.4500444,1786016211.4520967,1786016211.550256
60000054,202,0,1995,completed,,stop,1786016211.4516666,1786016211.4532406,1786016211.576713
60000055,126,0,Von Miller,completed,,stop,1786016211.4619923,1786016211.4640036,1786016211.5594964
60000056,133,0,2,completed,,stop,1786016211.4803715,1786016211.483046,1786016211.5487144
60000057,134,0,Broncos,completed,,stop,1786016211.5213618,1786016211.5237374,1786016211.613655
60000058,131,0,Von Miller,completed,,stop,1786016211.523402,1786016211.525718,1786016211.6299865
60000059,134,0,5,completed,,stop,1786016211.5329762,1786016211.5357947,1786016211.598764
60000060,128,0,Newton,completed,,stop,1786016211.5499954,1786016211.5514998,1786016211.628475
60000061,128,0,seven,completed,,stop,1786016211.551521,1786016211.553076,1786016211.6268468
60000062,126,0,Von Miller,completed,,stop,1786016211.560786,1786016211.5628889,1786016211.6563053
60000063,129,0,three,completed,,stop,1786016211.5788999,1786016211.5815392,1786016211.641968
60000064,128,0,2,completed,,stop,1786016211.6023908,1786016211.6082873,1786016211.6813989
60000065,134,0,Von Miller,completed,,stop,1786016211.6148849,1786016211.616645,1786016211.710813
60000066,133,0,linebacker,completed,,stop,1786016211.6281912,1786016211.6307912,1786016211.7245064
60000067,137,0,5,completed,,stop,1786016211.6297536,1786016211.632162,1786016211.6896427
60000068,137,0,two,completed,,stop,1786016211.631199,1786016211.6336355,1786016211.696345
60000069,128,0,Von Miller,completed,,stop,1786016211.6433084,1786016211.645493,1786016211.7387621
60000070,132,0,5,completed,,stop,1786016211.657884,1786016211.660324,1786016211.7229795
60000071,132,0,seven,completed,,stop,1786016211.6828287,1786016211.68615,1786016211.76547
60000072,135,0,3,completed,,stop,1786016211.6844592,1786016211.6871502,1786016211.7624478
60000073,133,0,fumble,completed,,stop,1786016211.690831,1786016211.6934607,1786016211.7932374
60000074,131,0,Von Miller,completed,,stop,1786016211.697566,1786016211.699799,1786016211.7944736
60000075,128,0,linebacker,completed,,stop,1786016211.7123659,1786016211.7163346,1786016211.8092058
60000076,132,0,seven,completed,,stop,1786016211.72426,1786016211.7260056,1786016211.795622
60000077,134,0,3,completed,,stop,1786016211.7257605,1786016211.727306,1786016211.791842
60000078,133,0,Von Miller,completed,,stop,1786016211.740424,1786016211.7430468,1786016211.837787
60000079,135,0,5,completed,,stop,1786016211.76519,1786016211.768599,1786016211.8456478
60000080,144,0,CBS,completed,,stop,1786016211.766409,1786016211.7689874,1786016211.844389
60000081,149,0,$5 million,completed,,stop,1786016211.7929547,1786016211.7960868,1786016211.903728
60000082,144,0,Coldplay,completed,,stop,1786016211.7942111,1786016211.797544,1786016211.8866506
60000083,150,0,Beyoncé and Bruno Mars,completed,,stop,1786016211.7953913,1786016211.797669,1786016211.947185
60000084,145,0,Super Bowl XLVIII,completed,,stop,1786016211.796525,1786016211.7986925,1786016211.9415646
60000085,146,0,CBS,completed,,stop,1786016211.8104603,1786016211.813051,1786016211.8776402
60000086,144,0,$5 million,completed,,stop,1786016211.8400733,1786016211.843215,1786016211.9386778
60000087,146,0,Bruno Mars,completed,,stop,1786016211.8454077,1786016211.8479114,1786016211.946086
60000088,146,0,Bruno Mars,completed,,stop,1786016211.8465426,1786016211.8485425,1786016211.9449813
60000089,145,0,Coldplay,completed,,stop,1786016211.8788316,1786016211.8806818,1786016211.957924
60000090,144,0,CBS,completed,,stop,1786016211.887691,1786016211.889529,1786016211.952128
60000091,150,0,$5 million,completed,,stop,1786016211.9051569,1786016211.9075127,1786016212.0018883
60000092,150,0,Bruno Mars,completed,,stop,1786016211.940946,1786016211.943631,1786016212.0566163
60000093,155,0,third-most watched,completed,,stop,1786016211.9427009,1786016211.9455926,1786016212.0539396
