sample_index,sample_epoch_s,gpu_index,gpu_name,gpu_utilization_pct,gpu_memory_used_mib,gpu_memory_total_mib,gpu_power_w
0,0.0002631954848766327,0,NVIDIA GeForce RTX 4090,0.0,23110.0,24564.0,330.59
0,0.0002631954848766327,1,NVIDIA GeForce RTX 4090,0.0,23110.0,24564.0,291.96
1,0.388040779158473,0,NVIDIA GeForce RTX 4090,0.0,23110.0,24564.0,206.62
1,0.388040779158473,1,NVIDIA GeForce RTX 4090,0.0,23110.0,24564.0,164.95
2,0.7730185110121965,0,NVIDIA GeForce RTX 4090,0.0,23110.0,24564.0,138.13
2,0.7730185110121965,1,NVIDIA GeForce RTX 4090,0.0,23110.0,24564.0,116.62
3,1.1797798126935959,0,NVIDIA GeForce RTX 4090,0.0,23110.0,24564.0,138.13
3,1.1797798126935959,1,NVIDIA GeForce RTX 4090,0.0,23110.0,24564.0,116.62
4,1.5663198698312044,0,NVIDIA GeForce RTX 4090,0.0,23110.0,24564.0,138.13
4,1.5663198698312044,1,NVIDIA GeForce RTX 4090,0.0,23110.0,24564.0,84.03
5,1.9456362947821617,0,NVIDIA GeForce RTX 4090,0.0,23110.0,24564.0,102.56
5,1.9456362947821617,1,NVIDIA GeForce RTX 4090,0.0,23110.0,24564.0,84.03
6,2.3473368547856808,0,NVIDIA GeForce RTX 4090,0.0,23110.0,24564.0,102.56
6,2.3473368547856808,1,NVIDIA GeForce RTX 4090,0.0,23110.0,24564.0,84.03
7,2.750767830759287,0,NVIDIA GeForce RTX 4090,0.0,23110.0,24564.0,94.26
7,2.750767830759287,1,NVIDIA GeForce RTX 4090,0.0,23110.0,24564.0,76.86
8,3.154792934656143,0,NVIDIA GeForce RTX 4090,0.0,23110.0,24564.0,94.26
8,3.154792934656143,1,NVIDIA GeForce RTX 4090,0.0,23110.0,24564.0,76.86
9,3.5617537703365088,0,NVIDIA GeForce RTX 4090,0.0,23110.0,24564.0,94.26
9,3.5617537703365088,1,NVIDIA GeForce RTX 4090,0.0,23110.0,24564.0,68.77
10,3.9691850263625383,0,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,132.91
10,3.9691850263625383,1,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,115.9
11,4.376851314678788,0,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,206.57
11,4.376851314678788,1,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,189.24
12,4.785608410835266,0,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,406.23
12,4.785608410835266,1,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,434.58
13,5.172783566638827,0,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,445.38
13,5.172783566638827,1,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,442.96
14,5.613654827699065,0,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,447.42
14,5.613654827699065,1,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,442.47
15,5.980338642373681,0,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,444.45
15,5.980338642373681,1,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,440.54
16,6.343808006495237,0,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,446.57
16,6.343808006495237,1,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,445.05
17,6.736565226688981,0,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,446.47
17,6.736565226688981,1,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,445.11
18,7.101057022809982,0,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,446.05
18,7.101057022809982,1,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,446.33
19,7.508632726967335,0,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,447.73
19,7.508632726967335,1,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,445.72
20,7.857721915468574,0,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,447.44
20,7.857721915468574,1,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,443.26
21,8.245559459552169,0,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,448.27
21,8.245559459552169,1,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,445.92
22,8.611770307645202,0,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,448.2
22,8.611770307645202,1,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,444.29
23,9.02075325511396,0,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,448.0
23,9.02075325511396,1,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,445.84
24,9.43057607486844,0,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,447.66
24,9.43057607486844,1,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,440.31
25,9.834444055333734,0,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,448.28
25,9.834444055333734,1,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,442.89
26,10.221645506098866,0,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,448.46
26,10.221645506098866,1,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,439.46
27,10.616355238482356,0,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,448.44
27,10.616355238482356,1,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,442.25
28,11.00151858665049,0,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,449.27
28,11.00151858665049,1,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,443.0
29,11.35097449272871,0,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,449.28
29,11.35097449272871,1,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,447.71
30,11.719740279018879,0,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,449.17
30,11.719740279018879,1,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,447.22
31,12.134176470339298,0,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,449.42
31,12.134176470339298,1,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,444.27
32,12.541823007166386,0,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,445.87
32,12.541823007166386,1,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,439.82
33,12.961435031145811,0,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,423.96
33,12.961435031145811,1,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,402.48
34,13.337077163159847,0,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,427.51
34,13.337077163159847,1,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,404.23
35,13.741407660767436,0,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,431.25
35,13.741407660767436,1,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,409.9
36,14.08932894654572,0,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,446.98
36,14.08932894654572,1,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,442.82
37,14.475232314318419,0,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,449.23
37,14.475232314318419,1,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,444.23
38,14.870041457936168,0,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,447.37
38,14.870041457936168,1,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,446.9
39,15.272746555507183,0,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,451.61
39,15.272746555507183,1,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,449.57
40,15.657523622736335,0,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,447.86
40,15.657523622736335,1,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,444.08
41,16.024963922798634,0,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,447.5
41,16.024963922798634,1,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,440.3
42,16.389803860336542,0,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,449.6
42,16.389803860336542,1,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,437.37
43,16.795349679887295,0,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,446.24
43,16.795349679887295,1,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,442.14
44,17.183528007939458,0,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,449.68
44,17.183528007939458,1,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,438.62
45,17.588447723537683,0,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,449.0
45,17.588447723537683,1,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,436.53
46,17.97470605559647,0,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,448.44
46,17.97470605559647,1,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,433.75
47,18.378031769767404,0,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,450.15
47,18.378031769767404,1,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,436.58
48,18.763012647628784,0,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,448.02
48,18.763012647628784,1,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,440.68
49,19.17160981707275,0,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,449.08
49,19.17160981707275,1,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,436.86
50,19.57774806767702,0,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,446.95
50,19.57774806767702,1,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,434.84
51,19.962961411103606,0,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,448.89
51,19.962961411103606,1,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,430.3
52,20.353628860786557,0,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,448.13
52,20.353628860786557,1,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,428.2
53,20.7578406278044,0,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,448.68
53,20.7578406278044,1,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,430.61
54,21.167280158028007,0,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,447.85
54,21.167280158028007,1,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,428.68
55,21.55840510316193,0,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,450.08
55,21.55840510316193,1,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,428.69
56,21.962439063936472,0,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,447.94
56,21.962439063936472,1,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,431.01
57,22.347539311274886,0,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,448.4
57,22.347539311274886,1,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,431.27
58,22.739325314760208,0,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,449.22
58,22.739325314760208,1,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,428.72
59,23.131065547466278,0,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,448.35
59,23.131065547466278,1,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,422.41
60,23.537623170763254,0,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,449.04
60,23.537623170763254,1,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,421.28
61,23.885099723935127,0,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,447.71
61,23.885099723935127,1,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,423.04
62,24.262731339782476,0,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,415.14
62,24.262731339782476,1,NVIDIA GeForce RTX 4090,0.0,23110.0,24564.0,374.4
63,24.66567380167544,0,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,410.81
63,24.66567380167544,1,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,379.5
64,25.05075729265809,0,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,423.27
64,25.05075729265809,1,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,385.86
65,25.4378217831254,0,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,451.96
65,25.4378217831254,1,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,429.45
66,25.803081708028913,0,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,452.12
66,25.803081708028913,1,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,421.53
67,26.208847446367145,0,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,445.95
67,26.208847446367145,1,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,415.11
68,26.59630469046533,0,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,446.99
68,26.59630469046533,1,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,424.57
69,26.983011841773987,0,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,449.26
69,26.983011841773987,1,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,426.25
70,27.37277719564736,0,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,444.7
70,27.37277719564736,1,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,432.51
71,27.78102025575936,0,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,448.81
71,27.78102025575936,1,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,428.45
72,28.19011584483087,0,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,444.67
72,28.19011584483087,1,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,425.5
73,28.555453283712268,0,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,448.72
73,28.555453283712268,1,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,427.9
74,28.943311078473926,0,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,449.21
74,28.943311078473926,1,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,425.14
75,29.312229610979557,0,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,449.06
75,29.312229610979557,1,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,422.59
76,29.66546029597521,0,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,447.56
76,29.66546029597521,1,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,422.35
77,30.055902803316712,0,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,445.54
77,30.055902803316712,1,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,424.33
78,30.426694815978408,0,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,446.98
78,30.426694815978408,1,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,427.25
79,30.83305716328323,0,NVIDIA GeForce RTX 4090,100.0,23110.0,24564.0,448.17
