sample_index,sample_epoch_s,gpu_index,gpu_name,gpu_utilization_pct,gpu_memory_used_mib,gpu_memory_total_mib,gpu_power_w
0,0.0006209090352058411,0,NVIDIA GeForce RTX 4090,0.0,23008.0,24564.0,362.89
0,0.0006209090352058411,1,NVIDIA GeForce RTX 4090,0.0,23008.0,24564.0,327.15
1,0.4095475561916828,0,NVIDIA GeForce RTX 4090,0.0,23008.0,24564.0,250.64
1,0.4095475561916828,1,NVIDIA GeForce RTX 4090,0.0,23008.0,24564.0,214.97
2,0.8110490869730711,0,NVIDIA GeForce RTX 4090,0.0,23008.0,24564.0,140.15
2,0.8110490869730711,1,NVIDIA GeForce RTX 4090,0.0,23008.0,24564.0,131.38
3,1.2120299730449915,0,NVIDIA GeForce RTX 4090,0.0,23008.0,24564.0,140.15
3,1.2120299730449915,1,NVIDIA GeForce RTX 4090,0.0,23008.0,24564.0,131.38
4,1.6124749965965748,0,NVIDIA GeForce RTX 4090,0.0,23008.0,24564.0,140.15
4,1.6124749965965748,1,NVIDIA GeForce RTX 4090,0.0,23008.0,24564.0,131.38
5,1.9932892452925444,0,NVIDIA GeForce RTX 4090,100.0,23008.0,24564.0,164.33
5,1.9932892452925444,1,NVIDIA GeForce RTX 4090,100.0,23008.0,24564.0,148.58
6,2.3976555932313204,0,NVIDIA GeForce RTX 4090,100.0,23008.0,24564.0,225.68
6,2.3976555932313204,1,NVIDIA GeForce RTX 4090,100.0,23008.0,24564.0,208.49
7,2.813013918697834,0,NVIDIA GeForce RTX 4090,100.0,23008.0,24564.0,407.72
7,2.813013918697834,1,NVIDIA GeForce RTX 4090,100.0,23008.0,24564.0,394.84
8,3.1874380595982075,0,NVIDIA GeForce RTX 4090,100.0,23008.0,24564.0,417.44
8,3.1874380595982075,1,NVIDIA GeForce RTX 4090,100.0,23008.0,24564.0,408.5
9,3.600896418094635,0,NVIDIA GeForce RTX 4090,100.0,23008.0,24564.0,414.82
9,3.600896418094635,1,NVIDIA GeForce RTX 4090,100.0,23008.0,24564.0,407.58
10,4.0158252995461226,0,NVIDIA GeForce RTX 4090,100.0,23008.0,24564.0,413.14
10,4.0158252995461226,1,NVIDIA GeForce RTX 4090,100.0,23008.0,24564.0,404.7
11,4.426316369324923,0,NVIDIA GeForce RTX 4090,100.0,23008.0,24564.0,415.95
11,4.426316369324923,1,NVIDIA GeForce RTX 4090,100.0,23008.0,24564.0,401.84
12,4.836685406044126,0,NVIDIA GeForce RTX 4090,100.0,23008.0,24564.0,417.61
12,4.836685406044126,1,NVIDIA GeForce RTX 4090,100.0,23008.0,24564.0,402.94
13,5.2461730018258095,0,NVIDIA GeForce RTX 4090,100.0,23008.0,24564.0,414.31
13,5.2461730018258095,1,NVIDIA GeForce RTX 4090,100.0,23008.0,24564.0,399.73
14,5.635787079110742,0,NVIDIA GeForce RTX 4090,100.0,23008.0,24564.0,415.64
14,5.635787079110742,1,NVIDIA GeForce RTX 4090,100.0,23008.0,24564.0,400.6
15,6.049287801608443,0,NVIDIA GeForce RTX 4090,100.0,23008.0,24564.0,419.13
15,6.049287801608443,1,NVIDIA GeForce RTX 4090,100.0,23008.0,24564.0,401.35
16,6.481911497190595,0,NVIDIA GeForce RTX 4090,0.0,23008.0,24564.0,375.78
16,6.481911497190595,1,NVIDIA GeForce RTX 4090,0.0,23008.0,24564.0,333.32
