sample_index,sample_epoch_s,gpu_index,gpu_name,gpu_utilization_pct,gpu_memory_used_mib,gpu_memory_total_mib,gpu_power_w
0,0.0002434961497783661,0,NVIDIA GeForce RTX 4090,0.0,22270.0,24564.0,351.15
0,0.0002434961497783661,1,NVIDIA GeForce RTX 4090,0.0,22270.0,24564.0,352.84
1,0.38375655747950077,0,NVIDIA GeForce RTX 4090,0.0,22270.0,24564.0,234.63
1,0.38375655747950077,1,NVIDIA GeForce RTX 4090,0.0,22270.0,24564.0,236.6
2,0.7658976130187511,0,NVIDIA GeForce RTX 4090,0.0,22270.0,24564.0,156.35
2,0.7658976130187511,1,NVIDIA GeForce RTX 4090,0.0,22270.0,24564.0,131.99
3,1.125037468969822,0,NVIDIA GeForce RTX 4090,0.0,22270.0,24564.0,156.35
3,1.125037468969822,1,NVIDIA GeForce RTX 4090,0.0,22270.0,24564.0,131.99
4,1.5256775803864002,0,NVIDIA GeForce RTX 4090,0.0,22270.0,24564.0,156.35
4,1.5256775803864002,1,NVIDIA GeForce RTX 4090,0.0,22270.0,24564.0,131.99
5,1.9283340945839882,0,NVIDIA GeForce RTX 4090,0.0,22270.0,24564.0,105.81
5,1.9283340945839882,1,NVIDIA GeForce RTX 4090,0.0,22270.0,24564.0,91.41
6,2.3301609829068184,0,NVIDIA GeForce RTX 4090,0.0,22270.0,24564.0,105.81
6,2.3301609829068184,1,NVIDIA GeForce RTX 4090,0.0,22270.0,24564.0,91.41
7,2.6925424709916115,0,NVIDIA GeForce RTX 4090,100.0,22270.0,24564.0,131.18
7,2.6925424709916115,1,NVIDIA GeForce RTX 4090,100.0,22270.0,24564.0,108.89
8,3.0847722124308348,0,NVIDIA GeForce RTX 4090,100.0,22270.0,24564.0,240.52
8,3.0847722124308348,1,NVIDIA GeForce RTX 4090,100.0,22270.0,24564.0,224.3
9,3.469702947884798,0,NVIDIA GeForce RTX 4090,100.0,22270.0,24564.0,448.25
9,3.469702947884798,1,NVIDIA GeForce RTX 4090,100.0,22270.0,24564.0,276.73
10,3.876683471724391,0,NVIDIA GeForce RTX 4090,100.0,22270.0,24564.0,448.74
10,3.876683471724391,1,NVIDIA GeForce RTX 4090,100.0,22270.0,24564.0,447.24
11,4.263657243922353,0,NVIDIA GeForce RTX 4090,100.0,22270.0,24564.0,448.51
11,4.263657243922353,1,NVIDIA GeForce RTX 4090,100.0,22270.0,24564.0,444.16
12,4.635852329432964,0,NVIDIA GeForce RTX 4090,100.0,22270.0,24564.0,446.77
12,4.635852329432964,1,NVIDIA GeForce RTX 4090,100.0,22270.0,24564.0,444.67
13,5.0460571851581335,0,NVIDIA GeForce RTX 4090,100.0,22270.0,24564.0,446.25
13,5.0460571851581335,1,NVIDIA GeForce RTX 4090,100.0,22270.0,24564.0,445.62
14,5.4359267093241215,0,NVIDIA GeForce RTX 4090,100.0,22270.0,24564.0,448.82
14,5.4359267093241215,1,NVIDIA GeForce RTX 4090,100.0,22270.0,24564.0,446.37
15,5.826167169958353,0,NVIDIA GeForce RTX 4090,100.0,22270.0,24564.0,448.0
15,5.826167169958353,1,NVIDIA GeForce RTX 4090,100.0,22270.0,24564.0,446.49
16,6.215975821018219,0,NVIDIA GeForce RTX 4090,100.0,22270.0,24564.0,450.35
16,6.215975821018219,1,NVIDIA GeForce RTX 4090,100.0,22270.0,24564.0,447.09
17,6.630080295726657,0,NVIDIA GeForce RTX 4090,100.0,22270.0,24564.0,447.52
17,6.630080295726657,1,NVIDIA GeForce RTX 4090,100.0,22270.0,24564.0,446.42
18,7.034628519788384,0,NVIDIA GeForce RTX 4090,100.0,22270.0,24564.0,449.82
18,7.034628519788384,1,NVIDIA GeForce RTX 4090,100.0,22270.0,24564.0,445.58
19,7.398740841075778,0,NVIDIA GeForce RTX 4090,100.0,22270.0,24564.0,447.79
19,7.398740841075778,1,NVIDIA GeForce RTX 4090,100.0,22270.0,24564.0,445.63
20,7.766983462497592,0,NVIDIA GeForce RTX 4090,100.0,22270.0,24564.0,447.54
20,7.766983462497592,1,NVIDIA GeForce RTX 4090,100.0,22270.0,24564.0,445.12
21,8.135816080495715,0,NVIDIA GeForce RTX 4090,100.0,22270.0,24564.0,447.51
21,8.135816080495715,1,NVIDIA GeForce RTX 4090,100.0,22270.0,24564.0,445.77
22,8.547167619690299,0,NVIDIA GeForce RTX 4090,100.0,22270.0,24564.0,448.02
22,8.547167619690299,1,NVIDIA GeForce RTX 4090,100.0,22270.0,24564.0,444.63
23,8.949178645387292,0,NVIDIA GeForce RTX 4090,100.0,22270.0,24564.0,448.41
23,8.949178645387292,1,NVIDIA GeForce RTX 4090,100.0,22270.0,24564.0,444.98
24,9.339062606915832,0,NVIDIA GeForce RTX 4090,100.0,22270.0,24564.0,448.5
24,9.339062606915832,1,NVIDIA GeForce RTX 4090,100.0,22270.0,24564.0,445.07
25,9.74888725206256,0,NVIDIA GeForce RTX 4090,100.0,22270.0,24564.0,449.03
25,9.74888725206256,1,NVIDIA GeForce RTX 4090,100.0,22270.0,24564.0,446.55
26,10.098561039194465,0,NVIDIA GeForce RTX 4090,100.0,22270.0,24564.0,449.0
26,10.098561039194465,1,NVIDIA GeForce RTX 4090,100.0,22270.0,24564.0,444.33
27,10.464231027290225,0,NVIDIA GeForce RTX 4090,100.0,22270.0,24564.0,448.55
27,10.464231027290225,1,NVIDIA GeForce RTX 4090,100.0,22270.0,24564.0,444.86
28,10.876166686415672,0,NVIDIA GeForce RTX 4090,100.0,22270.0,24564.0,448.18
28,10.876166686415672,1,NVIDIA GeForce RTX 4090,100.0,22270.0,24564.0,440.3
29,11.282698132097721,0,NVIDIA GeForce RTX 4090,100.0,22270.0,24564.0,448.83
29,11.282698132097721,1,NVIDIA GeForce RTX 4090,100.0,22270.0,24564.0,440.78
30,11.689129428938031,0,NVIDIA GeForce RTX 4090,98.0,22270.0,24564.0,417.9
30,11.689129428938031,1,NVIDIA GeForce RTX 4090,73.0,22270.0,24564.0,415.34
31,12.09437683224678,0,NVIDIA GeForce RTX 4090,100.0,22270.0,24564.0,424.22
31,12.09437683224678,1,NVIDIA GeForce RTX 4090,100.0,22270.0,24564.0,422.96
32,12.484436916187406,0,NVIDIA GeForce RTX 4090,100.0,22270.0,24564.0,432.9
32,12.484436916187406,1,NVIDIA GeForce RTX 4090,100.0,22270.0,24564.0,422.66
33,12.87458036839962,0,NVIDIA GeForce RTX 4090,100.0,22270.0,24564.0,453.12
33,12.87458036839962,1,NVIDIA GeForce RTX 4090,100.0,22270.0,24564.0,446.99
34,13.258530665189028,0,NVIDIA GeForce RTX 4090,100.0,22270.0,24564.0,449.23
34,13.258530665189028,1,NVIDIA GeForce RTX 4090,100.0,22270.0,24564.0,444.99
35,13.660005060955882,0,NVIDIA GeForce RTX 4090,100.0,22270.0,24564.0,446.84
35,13.660005060955882,1,NVIDIA GeForce RTX 4090,100.0,22270.0,24564.0,441.55
36,14.02928282879293,0,NVIDIA GeForce RTX 4090,100.0,22270.0,24564.0,448.91
36,14.02928282879293,1,NVIDIA GeForce RTX 4090,100.0,22270.0,24564.0,439.15
37,14.411959379911423,0,NVIDIA GeForce RTX 4090,100.0,22270.0,24564.0,449.25
37,14.411959379911423,1,NVIDIA GeForce RTX 4090,100.0,22270.0,24564.0,437.37
