doc_id,prompt_tokens,output_tokens,output_text,status,error_type,finish_reason,submit_epoch_s,service_start_epoch_s,completion_epoch_s
60000000,239,0,Denver Broncos,completed,,stop,1786036565.7103958,1786036565.7154272,1786036565.8539243
60000001,239,0,Carolina Panthers,completed,,stop,1786036565.7113488,1786036565.7158349,1786036565.862474
60000002,235,0,"Santa Clara, California",completed,,stop,1786036565.712314,1786036565.7160757,1786036565.8646336
60000003,234,0,Denver Broncos,completed,,stop,1786036565.713154,1786036565.7161515,1786036565.8549476
60000004,244,0,gold,completed,,stop,1786036565.7139997,1786036565.7182763,1786036565.8528478
60000005,235,0,golden anniversary,completed,,stop,1786036565.7148645,1786036565.717661,1786036565.8492472
60000006,234,0,February 7,completed,,stop,1786036565.7157068,1786036565.7186868,1786036565.8842108
60000007,232,0,American Football Conference,completed,,stop,1786036565.7164612,1786036565.7188177,1786036565.8656423
60000008,235,0,golden anniversary,completed,,stop,1786036565.717259,1786036565.7235162,1786036565.851677
60000009,232,0,American Football Conference,completed,,stop,1786036565.718008,1786036565.7235441,1786036565.8932607
60000010,235,0,February 7,completed,,stop,1786036565.7188716,1786036565.723431,1786036565.8791153
60000011,231,0,Denver Broncos,completed,,stop,1786036565.7196856,1786036565.7243013,1786036565.8613815
60000012,237,0,Levi's Stadium,completed,,stop,1786036565.720481,1786036565.727919,1786036565.921138
60000013,236,0,Santa Clara,completed,,stop,1786036565.7212942,1786036565.7250314,1786036565.8818505
60000014,244,0,Super Bowl L,completed,,stop,1786036565.7220817,1786036565.725959,1786036565.8942554
60000015,240,0,2015,completed,,stop,1786036565.722805,1786036565.7252457,1786036565.918305
60000016,245,0,2015,completed,,stop,1786036565.7236137,1786036565.725623,1786036565.9223533
60000017,236,0,Santa Clara,completed,,stop,1786036565.724366,1786036565.7255669,1786036565.8806252
60000018,237,0,Levi's Stadium,completed,,stop,1786036565.7250733,1786036565.7263463,1786036565.923336
60000019,237,0,24-10,completed,,stop,1786036565.7258122,1786036565.7270725,1786036565.9341154
60000020,240,0,"February 7, 2016",completed,,stop,1786036565.7265615,1786036565.7288978,1786036566.0162413
60000021,233,0,2016,completed,,stop,1786036565.7273183,1786036565.7292466,1786036565.924322
