doc_id,endpoint_index,status,error,submitted_at_s,started_at_s,completed_at_s,input_tokens,output_tokens,output_text,finish_reason
60000001,1,completed,,1785996654.3233001,1785996654.3233104,1785996654.4913385,239,4,Carolina Panthers,stop
60000004,1,completed,,1785996654.3282912,1785996654.3282983,1785996654.4528103,243,2,gold,stop
60000005,1,completed,,1785996654.3286805,1785996654.328684,1785996654.4724867,237,3,golden anniversary,stop
60000007,1,completed,,1785996654.3289502,1785996654.3289535,1785996654.4958508,233,4,American Football Conference,stop
60000009,1,completed,,1785996654.3291929,1785996654.3291965,1785996654.4730644,232,4,American Football Conference,stop
60000010,1,completed,,1785996654.3294454,1785996654.329449,1785996654.5086596,235,4,February 7,stop
60000011,1,completed,,1785996654.329678,1785996654.329681,1785996654.491941,234,3,Denver Broncos,stop
60000012,1,completed,,1785996654.3298883,1785996654.3298914,1785996654.5236,238,5,Levi's Stadium,stop
60000013,1,completed,,1785996654.3300886,1785996654.3300912,1785996654.4917388,238,3,Santa Clara,stop
60000014,1,completed,,1785996654.330356,1785996654.3303587,1785996654.5084417,244,4,Super Bowl L,stop
60000015,1,completed,,1785996654.3305562,1785996654.330559,1785996654.521808,239,5,2015,stop
60000016,1,completed,,1785996654.3307548,1785996654.3307576,1785996654.5232615,242,5,2015,stop
60000017,1,completed,,1785996654.3309667,1785996654.3309712,1785996654.4961073,238,3,Santa Clara,stop
60000019,1,completed,,1785996654.3311665,1785996654.3311694,1785996654.540668,239,6,24-10,stop
60000021,1,completed,,1785996654.3313644,1785996654.331367,1785996654.5234332,235,5,2016,stop
60000022,1,completed,,1785996654.3315718,1785996654.3315744,1785996654.473499,233,3,Denver Broncos,stop
60000024,1,completed,,1785996654.3317907,1785996654.331795,1785996654.473742,234,3,Denver Broncos,stop
60000025,1,completed,,1785996654.3320148,1785996654.3320174,1785996654.5082316,239,5,2015,stop
60000026,1,completed,,1785996654.3322263,1785996654.332229,1785996654.4688852,235,3,Denver Broncos,stop
60000028,1,completed,,1785996654.3324912,1785996654.3324938,1785996654.4726732,235,3,Super Bowl,stop
60000029,1,completed,,1785996654.3326888,1785996654.3326914,1785996654.4692805,239,3,Denver Broncos,stop
60000032,1,completed,,1785996654.3328846,1785996654.3328886,1785996654.509148,203,5,1995,stop
60000034,1,completed,,1785996654.3330913,1785996654.333094,1785996654.4882174,206,4,New England Patriots,stop
60000035,1,completed,,1785996654.3332849,1785996654.3332872,1785996654.4728668,205,3,Arizona Cardinals,stop
60000037,1,completed,,1785996654.3334892,1785996654.3334918,1785996654.4966493,202,4,New England Patriots,stop
60000042,1,completed,,1785996654.3336916,1785996654.3336945,1785996654.5089002,217,5,12–4,stop
60000043,1,completed,,1785996654.3339062,1785996654.333909,1785996654.4529965,206,2,4,stop
60000045,1,completed,,1785996654.3341236,1785996654.334128,1785996654.473275,202,3,Cam Newton,stop
60000046,1,completed,,1785996654.3343358,1785996654.3343382,1785996654.491136,204,3,Arizona Cardinals,stop
60000051,1,completed,,1785996654.3345983,1785996654.334601,1785996654.4963715,211,3,Arizona Cardinals,stop
60000052,1,completed,,1785996654.3348055,1785996654.3348098,1785996654.4956024,205,3,Cam Newton,stop
60000053,1,completed,,1785996654.3350093,1785996654.335012,1785996654.4915488,205,3,Arizona Cardinals,stop
60000055,1,completed,,1785996654.3352156,1785996654.453029,1785996654.5653515,137,4,Von Miller,stop
60000057,1,completed,,1785996654.3352313,1785996654.4534125,1785996654.5417728,138,3,Broncos,stop
60000061,1,completed,,1785996654.3352382,1785996654.4716513,1785996654.5616868,135,2,seven,stop
60000062,1,completed,,1785996654.335242,1785996654.472015,1785996654.6091416,134,4,Von Miller,stop
60000063,1,completed,,1785996654.3352447,1785996654.473791,1785996654.5620751,135,2,three,stop
60000064,1,completed,,1785996654.3352475,1785996654.4742377,1785996654.5649683,136,2,2,stop
60000065,1,completed,,1785996654.3352504,1785996654.4746606,1785996654.6093774,142,4,Von Miller,stop
60000066,1,completed,,1785996654.335253,1785996654.4750662,1785996654.6080043,138,4,linebacker,stop
60000068,1,completed,,1785996654.3352556,1785996654.475464,1785996654.565154,145,2,two,stop
60000069,1,completed,,1785996654.335258,1785996654.475851,1785996654.60871,136,4,Von Miller,stop
60000072,1,completed,,1785996654.3352604,1785996654.4762366,1785996654.5647895,139,2,3,stop
60000073,1,completed,,1785996654.335269,1785996654.4904432,1785996654.6030784,137,3,fumble,stop
60000074,1,completed,,1785996654.3352733,1785996654.49355,1785996654.6252658,141,4,Von Miller,stop
60000076,1,completed,,1785996654.335276,1785996654.4939723,1785996654.5829165,137,2,seven,stop
60000077,1,completed,,1785996654.3352783,1785996654.4943447,1785996654.6089184,139,2,3,stop
60000081,1,completed,,1785996654.3352807,1785996654.4947014,1785996654.6249301,164,4,$5 million,stop
60000082,1,completed,,1785996654.3352833,1785996654.4950454,1785996654.6083348,158,3,Coldplay,stop
60000084,1,completed,,1785996654.3352857,1785996654.4968195,1785996654.6604607,157,6,Super Bowl XLVIII,stop
60000086,1,completed,,1785996654.3352883,1785996654.4972742,1785996654.6458654,158,4,$5 million,stop
60000087,1,completed,,1785996654.335291,1785996654.4977074,1785996654.6250923,157,4,Bruno Mars,stop
60000088,1,completed,,1785996654.3352933,1785996654.4981244,1785996654.6421697,157,4,Bruno Mars,stop
60000090,1,completed,,1785996654.3352957,1785996654.4985306,1785996654.608168,159,2,CBS,stop
60000091,1,completed,,1785996654.3352983,1785996654.5096762,1785996654.6456606,166,4,$5 million,stop
60000092,1,completed,,1785996654.335301,1785996654.5101295,1785996654.6460469,163,4,Bruno Mars,stop
60000094,1,completed,,1785996654.3353033,1785996654.51053,1785996654.6085143,152,2,CBS,stop
60000101,1,completed,,1785996654.3353062,1785996654.510918,1785996654.690647,155,6,Super Bowl XLVIII,stop
60000102,1,completed,,1785996654.3353088,1785996654.5113034,1785996654.6424122,155,4,$5 million,stop
60000103,1,completed,,1785996654.3353117,1785996654.5227776,1785996654.62347,156,3,Coldplay,stop
60000104,1,completed,,1785996654.335314,1785996654.5236428,1785996654.6999419,161,7,Beyoncé and Bruno Mars,stop
60000107,1,completed,,1785996654.3353183,1785996654.5239966,1785996654.6894815,110,6,50th Super Bowl,stop
60000110,1,completed,,1785996654.335321,1785996654.524317,1785996654.7208824,114,8,In early 2012,stop
60000113,1,completed,,1785996654.3353236,1785996654.5412817,1785996654.657347,108,4,Roger Goodell,stop
60000114,1,completed,,1785996654.3353262,1785996654.5418222,1785996654.6602483,121,4,an important game,stop
60000115,1,completed,,1785996654.3353302,1785996654.5639963,1785996654.659794,121,3,spectacular,stop
60000118,1,completed,,1785996654.3353329,1785996654.5643396,1785996654.7235045,105,6,Miami's Sun Life Stadium,stop
60000119,1,completed,,1785996654.335337,1785996654.5653975,1785996654.6997359,105,5,Levi's Stadium,stop
60000121,1,completed,,1785996654.3353398,1785996654.5657878,1785996654.6970928,101,5,Levi's Stadium,stop
60000124,1,completed,,1785996654.3353424,1785996654.5661485,1785996654.6893291,109,4,Sun Life Stadium,stop
60000127,1,completed,,1785996654.3353448,1785996654.566494,1785996654.6600256,107,3,New Orleans,stop
60000128,1,completed,,1785996654.3353493,1785996654.582975,1785996654.699546,103,4,Sun Life Stadium,stop
60000130,1,completed,,1785996654.3353517,1785996654.6075149,1785996654.7614617,103,5,Levi's Stadium,stop
60000132,1,completed,,1785996654.3353543,1785996654.609423,1785996654.7994125,103,7,Mercedes-Benz Superdome,stop
60000134,1,completed,,1785996654.335357,1785996654.6098619,1785996654.8789246,223,11,"October 16, 2012",stop
60000137,1,completed,,1785996654.3353598,1785996654.6102753,1785996654.7641375,225,5,2010,stop
60000145,1,completed,,1785996654.3353639,1785996654.6106744,1785996654.76434,226,5,Super Bowl XLIV,stop
60000146,1,completed,,1785996654.3353665,1785996654.6110618,1785996654.7001593,237,2,2,stop
60000150,1,completed,,1785996654.3353686,1785996654.611448,1785996654.8791208,225,11,"October 16, 2012",stop
60000151,1,completed,,1785996654.3353732,1785996654.6118243,1785996654.6993527,224,2,0,stop
60000152,1,completed,,1785996654.3353815,1785996654.6122143,1785996654.720484,221,3,New Orleans,stop
60000153,1,completed,,1785996654.3353841,1785996654.6244469,1785996654.7616096,221,5,1985,stop
60000158,1,completed,,1785996654.335387,1785996654.6253123,1785996654.7741766,158,6,$1.2 billion,stop
60000159,1,completed,,1785996654.3353894,1785996654.6256764,1785996654.7233136,156,3,San Diego,stop
60000164,1,completed,,1785996654.3353918,1785996654.6260104,1785996654.7236888,159,3,San Diego,stop
