doc_id,endpoint_index,status,error,submitted_at_s,started_at_s,completed_at_s,input_tokens,output_tokens,output_text,finish_reason
60000001,1,completed,,1785996635.4060924,1785996635.4061024,1785996635.5978012,239,4,Carolina Panthers,stop
60000004,1,completed,,1785996635.41105,1785996635.4110575,1785996635.5384927,243,2,gold,stop
60000005,1,completed,,1785996635.411448,1785996635.4114518,1785996635.573138,237,3,golden anniversary,stop
60000007,1,completed,,1785996635.411719,1785996635.4117224,1785996635.5972352,233,4,American Football Conference,stop
60000009,1,completed,,1785996635.41196,1785996635.4119632,1785996635.5984218,232,4,American Football Conference,stop
60000010,1,completed,,1785996635.4121964,1785996635.4121997,1785996635.5981052,235,4,February 7,stop
60000011,1,completed,,1785996635.4124298,1785996635.412433,1785996635.5969718,234,3,Denver Broncos,stop
60000012,1,completed,,1785996635.4126568,1785996635.4126594,1785996635.6143856,238,5,Levi's Stadium,stop
60000013,1,completed,,1785996635.412869,1785996635.4128716,1785996635.5787802,238,3,Santa Clara,stop
60000014,1,completed,,1785996635.4131498,1785996635.4131525,1785996635.596475,244,4,Super Bowl L,stop
60000015,1,completed,,1785996635.4133534,1785996635.413356,1785996635.6125455,239,5,2015,stop
60000016,1,completed,,1785996635.4135687,1785996635.4135716,1785996635.6132379,242,5,2015,stop
60000017,1,completed,,1785996635.4137793,1785996635.4137864,1785996635.5797222,238,3,Santa Clara,stop
60000019,1,completed,,1785996635.413978,1785996635.413981,1785996635.625468,239,6,24-10,stop
60000021,1,completed,,1785996635.4141788,1785996635.4141815,1785996635.6122017,235,5,2016,stop
60000022,1,completed,,1785996635.4143722,1785996635.4143746,1785996635.584909,233,3,Denver Broncos,stop
60000024,1,completed,,1785996635.4145665,1785996635.4145706,1785996635.5789948,234,3,Denver Broncos,stop
60000025,1,completed,,1785996635.4147604,1785996635.414763,1785996635.6139946,239,5,2015,stop
60000026,1,completed,,1785996635.414973,1785996635.4149754,1785996635.578227,235,3,Denver Broncos,stop
60000028,1,completed,,1785996635.4152343,1785996635.415237,1785996635.5799935,235,3,Super Bowl,stop
60000029,1,completed,,1785996635.4154382,1785996635.4154403,1785996635.5783994,239,3,Denver Broncos,stop
60000032,1,completed,,1785996635.4156349,1785996635.4156394,1785996635.6128867,203,5,1995,stop
60000034,1,completed,,1785996635.4158378,1785996635.4158401,1785996635.5967202,206,4,New England Patriots,stop
60000035,1,completed,,1785996635.4160397,1785996635.4160423,1785996635.578581,205,3,Arizona Cardinals,stop
60000037,1,completed,,1785996635.4162483,1785996635.416251,1785996635.599105,202,4,New England Patriots,stop
60000042,1,completed,,1785996635.416453,1785996635.4164557,1785996635.613615,217,5,12–4,stop
60000043,1,completed,,1785996635.4166605,1785996635.416663,1785996635.5502121,206,2,4,stop
60000045,1,completed,,1785996635.4168696,1785996635.4168737,1785996635.57922,202,3,Cam Newton,stop
60000046,1,completed,,1785996635.4170818,1785996635.4170845,1785996635.5780575,204,3,Arizona Cardinals,stop
60000051,1,completed,,1785996635.4173365,1785996635.417339,1785996635.5794637,211,3,Arizona Cardinals,stop
60000052,1,completed,,1785996635.4175413,1785996635.4175456,1785996635.5975106,205,3,Cam Newton,stop
60000053,1,completed,,1785996635.4177687,1785996635.4177716,1785996635.5987558,205,3,Arizona Cardinals,stop
60000055,1,completed,,1785996635.4179752,1785996635.5385907,1785996635.6456864,137,4,Von Miller,stop
60000057,1,completed,,1785996635.4179912,1785996635.5502574,1785996635.645365,138,3,Broncos,stop
60000061,1,completed,,1785996635.4179976,1785996635.5775607,1785996635.6637893,135,2,seven,stop
60000062,1,completed,,1785996635.418001,1785996635.5803893,1785996635.7994125,134,4,Von Miller,stop
60000063,1,completed,,1785996635.4180038,1785996635.580868,1785996635.664126,135,2,three,stop
60000064,1,completed,,1785996635.4180064,1785996635.5813127,1785996635.664303,136,2,2,stop
60000065,1,completed,,1785996635.418009,1785996635.5817418,1785996635.7008414,142,4,Von Miller,stop
60000066,1,completed,,1785996635.4180117,1785996635.5821838,1785996635.7212543,138,4,linebacker,stop
60000068,1,completed,,1785996635.4180143,1785996635.5826073,1785996635.6644962,145,2,two,stop
60000069,1,completed,,1785996635.4180167,1785996635.5830152,1785996635.7601316,136,4,Von Miller,stop
60000072,1,completed,,1785996635.418019,1785996635.5834196,1785996635.679287,139,2,3,stop
60000073,1,completed,,1785996635.418025,1785996635.5838218,1785996635.7434263,137,3,fumble,stop
60000074,1,completed,,1785996635.4180317,1785996635.5842202,1785996635.7209074,141,4,Von Miller,stop
60000076,1,completed,,1785996635.4180338,1785996635.5850883,1785996635.663958,137,2,seven,stop
60000077,1,completed,,1785996635.4180365,1785996635.600106,1785996635.7012267,139,2,3,stop
60000081,1,completed,,1785996635.4180388,1785996635.600666,1785996635.7411828,164,4,$5 million,stop
60000082,1,completed,,1785996635.4180412,1785996635.6011803,1785996635.7799838,158,3,Coldplay,stop
60000084,1,completed,,1785996635.4180439,1785996635.6016707,1785996635.8387742,157,6,Super Bowl XLVIII,stop
60000086,1,completed,,1785996635.4180462,1785996635.602162,1785996635.743606,158,4,$5 million,stop
60000087,1,completed,,1785996635.4180505,1785996635.602656,1785996635.75736,157,4,Bruno Mars,stop
60000088,1,completed,,1785996635.4180532,1785996635.6031349,1785996635.7604399,157,4,Bruno Mars,stop
60000090,1,completed,,1785996635.4180558,1785996635.6036134,1785996635.721076,159,2,CBS,stop
60000091,1,completed,,1785996635.4180582,1785996635.6040888,1785996635.7796526,166,4,$5 million,stop
60000092,1,completed,,1785996635.4180608,1785996635.6045556,1785996635.7415714,163,4,Bruno Mars,stop
60000094,1,completed,,1785996635.4180634,1785996635.61533,1785996635.7167985,152,2,CBS,stop
60000101,1,completed,,1785996635.4180663,1785996635.6159527,1785996635.8363805,155,6,Super Bowl XLVIII,stop
60000102,1,completed,,1785996635.4180686,1785996635.6165235,1785996635.7773995,155,4,$5 million,stop
60000103,1,completed,,1785996635.4180715,1785996635.6170774,1785996635.7207453,156,3,Coldplay,stop
60000104,1,completed,,1785996635.418074,1785996635.6176217,1785996635.8195858,161,7,Beyoncé and Bruno Mars,stop
60000107,1,completed,,1785996635.4180782,1785996635.618168,1785996635.8389542,110,6,50th Super Bowl,stop
60000110,1,completed,,1785996635.4180808,1785996635.6187084,1785996635.874442,114,8,In early 2012,stop
60000113,1,completed,,1785996635.4180834,1785996635.6267936,1785996635.7964485,108,4,Roger Goodell,stop
60000114,1,completed,,1785996635.4180858,1785996635.6467497,1785996635.779814,121,4,an important game,stop
60000115,1,completed,,1785996635.4180906,1785996635.6472607,1785996635.7607136,121,3,spectacular,stop
60000118,1,completed,,1785996635.4180946,1785996635.6646266,1785996635.836105,105,6,Miami's Sun Life Stadium,stop
60000119,1,completed,,1785996635.4180975,1785996635.6650283,1785996635.818023,105,5,Levi's Stadium,stop
