doc_id,endpoint_index,status,error,submitted_at_s,started_at_s,completed_at_s,input_tokens,output_tokens,output_text,finish_reason
60000000,0,completed,,1785995148.112704,1785995148.1127145,1785995148.4826484,239,3,Denver Broncos,stop
60000002,0,completed,,1785995148.1177654,1785995148.1177738,1785995148.593747,236,5,"Santa Clara, California",stop
60000003,0,completed,,1785995148.1181455,1785995148.1181495,1785995148.5484786,236,3,Denver Broncos,stop
60000006,0,completed,,1785995148.118414,1785995148.1184173,1785995148.5799794,234,4,February 7,stop
60000008,0,completed,,1785995148.1186447,1785995148.118648,1785995148.5302467,237,3,golden anniversary,stop
60000018,0,completed,,1785995148.1188707,1785995148.1188738,1785995148.6668882,238,5,Levi's Stadium,stop
60000020,0,completed,,1785995148.1190937,1785995148.1190965,1785995149.1116495,242,10,"February 7, 2016",stop
60000023,0,completed,,1785995148.1192956,1785995148.1192982,1785995148.5898485,233,4,Carolina Panthers,stop
60000027,0,completed,,1785995148.1195087,1785995148.1195116,1785995148.6634169,235,5,Levi's Stadium,stop
60000030,0,completed,,1785995148.1197858,1785995148.1197886,1785995148.5443745,205,3,Cam Newton,stop
60000031,0,completed,,1785995148.1200151,1785995148.120018,1785995148.4890926,207,2,4,stop
60000033,0,completed,,1785995148.1202316,1785995148.1202347,1785995148.3690243,201,3,Arizona Cardinals,stop
60000036,0,completed,,1785995148.1204536,1785995148.1204586,1785995148.4508562,204,4,New England Patriots,stop
60000038,0,completed,,1785995148.1206534,1785995148.120656,1785995148.3663838,206,2,4,stop
60000039,0,completed,,1785995148.1208544,1785995148.1208568,1785995148.4105418,202,3,Cam Newton,stop
60000040,0,completed,,1785995148.121055,1785995148.1210577,1785995148.4881718,216,5,15–1,stop
60000041,0,completed,,1785995148.1212475,1785995148.1212523,1785995148.4101136,214,3,Cam Newton,stop
60000044,0,completed,,1785995148.1214414,1785995148.1214437,1785995148.450478,216,4,New England Patriots,stop
60000047,0,completed,,1785995148.1216533,1785995148.1216557,1785995148.3686976,206,2,2,stop
60000048,0,completed,,1785995148.1219244,1785995148.121927,1785995149.2166748,203,16,The Broncos (Denver) beat the New England Patriots in the AFC championship.,stop
60000049,0,completed,,1785995148.122125,1785995148.1221273,1785995148.4059787,211,3,Cam Newton,stop
60000050,0,completed,,1785995148.122324,1785995148.1223283,1785995148.4551928,209,4,New England Patriots,stop
60000054,0,completed,,1785995148.122537,1785995148.1225395,1785995148.4877565,202,5,1995,stop
60000056,0,completed,,1785995148.122737,1785995148.1227396,1785995148.3693814,142,2,2,stop
60000058,0,completed,,1785995148.122954,1785995148.1229568,1785995148.4497325,136,4,Von Miller,stop
60000059,0,completed,,1785995148.1231678,1785995148.1231706,1785995148.4216616,142,2,5,stop
60000060,0,completed,,1785995148.1233869,1785995148.1233897,1785995148.4097936,135,2,Newton,stop
60000067,0,completed,,1785995148.1236074,1785995148.123612,1785995148.4118733,145,2,5,stop
60000070,0,completed,,1785995148.1238172,1785995148.1238198,1785995148.4123745,138,2,5,stop
60000071,0,completed,,1785995148.1240847,1785995148.124087,1785995148.412895,141,2,seven,stop
60000075,0,completed,,1785995148.1242867,1785995148.1242914,1785995148.4972208,134,4,linebacker,stop
60000078,0,completed,,1785995148.1244936,1785995148.1244962,1785995148.4867117,138,4,Von Miller,stop
60000079,0,completed,,1785995148.1246965,1785995148.124699,1785995148.4210463,141,2,5,stop
60000080,0,completed,,1785995148.124899,1785995148.1249013,1785995148.4109337,160,2,CBS,stop
