doc_id,endpoint_index,status,error,submitted_at_s,started_at_s,completed_at_s,input_tokens,output_tokens,output_text,finish_reason
60000001,1,completed,,1785995276.085116,1785995276.0851257,1785995277.642401,239,4,Carolina Panthers,stop
60000004,1,completed,,1785995276.0901914,1785995276.0901995,1785995276.9261029,243,2,gold,stop
60000005,1,completed,,1785995276.090584,1785995276.0905879,1785995277.2132618,237,3,golden anniversary,stop
60000007,1,completed,,1785995276.0908618,1785995276.0908651,1785995277.5481493,233,4,American Football Conference,stop
60000009,1,completed,,1785995276.091112,1785995276.0911155,1785995277.3824859,232,4,American Football Conference,stop
60000010,1,completed,,1785995276.0913606,1785995276.091364,1785995277.533195,235,4,February 7,stop
60000011,1,completed,,1785995276.0916016,1785995276.0916045,1785995277.3398604,234,3,Denver Broncos,stop
60000012,1,completed,,1785995276.091815,1785995276.0918176,1785995278.6738296,238,5,Levi's Stadium,stop
60000013,1,completed,,1785995276.0920165,1785995276.092019,1785995277.2041276,238,3,Santa Clara,stop
60000014,1,completed,,1785995276.0922925,1785995276.0922954,1785995277.6588926,244,4,Super Bowl L,stop
60000015,1,completed,,1785995276.0925026,1785995276.0925057,1785995278.4325497,239,5,2015,stop
60000016,1,completed,,1785995276.0927184,1785995276.0927212,1785995278.476089,242,5,2015,stop
60000017,1,completed,,1785995276.092934,1785995276.0929408,1785995277.2571857,238,3,Santa Clara,stop
60000019,1,completed,,1785995276.0931382,1785995276.093141,1785995279.1381562,239,6,24-10,stop
60000021,1,completed,,1785995276.0933414,1785995276.0933442,1785995278.950529,235,5,2016,stop
60000022,1,completed,,1785995276.093542,1785995276.0935447,1785995277.4896283,233,3,Denver Broncos,stop
60000024,1,completed,,1785995276.0937505,1785995276.0937557,1785995277.4967644,234,3,Denver Broncos,stop
60000025,1,completed,,1785995276.0939512,1785995276.0939536,1785995278.9280884,239,5,2015,stop
60000026,1,completed,,1785995276.0941565,1785995276.0941591,1785995277.3887815,235,3,Denver Broncos,stop
60000028,1,completed,,1785995276.094423,1785995276.094426,1785995277.4343665,235,3,Super Bowl,stop
60000029,1,completed,,1785995276.0946417,1785995276.0946443,1785995277.6756315,239,3,Denver Broncos,stop
60000032,1,completed,,1785995276.094851,1785995276.0948553,1785995279.066555,203,5,1995,stop
60000034,1,completed,,1785995276.09506,1785995276.0950627,1785995278.5485935,206,4,New England Patriots,stop
60000035,1,completed,,1785995276.0952742,1785995276.0952768,1785995277.44788,205,3,Arizona Cardinals,stop
60000037,1,completed,,1785995276.095496,1785995276.0954986,1785995278.8178267,202,4,New England Patriots,stop
60000042,1,completed,,1785995276.0957024,1785995276.095705,1785995279.0430207,217,5,12–4,stop
60000043,1,completed,,1785995276.0959127,1785995276.0959156,1785995277.2997952,206,2,4,stop
60000045,1,completed,,1785995276.096124,1785995276.0961285,1785995277.6342347,202,3,Cam Newton,stop
60000046,1,completed,,1785995276.096346,1785995276.0963488,1785995277.6261442,204,3,Arizona Cardinals,stop
60000051,1,completed,,1785995276.0966146,1785995276.0966172,1785995277.5406592,211,3,Arizona Cardinals,stop
60000052,1,completed,,1785995276.0968213,1785995276.096826,1785995277.563325,205,3,Cam Newton,stop
60000053,1,completed,,1785995276.097034,1785995276.0970368,1785995277.5039415,205,3,Arizona Cardinals,stop
60000055,1,completed,,1785995276.0972385,1785995276.0972412,1785995278.8398802,137,4,Von Miller,stop
60000057,1,completed,,1785995276.0974507,1785995276.0974534,1785995277.4547007,138,3,Broncos,stop
60000061,1,completed,,1785995276.0976574,1785995276.0976596,1785995277.2226152,135,2,seven,stop
60000062,1,completed,,1785995276.0978673,1785995276.0978699,1785995278.6938553,134,4,Von Miller,stop
60000063,1,completed,,1785995276.0980783,1785995276.0980809,1785995277.1996312,135,2,three,stop
60000064,1,completed,,1785995276.098284,1785995276.0982869,1785995277.2780888,136,2,2,stop
60000065,1,completed,,1785995276.09855,1785995276.0985525,1785995278.423962,142,4,Von Miller,stop
60000066,1,completed,,1785995276.098763,1785995276.0987673,1785995278.57674,138,4,linebacker,stop
60000068,1,completed,,1785995276.0989811,1785995276.0989838,1785995277.3457873,145,2,two,stop
60000069,1,completed,,1785995276.0991938,1785995276.0991964,1785995278.441157,136,4,Von Miller,stop
60000072,1,completed,,1785995276.0994096,1785995276.0994122,1785995277.283443,139,2,3,stop
60000073,1,completed,,1785995276.0996237,1785995276.0996263,1785995277.518451,137,3,fumble,stop
60000074,1,completed,,1785995276.0998385,1785995276.099841,1785995278.5673306,141,4,Von Miller,stop
60000076,1,completed,,1785995276.1000595,1785995276.100062,1785995277.2623343,137,2,seven,stop
60000077,1,completed,,1785995276.100272,1785995276.1002743,1785995277.3223727,139,2,3,stop
60000081,1,completed,,1785995276.1004822,1785995276.1004848,1785995278.8071983,164,4,$5 million,stop
60000082,1,completed,,1785995276.1007638,1785995276.1007702,1785995277.6180868,158,3,Coldplay,stop
60000084,1,completed,,1785995276.1009846,1785995276.1009872,1785995279.299711,157,6,Super Bowl XLVIII,stop
60000086,1,completed,,1785995276.1012058,1785995276.1012087,1785995278.614983,158,4,$5 million,stop
