sample_index,sample_epoch_s,gpu_index,gpu_name,gpu_utilization_pct,gpu_memory_used_mib,gpu_memory_total_mib,gpu_power_w
0,0.0002073533833026886,0,NVIDIA GeForce RTX 4090,0.0,23008.0,24564.0,320.04
0,0.0002073533833026886,1,NVIDIA GeForce RTX 4090,0.0,23008.0,24564.0,322.51
1,0.4036192372441292,0,NVIDIA GeForce RTX 4090,0.0,23008.0,24564.0,208.87
1,0.4036192372441292,1,NVIDIA GeForce RTX 4090,0.0,23008.0,24564.0,220.47
2,0.7673042844980955,0,NVIDIA GeForce RTX 4090,0.0,23008.0,24564.0,132.4
2,0.7673042844980955,1,NVIDIA GeForce RTX 4090,0.0,23008.0,24564.0,128.49
3,1.1480191331356764,0,NVIDIA GeForce RTX 4090,95.0,23008.0,24564.0,153.98
3,1.1480191331356764,1,NVIDIA GeForce RTX 4090,0.0,23008.0,24564.0,128.49
4,1.536154204979539,0,NVIDIA GeForce RTX 4090,100.0,23008.0,24564.0,238.51
4,1.536154204979539,1,NVIDIA GeForce RTX 4090,100.0,23008.0,24564.0,147.51
5,1.9260939415544271,0,NVIDIA GeForce RTX 4090,100.0,23008.0,24564.0,333.82
5,1.9260939415544271,1,NVIDIA GeForce RTX 4090,100.0,23008.0,24564.0,261.17
6,2.3000498432666063,0,NVIDIA GeForce RTX 4090,100.0,23008.0,24564.0,421.57
6,2.3000498432666063,1,NVIDIA GeForce RTX 4090,100.0,23008.0,24564.0,402.24
7,2.655247377231717,0,NVIDIA GeForce RTX 4090,100.0,23008.0,24564.0,420.62
7,2.655247377231717,1,NVIDIA GeForce RTX 4090,100.0,23008.0,24564.0,405.68
8,3.0102704223245382,0,NVIDIA GeForce RTX 4090,100.0,23008.0,24564.0,415.64
8,3.0102704223245382,1,NVIDIA GeForce RTX 4090,100.0,23008.0,24564.0,407.32
9,3.4083166792988777,0,NVIDIA GeForce RTX 4090,100.0,23008.0,24564.0,401.69
9,3.4083166792988777,1,NVIDIA GeForce RTX 4090,100.0,23008.0,24564.0,401.68
10,3.818527853116393,0,NVIDIA GeForce RTX 4090,0.0,23008.0,24564.0,301.22
10,3.818527853116393,1,NVIDIA GeForce RTX 4090,100.0,23008.0,24564.0,376.04
