sample_index,sample_epoch_s,gpu_index,gpu_name,gpu_utilization_pct,gpu_memory_used_mib,gpu_memory_total_mib,gpu_power_w
0,0.00022358447313308716,0,NVIDIA GeForce RTX 4090,0.0,23008.0,24564.0,377.27
0,0.00022358447313308716,1,NVIDIA GeForce RTX 4090,0.0,23008.0,24564.0,364.71
1,0.401725348085165,0,NVIDIA GeForce RTX 4090,0.0,23008.0,24564.0,270.03
1,0.401725348085165,1,NVIDIA GeForce RTX 4090,0.0,23008.0,24564.0,251.44
2,0.7846443224698305,0,NVIDIA GeForce RTX 4090,100.0,23008.0,24564.0,231.95
2,0.7846443224698305,1,NVIDIA GeForce RTX 4090,100.0,23008.0,24564.0,225.41
3,1.238655423745513,0,NVIDIA GeForce RTX 4090,100.0,23008.0,24564.0,299.22
3,1.238655423745513,1,NVIDIA GeForce RTX 4090,100.0,23008.0,24564.0,285.22
4,1.5910882093012333,0,NVIDIA GeForce RTX 4090,100.0,23008.0,24564.0,410.66
4,1.5910882093012333,1,NVIDIA GeForce RTX 4090,100.0,23008.0,24564.0,399.25
5,1.9444887563586235,0,NVIDIA GeForce RTX 4090,100.0,23008.0,24564.0,412.44
5,1.9444887563586235,1,NVIDIA GeForce RTX 4090,100.0,23008.0,24564.0,401.28
6,2.3538619056344032,0,NVIDIA GeForce RTX 4090,100.0,23008.0,24564.0,417.09
6,2.3538619056344032,1,NVIDIA GeForce RTX 4090,100.0,23008.0,24564.0,402.36
7,2.771423699334264,0,NVIDIA GeForce RTX 4090,100.0,23008.0,24564.0,416.16
7,2.771423699334264,1,NVIDIA GeForce RTX 4090,100.0,23008.0,24564.0,402.45
8,3.1720715444535017,0,NVIDIA GeForce RTX 4090,100.0,23008.0,24564.0,417.6
8,3.1720715444535017,1,NVIDIA GeForce RTX 4090,100.0,23008.0,24564.0,404.46
9,3.5862219482660294,0,NVIDIA GeForce RTX 4090,100.0,23008.0,24564.0,417.79
9,3.5862219482660294,1,NVIDIA GeForce RTX 4090,100.0,23008.0,24564.0,401.67
10,4.0014705043286085,0,NVIDIA GeForce RTX 4090,100.0,23008.0,24564.0,417.05
10,4.0014705043286085,1,NVIDIA GeForce RTX 4090,100.0,23008.0,24564.0,401.26
11,4.409699512645602,0,NVIDIA GeForce RTX 4090,100.0,23008.0,24564.0,413.63
11,4.409699512645602,1,NVIDIA GeForce RTX 4090,100.0,23008.0,24564.0,401.09
12,4.797584852203727,0,NVIDIA GeForce RTX 4090,100.0,23008.0,24564.0,414.91
12,4.797584852203727,1,NVIDIA GeForce RTX 4090,100.0,23008.0,24564.0,405.58
13,5.1766937505453825,0,NVIDIA GeForce RTX 4090,100.0,23008.0,24564.0,414.49
13,5.1766937505453825,1,NVIDIA GeForce RTX 4090,100.0,23008.0,24564.0,402.9
14,5.54001091606915,0,NVIDIA GeForce RTX 4090,0.0,23008.0,24564.0,335.2
14,5.54001091606915,1,NVIDIA GeForce RTX 4090,0.0,23008.0,24564.0,351.01
