sample_index,sample_epoch_s,gpu_index,gpu_name,gpu_utilization_pct,gpu_memory_used_mib,gpu_memory_total_mib,gpu_power_w
0,0.000241963192820549,0,NVIDIA GeForce RTX 4090,0.0,23202.0,24564.0,371.05
0,0.000241963192820549,1,NVIDIA GeForce RTX 4090,0.0,22634.0,24564.0,305.86
1,0.4061084594577551,0,NVIDIA GeForce RTX 4090,0.0,23202.0,24564.0,233.62
1,0.4061084594577551,1,NVIDIA GeForce RTX 4090,0.0,22634.0,24564.0,176.72
2,0.8179570827633142,0,NVIDIA GeForce RTX 4090,100.0,23202.0,24564.0,257.88
2,0.8179570827633142,1,NVIDIA GeForce RTX 4090,100.0,22634.0,24564.0,191.67
3,1.237633552402258,0,NVIDIA GeForce RTX 4090,100.0,23202.0,24564.0,347.24
3,1.237633552402258,1,NVIDIA GeForce RTX 4090,100.0,22634.0,24564.0,347.6
4,1.656986266374588,0,NVIDIA GeForce RTX 4090,100.0,23202.0,24564.0,409.08
4,1.656986266374588,1,NVIDIA GeForce RTX 4090,100.0,22634.0,24564.0,388.26
5,2.030503898859024,0,NVIDIA GeForce RTX 4090,100.0,23202.0,24564.0,405.73
5,2.030503898859024,1,NVIDIA GeForce RTX 4090,100.0,22634.0,24564.0,392.06
6,2.4469242990016937,0,NVIDIA GeForce RTX 4090,100.0,23202.0,24564.0,406.7
6,2.4469242990016937,1,NVIDIA GeForce RTX 4090,100.0,22634.0,24564.0,389.87
7,2.8455135952681303,0,NVIDIA GeForce RTX 4090,100.0,23202.0,24564.0,397.57
7,2.8455135952681303,1,NVIDIA GeForce RTX 4090,100.0,22634.0,24564.0,379.54
8,3.2090237122029066,0,NVIDIA GeForce RTX 4090,0.0,23202.0,24564.0,320.38
8,3.2090237122029066,1,NVIDIA GeForce RTX 4090,18.0,22634.0,24564.0,339.52
