sample_index,sample_epoch_s,gpu_index,gpu_name,gpu_utilization_pct,gpu_memory_used_mib,gpu_memory_total_mib,gpu_power_w
0,0.0002360958606004715,0,NVIDIA GeForce RTX 4090,0.0,23202.0,24564.0,374.0
0,0.0002360958606004715,1,NVIDIA GeForce RTX 4090,0.0,22634.0,24564.0,355.02
1,0.3898056596517563,0,NVIDIA GeForce RTX 4090,0.0,23202.0,24564.0,251.28
1,0.3898056596517563,1,NVIDIA GeForce RTX 4090,0.0,22634.0,24564.0,242.01
2,0.7718482352793217,0,NVIDIA GeForce RTX 4090,0.0,23202.0,24564.0,148.33
2,0.7718482352793217,1,NVIDIA GeForce RTX 4090,0.0,22634.0,24564.0,129.89
3,1.1378687657415867,0,NVIDIA GeForce RTX 4090,0.0,23202.0,24564.0,148.33
3,1.1378687657415867,1,NVIDIA GeForce RTX 4090,0.0,22634.0,24564.0,129.89
4,1.5180951077491045,0,NVIDIA GeForce RTX 4090,0.0,23202.0,24564.0,148.33
4,1.5180951077491045,1,NVIDIA GeForce RTX 4090,0.0,22634.0,24564.0,129.89
5,1.916194735094905,0,NVIDIA GeForce RTX 4090,100.0,23202.0,24564.0,196.51
5,1.916194735094905,1,NVIDIA GeForce RTX 4090,0.0,22634.0,24564.0,91.42
6,2.3218336906284094,0,NVIDIA GeForce RTX 4090,100.0,23202.0,24564.0,262.13
6,2.3218336906284094,1,NVIDIA GeForce RTX 4090,100.0,22634.0,24564.0,172.33
7,2.7313117515295744,0,NVIDIA GeForce RTX 4090,100.0,23202.0,24564.0,447.2
7,2.7313117515295744,1,NVIDIA GeForce RTX 4090,100.0,22634.0,24564.0,239.98
8,3.1469149719923735,0,NVIDIA GeForce RTX 4090,100.0,23202.0,24564.0,448.79
8,3.1469149719923735,1,NVIDIA GeForce RTX 4090,100.0,22634.0,24564.0,443.66
9,3.5556015986949205,0,NVIDIA GeForce RTX 4090,100.0,23202.0,24564.0,444.52
9,3.5556015986949205,1,NVIDIA GeForce RTX 4090,100.0,22634.0,24564.0,442.87
10,3.925102174282074,0,NVIDIA GeForce RTX 4090,100.0,23202.0,24564.0,445.94
10,3.925102174282074,1,NVIDIA GeForce RTX 4090,100.0,22634.0,24564.0,446.25
11,4.33483562245965,0,NVIDIA GeForce RTX 4090,100.0,23202.0,24564.0,444.65
11,4.33483562245965,1,NVIDIA GeForce RTX 4090,100.0,22634.0,24564.0,445.42
12,4.723130898550153,0,NVIDIA GeForce RTX 4090,100.0,23202.0,24564.0,447.1
12,4.723130898550153,1,NVIDIA GeForce RTX 4090,100.0,22634.0,24564.0,447.19
13,5.135894468054175,0,NVIDIA GeForce RTX 4090,100.0,23202.0,24564.0,450.42
13,5.135894468054175,1,NVIDIA GeForce RTX 4090,100.0,22634.0,24564.0,446.82
14,5.546399250626564,0,NVIDIA GeForce RTX 4090,100.0,23202.0,24564.0,448.39
14,5.546399250626564,1,NVIDIA GeForce RTX 4090,100.0,22634.0,24564.0,447.95
15,5.912463191896677,0,NVIDIA GeForce RTX 4090,100.0,23202.0,24564.0,446.76
15,5.912463191896677,1,NVIDIA GeForce RTX 4090,100.0,22634.0,24564.0,446.01
16,6.299886927008629,0,NVIDIA GeForce RTX 4090,100.0,23202.0,24564.0,449.51
16,6.299886927008629,1,NVIDIA GeForce RTX 4090,100.0,22634.0,24564.0,447.45
17,6.708302406594157,0,NVIDIA GeForce RTX 4090,100.0,23202.0,24564.0,447.81
17,6.708302406594157,1,NVIDIA GeForce RTX 4090,100.0,22634.0,24564.0,443.14
18,7.10023258253932,0,NVIDIA GeForce RTX 4090,100.0,23202.0,24564.0,445.25
18,7.10023258253932,1,NVIDIA GeForce RTX 4090,100.0,22634.0,24564.0,440.77
19,7.509673183783889,0,NVIDIA GeForce RTX 4090,100.0,23202.0,24564.0,446.66
19,7.509673183783889,1,NVIDIA GeForce RTX 4090,100.0,22634.0,24564.0,446.98
20,7.873413350433111,0,NVIDIA GeForce RTX 4090,100.0,23202.0,24564.0,448.11
20,7.873413350433111,1,NVIDIA GeForce RTX 4090,100.0,22634.0,24564.0,447.87
