schema_version,experiment_id,phase,repeat_index,job_id,server_version,pgvector_version,sample_index,sample_epoch_s,gpu_metrics_status,gpu_name,gpu_utilization_pct,gpu_memory_used_mib,gpu_memory_total_mib,gpu_power_w,vllm_metrics_status,vllm_num_requests_running,vllm_num_requests_waiting,vllm_kv_cache_usage_perc
1,output_aware_bfd_512_v2_20260726,warmup,1,879,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,0,1785004042.155998,snapshot,NVIDIA GeForce RTX 5070,4,10228,12227,42.78,ok,0,0,0.0
1,output_aware_bfd_512_v2_20260726,warmup,1,879,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,1,1785004042.4774616,snapshot,NVIDIA GeForce RTX 5070,8,10228,12227,43.38,ok,0,0,0.0
1,output_aware_bfd_512_v2_20260726,warmup,1,879,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,2,1785004042.8054261,snapshot,NVIDIA GeForce RTX 5070,8,10228,12227,43.31,ok,0,0,0.0
1,output_aware_bfd_512_v2_20260726,warmup,1,879,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,3,1785004043.1389656,snapshot,NVIDIA GeForce RTX 5070,8,10238,12227,43.31,ok,0,0,0.0
1,output_aware_bfd_512_v2_20260726,warmup,1,879,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,4,1785004043.457238,snapshot,NVIDIA GeForce RTX 5070,2,10232,12227,42.92,ok,0,0,0.0
1,output_aware_bfd_512_v2_20260726,warmup,1,879,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,5,1785004043.7829943,snapshot,NVIDIA GeForce RTX 5070,2,10232,12227,42.55,ok,0,0,0.0
1,output_aware_bfd_512_v2_20260726,warmup,1,879,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,6,1785004044.1056988,snapshot,NVIDIA GeForce RTX 5070,2,10230,12227,42.55,ok,0,0,0.0
1,output_aware_bfd_512_v2_20260726,warmup,1,879,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,7,1785004044.4482975,snapshot,NVIDIA GeForce RTX 5070,8,10228,12227,42.97,ok,0,0,0.0
1,output_aware_bfd_512_v2_20260726,warmup,1,879,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,8,1785004044.7716033,snapshot,NVIDIA GeForce RTX 5070,8,10228,12227,43.37,ok,0,0,0.0
1,output_aware_bfd_512_v2_20260726,warmup,1,879,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,9,1785004045.103195,snapshot,NVIDIA GeForce RTX 5070,8,10229,12227,43.37,ok,31,1,0.023285385043312457
1,output_aware_bfd_512_v2_20260726,warmup,1,879,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,10,1785004045.4177594,snapshot,NVIDIA GeForce RTX 5070,98,10234,12227,75.55,ok,67,37,0.05475641738854009
1,output_aware_bfd_512_v2_20260726,warmup,1,879,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,11,1785004045.759819,snapshot,NVIDIA GeForce RTX 5070,98,10235,12227,135.44,ok,104,0,0.0720813796391957
1,output_aware_bfd_512_v2_20260726,warmup,1,879,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,12,1785004046.105952,snapshot,NVIDIA GeForce RTX 5070,98,10235,12227,135.44,ok,47,0,0.024954303425256286
1,output_aware_bfd_512_v2_20260726,warmup,1,879,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,13,1785004046.445737,snapshot,NVIDIA GeForce RTX 5070,97,10234,12227,152.84,ok,77,12,0.05364380513391087
1,output_aware_bfd_512_v2_20260726,warmup,1,879,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,14,1785004046.7684274,snapshot,NVIDIA GeForce RTX 5070,97,10234,12227,150.46,ok,72,0,0.05753794802511325
1,output_aware_bfd_512_v2_20260726,warmup,1,879,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,15,1785004047.1126394,snapshot,NVIDIA GeForce RTX 5070,97,10234,12227,150.46,ok,35,12,0.05269013748708573
1,output_aware_bfd_512_v2_20260726,warmup,1,879,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,16,1785004047.4518533,snapshot,NVIDIA GeForce RTX 5070,98,10234,12227,154.70,ok,53,21,0.06254470317094496
1,output_aware_bfd_512_v2_20260726,warmup,1,879,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,17,1785004047.7713451,snapshot,NVIDIA GeForce RTX 5070,98,10234,12227,155.14,ok,64,42,0.08328697448939049
1,output_aware_bfd_512_v2_20260726,warmup,1,879,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,18,1785004048.1151533,snapshot,NVIDIA GeForce RTX 5070,98,10235,12227,155.14,ok,106,0,0.10768497178733216
1,output_aware_bfd_512_v2_20260726,warmup,1,879,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,19,1785004048.4558964,snapshot,NVIDIA GeForce RTX 5070,95,10237,12227,152.22,ok,82,17,0.035365175236430124
1,output_aware_bfd_512_v2_20260726,warmup,1,879,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,20,1785004048.7925847,snapshot,NVIDIA GeForce RTX 5070,95,10237,12227,151.27,ok,96,0,0.0487165222919812
1,output_aware_bfd_512_v2_20260726,warmup,1,879,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,21,1785004049.1329124,snapshot,NVIDIA GeForce RTX 5070,95,10237,12227,151.27,ok,107,0,0.06524676150361597
1,output_aware_bfd_512_v2_20260726,warmup,1,879,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,22,1785004049.468567,snapshot,NVIDIA GeForce RTX 5070,95,10237,12227,151.26,ok,84,22,0.021378049749662287
1,output_aware_bfd_512_v2_20260726,warmup,1,879,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,23,1785004049.7923894,snapshot,NVIDIA GeForce RTX 5070,95,10237,12227,150.62,ok,106,0,0.04045140268616387
1,output_aware_bfd_512_v2_20260726,warmup,1,879,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,24,1785004050.1330824,snapshot,NVIDIA GeForce RTX 5070,95,10237,12227,150.62,ok,0,0,0.0
