schema_version,experiment_id,phase,repeat_index,job_id,server_version,pgvector_version,sample_index,sample_epoch_s,gpu_metrics_status,gpu_name,gpu_utilization_pct,gpu_memory_used_mib,gpu_memory_total_mib,gpu_power_w,vllm_metrics_status,vllm_num_requests_running,vllm_num_requests_waiting,vllm_kv_cache_usage_perc
1,output_aware_bfd_512_v2_20260726,formal,1,883,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,0,1785004112.8347461,snapshot,NVIDIA GeForce RTX 5070,8,10622,12227,44.13,ok,0,0,0.0
1,output_aware_bfd_512_v2_20260726,formal,1,883,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,1,1785004113.1792686,snapshot,NVIDIA GeForce RTX 5070,8,10622,12227,44.13,ok,0,0,0.0
1,output_aware_bfd_512_v2_20260726,formal,1,883,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,2,1785004113.5164654,snapshot,NVIDIA GeForce RTX 5070,8,10592,12227,44.11,ok,0,0,0.0
1,output_aware_bfd_512_v2_20260726,formal,1,883,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,3,1785004113.8383157,snapshot,NVIDIA GeForce RTX 5070,8,10596,12227,43.94,ok,0,0,0.0
1,output_aware_bfd_512_v2_20260726,formal,1,883,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,4,1785004114.1815479,snapshot,NVIDIA GeForce RTX 5070,8,10602,12227,43.94,ok,0,0,0.0
1,output_aware_bfd_512_v2_20260726,formal,1,883,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,5,1785004114.5027218,snapshot,NVIDIA GeForce RTX 5070,8,10597,12227,44.04,ok,0,0,0.0
1,output_aware_bfd_512_v2_20260726,formal,1,883,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,6,1785004114.8497188,snapshot,NVIDIA GeForce RTX 5070,8,10595,12227,44.04,ok,0,0,0.0
1,output_aware_bfd_512_v2_20260726,formal,1,883,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,7,1785004115.1734324,snapshot,NVIDIA GeForce RTX 5070,8,10611,12227,44.04,ok,0,0,0.0
1,output_aware_bfd_512_v2_20260726,formal,1,883,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,8,1785004115.4987543,snapshot,NVIDIA GeForce RTX 5070,8,10611,12227,44.06,ok,0,0,0.0
1,output_aware_bfd_512_v2_20260726,formal,1,883,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,9,1785004115.8415356,snapshot,NVIDIA GeForce RTX 5070,8,10611,12227,44.30,ok,0,0,0.0
1,output_aware_bfd_512_v2_20260726,formal,1,883,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,10,1785004116.1816547,snapshot,NVIDIA GeForce RTX 5070,8,10616,12227,44.30,ok,32,32,0.025113248033060476
1,output_aware_bfd_512_v2_20260726,formal,1,883,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,11,1785004116.5232062,snapshot,NVIDIA GeForce RTX 5070,98,10615,12227,76.79,ok,67,61,0.05666375268219026
1,output_aware_bfd_512_v2_20260726,formal,1,883,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,12,1785004116.8503892,snapshot,NVIDIA GeForce RTX 5070,98,10637,12227,125.39,ok,127,0,0.08201541762695697
1,output_aware_bfd_512_v2_20260726,formal,1,883,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,13,1785004117.168648,snapshot,NVIDIA GeForce RTX 5070,98,10638,12227,125.39,ok,93,0,0.04537868552809343
1,output_aware_bfd_512_v2_20260726,formal,1,883,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,14,1785004117.4981847,snapshot,NVIDIA GeForce RTX 5070,97,10648,12227,148.74,ok,48,16,0.034729396805213364
1,output_aware_bfd_512_v2_20260726,formal,1,883,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,15,1785004117.8387663,snapshot,NVIDIA GeForce RTX 5070,97,10680,12227,149.09,ok,76,51,0.06627990145434315
1,output_aware_bfd_512_v2_20260726,formal,1,883,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,16,1785004118.1792836,snapshot,NVIDIA GeForce RTX 5070,97,10680,12227,149.09,ok,86,41,0.09735357228006036
1,output_aware_bfd_512_v2_20260726,formal,1,883,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,17,1785004118.519254,snapshot,NVIDIA GeForce RTX 5070,98,10637,12227,152.68,ok,118,8,0.11873162202972265
1,output_aware_bfd_512_v2_20260726,formal,1,883,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,18,1785004118.8640945,snapshot,NVIDIA GeForce RTX 5070,98,10641,12227,151.03,ok,98,0,0.11833426051021223
1,output_aware_bfd_512_v2_20260726,formal,1,883,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,19,1785004119.200582,snapshot,NVIDIA GeForce RTX 5070,98,10641,12227,151.03,ok,97,13,0.07772391321624417
1,output_aware_bfd_512_v2_20260726,formal,1,883,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,20,1785004119.5227466,snapshot,NVIDIA GeForce RTX 5070,96,10635,12227,149.02,ok,85,11,0.06318048160216161
1,output_aware_bfd_512_v2_20260726,formal,1,883,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,21,1785004119.8525531,snapshot,NVIDIA GeForce RTX 5070,96,10635,12227,148.93,ok,128,0,0.08392275292060714
1,output_aware_bfd_512_v2_20260726,formal,1,883,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,22,1785004120.1962698,snapshot,NVIDIA GeForce RTX 5070,96,10634,12227,148.93,ok,109,0,0.06580306763093058
1,output_aware_bfd_512_v2_20260726,formal,1,883,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,23,1785004120.5168624,snapshot,NVIDIA GeForce RTX 5070,97,10624,12227,148.91,ok,96,0,0.037987761265199094
1,output_aware_bfd_512_v2_20260726,formal,1,883,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,24,1785004120.8637302,snapshot,NVIDIA GeForce RTX 5070,97,10625,12227,148.38,ok,81,0,0.034490979893507134
1,output_aware_bfd_512_v2_20260726,formal,1,883,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,25,1785004121.183569,snapshot,NVIDIA GeForce RTX 5070,97,10625,12227,148.38,ok,0,0,0.0
