schema_version,experiment_id,phase,repeat_index,job_id,server_version,pgvector_version,sample_index,sample_epoch_s,gpu_metrics_status,gpu_name,gpu_utilization_pct,gpu_memory_used_mib,gpu_memory_total_mib,gpu_power_w,vllm_metrics_status,vllm_num_requests_running,vllm_num_requests_waiting,vllm_kv_cache_usage_perc
1,output_aware_bfd_512_v2_20260726,formal,2,889,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,0,1785004231.5214882,snapshot,NVIDIA GeForce RTX 5070,21,11376,12227,65.96,ok,0,0,0.0
1,output_aware_bfd_512_v2_20260726,formal,2,889,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,1,1785004231.8636744,snapshot,NVIDIA GeForce RTX 5070,21,11376,12227,66.51,ok,0,0,0.0
1,output_aware_bfd_512_v2_20260726,formal,2,889,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,2,1785004232.1897943,snapshot,NVIDIA GeForce RTX 5070,21,11376,12227,66.51,ok,0,0,0.0
1,output_aware_bfd_512_v2_20260726,formal,2,889,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,3,1785004232.5159187,snapshot,NVIDIA GeForce RTX 5070,23,11387,12227,66.90,ok,0,0,0.0
1,output_aware_bfd_512_v2_20260726,formal,2,889,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,4,1785004232.8406217,snapshot,NVIDIA GeForce RTX 5070,23,11387,12227,66.62,ok,0,0,0.0
1,output_aware_bfd_512_v2_20260726,formal,2,889,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,5,1785004233.182685,snapshot,NVIDIA GeForce RTX 5070,23,11387,12227,66.62,ok,0,0,0.0
1,output_aware_bfd_512_v2_20260726,formal,2,889,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,6,1785004233.5843735,snapshot,NVIDIA GeForce RTX 5070,22,11387,12227,66.36,ok,0,0,0.0
1,output_aware_bfd_512_v2_20260726,formal,2,889,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,7,1785004233.914837,snapshot,NVIDIA GeForce RTX 5070,22,11387,12227,66.18,ok,0,0,0.0
1,output_aware_bfd_512_v2_20260726,formal,2,889,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,8,1785004234.2390704,snapshot,NVIDIA GeForce RTX 5070,22,11387,12227,66.18,ok,0,0,0.0
1,output_aware_bfd_512_v2_20260726,formal,2,889,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,9,1785004234.5751178,snapshot,NVIDIA GeForce RTX 5070,24,11387,12227,66.21,ok,0,0,0.0
1,output_aware_bfd_512_v2_20260726,formal,2,889,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,10,1785004234.9154184,snapshot,NVIDIA GeForce RTX 5070,24,11393,12227,75.63,ok,4,22,0.029643169355479615
1,output_aware_bfd_512_v2_20260726,formal,2,889,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,11,1785004235.2336571,snapshot,NVIDIA GeForce RTX 5070,24,11393,12227,75.63,ok,9,70,0.05014702376221891
1,output_aware_bfd_512_v2_20260726,formal,2,889,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,12,1785004235.5586479,snapshot,NVIDIA GeForce RTX 5070,98,11393,12227,122.69,ok,14,65,0.07073035047286025
1,output_aware_bfd_512_v2_20260726,formal,2,889,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,13,1785004235.8829901,snapshot,NVIDIA GeForce RTX 5070,98,11393,12227,160.68,ok,18,61,0.09131367718350158
1,output_aware_bfd_512_v2_20260726,formal,2,889,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,14,1785004236.2289617,snapshot,NVIDIA GeForce RTX 5070,98,11393,12227,160.68,ok,25,54,0.12214893109751257
1,output_aware_bfd_512_v2_20260726,formal,2,889,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,15,1785004236.551644,snapshot,NVIDIA GeForce RTX 5070,98,11393,12227,161.51,ok,30,49,0.14257331320034972
1,output_aware_bfd_512_v2_20260726,formal,2,889,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,16,1785004236.880096,snapshot,NVIDIA GeForce RTX 5070,98,11394,12227,161.91,ok,38,41,0.1632361122148931
1,output_aware_bfd_512_v2_20260726,formal,2,889,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,17,1785004237.2070477,snapshot,NVIDIA GeForce RTX 5070,98,11394,12227,161.91,ok,43,34,0.1659381705475642
1,output_aware_bfd_512_v2_20260726,formal,2,889,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,18,1785004237.5502324,snapshot,NVIDIA GeForce RTX 5070,98,11390,12227,162.21,ok,54,17,0.16530239211634745
1,output_aware_bfd_512_v2_20260726,formal,2,889,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,19,1785004237.8718693,snapshot,NVIDIA GeForce RTX 5070,98,11390,12227,162.34,ok,62,20,0.1676865612334102
1,output_aware_bfd_512_v2_20260726,formal,2,889,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,20,1785004238.2005935,snapshot,NVIDIA GeForce RTX 5070,98,11390,12227,162.34,ok,78,16,0.16728919971389966
1,output_aware_bfd_512_v2_20260726,formal,2,889,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,21,1785004238.5276613,snapshot,NVIDIA GeForce RTX 5070,98,11390,12227,162.48,ok,103,0,0.15814988476515934
1,output_aware_bfd_512_v2_20260726,formal,2,889,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,22,1785004238.8492472,snapshot,NVIDIA GeForce RTX 5070,98,11395,12227,161.36,ok,109,0,0.09711515536835413
1,output_aware_bfd_512_v2_20260726,formal,2,889,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,23,1785004239.1778588,snapshot,NVIDIA GeForce RTX 5070,98,11394,12227,161.36,ok,96,0,0.035921481363744734
1,output_aware_bfd_512_v2_20260726,formal,2,889,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,24,1785004239.5226169,snapshot,NVIDIA GeForce RTX 5070,97,11401,12227,158.12,ok,112,0,0.024556941905745866
1,output_aware_bfd_512_v2_20260726,formal,2,889,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,25,1785004239.8640127,snapshot,NVIDIA GeForce RTX 5070,97,11394,12227,155.94,ok,111,0,0.015894460780418007
1,output_aware_bfd_512_v2_20260726,formal,2,889,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,26,1785004240.21828,snapshot,NVIDIA GeForce RTX 5070,97,11394,12227,155.94,ok,128,0,0.015258682349201358
1,output_aware_bfd_512_v2_20260726,formal,2,889,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,27,1785004240.535756,snapshot,NVIDIA GeForce RTX 5070,96,11390,12227,155.66,ok,49,0,0.004370976714614949
1,output_aware_bfd_512_v2_20260726,formal,2,889,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,28,1785004240.8568473,snapshot,NVIDIA GeForce RTX 5070,96,11389,12227,153.47,ok,0,0,0.0
