schema_version,experiment_id,phase,repeat_index,job_id,server_version,pgvector_version,sample_index,sample_epoch_s,gpu_metrics_status,gpu_name,gpu_utilization_pct,gpu_memory_used_mib,gpu_memory_total_mib,gpu_power_w,vllm_metrics_status,vllm_num_requests_running,vllm_num_requests_waiting,vllm_kv_cache_usage_perc
1,output_aware_bfd_gate_20260726,warmup,1,831,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,0,1785001652.698606,snapshot,NVIDIA GeForce RTX 5070,8,10918,12227,43.89,ok,0,0,0.0
1,output_aware_bfd_gate_20260726,warmup,1,831,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,1,1785001653.0169523,snapshot,NVIDIA GeForce RTX 5070,8,10918,12227,43.79,ok,0,0,0.0
1,output_aware_bfd_gate_20260726,warmup,1,831,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,2,1785001653.362543,snapshot,NVIDIA GeForce RTX 5070,8,10917,12227,43.79,ok,0,0,0.0
1,output_aware_bfd_gate_20260726,warmup,1,831,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,3,1785001653.6787422,snapshot,NVIDIA GeForce RTX 5070,8,10917,12227,43.73,ok,0,0,0.0
1,output_aware_bfd_gate_20260726,warmup,1,831,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,4,1785001654.0133088,snapshot,NVIDIA GeForce RTX 5070,8,10924,12227,43.56,ok,0,0,0.0
1,output_aware_bfd_gate_20260726,warmup,1,831,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,5,1785001654.3354464,snapshot,NVIDIA GeForce RTX 5070,8,10924,12227,43.56,ok,0,0,0.0
1,output_aware_bfd_gate_20260726,warmup,1,831,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,6,1785001654.6587524,snapshot,NVIDIA GeForce RTX 5070,8,10917,12227,43.49,ok,0,0,0.0
1,output_aware_bfd_gate_20260726,warmup,1,831,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,7,1785001654.9843717,snapshot,NVIDIA GeForce RTX 5070,8,10917,12227,43.54,ok,0,0,0.0
1,output_aware_bfd_gate_20260726,warmup,1,831,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,8,1785001655.331566,snapshot,NVIDIA GeForce RTX 5070,8,10917,12227,43.54,ok,0,0,0.0
1,output_aware_bfd_gate_20260726,warmup,1,831,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,9,1785001655.650937,snapshot,NVIDIA GeForce RTX 5070,8,10917,12227,43.72,ok,0,0,0.0
1,output_aware_bfd_gate_20260726,warmup,1,831,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,10,1785001655.9961874,snapshot,NVIDIA GeForce RTX 5070,8,10918,12227,43.72,ok,0,0,0.0
1,output_aware_bfd_gate_20260726,warmup,1,831,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,11,1785001656.3386922,snapshot,NVIDIA GeForce RTX 5070,8,10918,12227,43.80,ok,0,0,0.0
1,output_aware_bfd_gate_20260726,warmup,1,831,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,12,1785001656.65554,snapshot,NVIDIA GeForce RTX 5070,8,10918,12227,43.58,ok,0,0,0.0
1,output_aware_bfd_gate_20260726,warmup,1,831,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,13,1785001656.9815564,snapshot,NVIDIA GeForce RTX 5070,7,10918,12227,43.22,ok,0,0,0.0
1,output_aware_bfd_gate_20260726,warmup,1,831,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,14,1785001657.3281462,snapshot,NVIDIA GeForce RTX 5070,7,10918,12227,43.22,ok,0,0,0.0
