schema_version,experiment_id,phase,repeat_index,scenario_id,random_seed,job_id,server_version,pgvector_version,request_index,request_id,submission_id,doc_id,pool_id,endpoint_id,gpu_id,prompt_tokens,estimated_output_tokens,client_estimated_output_tokens,actual_output_tokens,output_token_source,total_tokens,prefix_key,status,error_type,arrival_epoch_s,flush_epoch_s,submit_epoch_s,service_start_epoch_s,completion_epoch_s,buffer_s,submit_to_service_s,service_s,service_clock_domain,e2e_s,request_time_origin,latency_granularity,slo_target_s,slo_met
2,output_aware_bfd_gate_20260726,warmup,1,bfd_prompt,20260726,834,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,0,834:row:1000030,834:batch:0,1000030,default,task-0,0,1193,0,9,,submission_aggregate_unavailable,,f443e148563810fc,completed,,1785001760.3031342,1785001760.8995793,1785001760.906664,1785001762.838642,1785001763.6816845,0.5964450836181641,1.9319779872894287,0.840740442276001,backend,3.3785502910614014,offline_job_start,submission,10.0,True
2,output_aware_bfd_gate_20260726,warmup,1,bfd_prompt,20260726,834,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,1,834:row:1000032,834:batch:0,1000032,default,task-0,0,1167,0,8,,submission_aggregate_unavailable,,979135a555bdcfe6,completed,,1785001760.3031342,1785001760.8995793,1785001760.906664,1785001762.838642,1785001763.6816845,0.5964450836181641,1.9319779872894287,0.840740442276001,backend,3.3785502910614014,offline_job_start,submission,10.0,True
2,output_aware_bfd_gate_20260726,warmup,1,bfd_prompt,20260726,834,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,2,834:row:1000028,834:batch:0,1000028,default,task-0,0,1075,0,14,,submission_aggregate_unavailable,,a5fc7dd49f369bf6,completed,,1785001760.3031342,1785001760.8995793,1785001760.906664,1785001762.838642,1785001763.6816845,0.5964450836181641,1.9319779872894287,0.840740442276001,backend,3.3785502910614014,offline_job_start,submission,10.0,True
2,output_aware_bfd_gate_20260726,warmup,1,bfd_prompt,20260726,834,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,3,834:row:1000033,834:batch:0,1000033,default,task-0,0,1059,0,9,,submission_aggregate_unavailable,,625b4a6a35f5d591,completed,,1785001760.3031342,1785001760.8995793,1785001760.906664,1785001762.838642,1785001763.6816845,0.5964450836181641,1.9319779872894287,0.840740442276001,backend,3.3785502910614014,offline_job_start,submission,10.0,True
2,output_aware_bfd_gate_20260726,warmup,1,bfd_prompt,20260726,834,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,4,834:row:1000025,834:batch:0,1000025,default,task-0,0,1056,0,13,,submission_aggregate_unavailable,,d1dbc0b7639007cf,completed,,1785001760.3031342,1785001760.8995793,1785001760.906664,1785001762.838642,1785001763.6816845,0.5964450836181641,1.9319779872894287,0.840740442276001,backend,3.3785502910614014,offline_job_start,submission,10.0,True
2,output_aware_bfd_gate_20260726,warmup,1,bfd_prompt,20260726,834,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,5,834:row:1000059,834:batch:0,1000059,default,task-0,0,415,0,11,,submission_aggregate_unavailable,,141631d309bfd479,completed,,1785001760.3031342,1785001760.8995793,1785001760.906664,1785001762.838642,1785001763.6816845,0.5964450836181641,1.9319779872894287,0.840740442276001,backend,3.3785502910614014,offline_job_start,submission,10.0,True
2,output_aware_bfd_gate_20260726,warmup,1,bfd_prompt,20260726,834,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,6,834:row:1000045,834:batch:0,1000045,default,task-0,0,133,0,14,,submission_aggregate_unavailable,,1d6d26469e433edc,completed,,1785001760.3031342,1785001760.8995793,1785001760.906664,1785001762.838642,1785001763.6816845,0.5964450836181641,1.9319779872894287,0.840740442276001,backend,3.3785502910614014,offline_job_start,submission,10.0,True
2,output_aware_bfd_gate_20260726,warmup,1,bfd_prompt,20260726,834,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,7,834:row:1000021,834:batch:0,1000021,default,task-0,0,46,0,15,,submission_aggregate_unavailable,,3a79beead1bfbd34,completed,,1785001760.3031342,1785001760.8995793,1785001760.906664,1785001762.838642,1785001763.6816845,0.5964450836181641,1.9319779872894287,0.840740442276001,backend,3.3785502910614014,offline_job_start,submission,10.0,True
2,output_aware_bfd_gate_20260726,warmup,1,bfd_prompt,20260726,834,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,8,834:row:1000031,834:batch:1,1000031,default,task-0,0,1056,0,9,,submission_aggregate_unavailable,,e5b4d0d782054b9e,completed,,1785001760.3031342,1785001760.8995793,1785001760.9071558,1785001762.8599703,1785001763.7099857,0.5964450836181641,1.9528145790100098,0.8479094505310059,backend,3.4068515300750732,offline_job_start,submission,10.0,True
2,output_aware_bfd_gate_20260726,warmup,1,bfd_prompt,20260726,834,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,9,834:row:1000044,834:batch:1,1000044,default,task-0,0,412,0,11,,submission_aggregate_unavailable,,9769f8fd7fefcaa2,completed,,1785001760.3031342,1785001760.8995793,1785001760.9071558,1785001762.8599703,1785001763.7099857,0.5964450836181641,1.9528145790100098,0.8479094505310059,backend,3.4068515300750732,offline_job_start,submission,10.0,True
