schema_version,experiment_id,phase,repeat_index,job_id,server_version,pgvector_version,sample_index,sample_epoch_s,gpu_metrics_status,gpu_name,gpu_utilization_pct,gpu_memory_used_mib,gpu_memory_total_mib,gpu_power_w,vllm_metrics_status,vllm_num_requests_running,vllm_num_requests_waiting,vllm_kv_cache_usage_perc
1,output_aware_bfd_gate_20260726,warmup,1,835,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,0,1785001773.0561028,snapshot,NVIDIA GeForce RTX 5070,7,11067,12227,43.17,ok,0,0,0.0
1,output_aware_bfd_gate_20260726,warmup,1,835,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,1,1785001773.3778276,snapshot,NVIDIA GeForce RTX 5070,7,11067,12227,43.17,ok,0,0,0.0
1,output_aware_bfd_gate_20260726,warmup,1,835,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,2,1785001773.7008007,snapshot,NVIDIA GeForce RTX 5070,7,11067,12227,43.10,ok,0,0,0.0
1,output_aware_bfd_gate_20260726,warmup,1,835,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,3,1785001774.0293896,snapshot,NVIDIA GeForce RTX 5070,7,11067,12227,42.95,ok,0,0,0.0
1,output_aware_bfd_gate_20260726,warmup,1,835,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,4,1785001774.3518646,snapshot,NVIDIA GeForce RTX 5070,7,11067,12227,42.95,ok,0,0,0.0
1,output_aware_bfd_gate_20260726,warmup,1,835,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,5,1785001774.6972167,snapshot,NVIDIA GeForce RTX 5070,7,10948,12227,42.98,ok,0,0,0.0
1,output_aware_bfd_gate_20260726,warmup,1,835,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,6,1785001775.0397522,snapshot,NVIDIA GeForce RTX 5070,8,10937,12227,42.98,ok,0,0,0.0
1,output_aware_bfd_gate_20260726,warmup,1,835,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,7,1785001775.363709,snapshot,NVIDIA GeForce RTX 5070,8,10922,12227,42.98,ok,0,0,0.0
1,output_aware_bfd_gate_20260726,warmup,1,835,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,8,1785001775.685702,snapshot,NVIDIA GeForce RTX 5070,8,10928,12227,42.88,ok,5,59,0.026464277199396036
1,output_aware_bfd_gate_20260726,warmup,1,835,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,9,1785001776.032712,snapshot,NVIDIA GeForce RTX 5070,98,10928,12227,96.08,ok,64,0,0.05356433283000872
1,output_aware_bfd_gate_20260726,warmup,1,835,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,10,1785001776.3499405,snapshot,NVIDIA GeForce RTX 5070,98,10928,12227,96.08,ok,0,0,0.0
