schema_version,experiment_id,phase,repeat_index,job_id,server_version,pgvector_version,sample_index,sample_epoch_s,gpu_metrics_status,gpu_name,gpu_utilization_pct,gpu_memory_used_mib,gpu_memory_total_mib,gpu_power_w,vllm_metrics_status,vllm_num_requests_running,vllm_num_requests_waiting,vllm_kv_cache_usage_perc
1,output_aware_bfd_gate_20260726,formal,1,839,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,0,1785001823.316633,snapshot,NVIDIA GeForce RTX 5070,7,10914,12227,43.65,ok,0,0,0.0
1,output_aware_bfd_gate_20260726,formal,1,839,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,1,1785001823.6354961,snapshot,NVIDIA GeForce RTX 5070,7,10914,12227,43.55,ok,0,0,0.0
1,output_aware_bfd_gate_20260726,formal,1,839,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,2,1785001823.9611008,snapshot,NVIDIA GeForce RTX 5070,7,10914,12227,43.55,ok,0,0,0.0
1,output_aware_bfd_gate_20260726,formal,1,839,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,3,1785001824.2872274,snapshot,NVIDIA GeForce RTX 5070,7,10907,12227,43.57,ok,0,0,0.0
1,output_aware_bfd_gate_20260726,formal,1,839,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,4,1785001824.6085887,snapshot,NVIDIA GeForce RTX 5070,7,10907,12227,43.58,ok,0,0,0.0
1,output_aware_bfd_gate_20260726,formal,1,839,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,5,1785001824.954916,snapshot,NVIDIA GeForce RTX 5070,7,10914,12227,43.58,ok,0,0,0.0
1,output_aware_bfd_gate_20260726,formal,1,839,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,6,1785001825.27626,snapshot,NVIDIA GeForce RTX 5070,7,10914,12227,43.70,ok,0,0,0.0
1,output_aware_bfd_gate_20260726,formal,1,839,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,7,1785001825.6014447,snapshot,NVIDIA GeForce RTX 5070,7,10907,12227,43.72,ok,0,0,0.0
1,output_aware_bfd_gate_20260726,formal,1,839,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,8,1785001825.9268873,snapshot,NVIDIA GeForce RTX 5070,7,10920,12227,43.72,ok,5,59,0.026464277199396036
1,output_aware_bfd_gate_20260726,formal,1,839,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,9,1785001826.2761333,snapshot,NVIDIA GeForce RTX 5070,40,10920,12227,61.87,ok,21,43,0.04752443773344994
1,output_aware_bfd_gate_20260726,formal,1,839,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,10,1785001826.615121,snapshot,NVIDIA GeForce RTX 5070,40,10920,12227,111.78,ok,0,0,0.0
