status,experiment_id,phase,repeat_index,scenario_id,random_seed,server_version,pgvector_version,gpu_metrics_status,gpu_name,gpu_utilization_pct,gpu_memory_used_mib,gpu_memory_total_mib,gpu_power_w,database_trigger,job_id,operator,seed_workload,executor,strategy,data_source,source_workload_name,source_order,organizer,organizer_partition_mode,organizer_partitions,daft_runner,organizer_partition_effective,model_backend,model_endpoint_url,model_name,model_request_timeout_s,total_rows,written_rows,db_fetch_rows,ray_batch_rows,batching_policy,token_budget,embedding_dim,embedding_vector_dim,completion_max_tokens,output_cost_mode,output_cost_source,packing_cost_unit,cost_model_id,cost_tokenizer_id,packing_algorithm,packing_scope,packing_budget_utilization_mean,packing_budget_utilization_p95,packing_oversized_rows,packing_input_rows,packing_batch_count,batch_estimated_cost_units_p50,batch_estimated_cost_units_p95,batch_estimated_cost_units_p99,batch_estimated_cost_units_max,model_workers,max_inflight_limit,endpoint_routing,pool_routing,endpoint_pool_ids,endpoint_gpu_ids,long_request_token_threshold,scheduling_policy,adaptive_min_inflight,adaptive_max_inflight,controller_min_window,controller_max_window,adaptive_sample_interval_s,adaptive_downshifts,adaptive_upshifts,adaptive_limit_mean,control_trace_path,control_trace_events,arrival_replay,arrival_time_scale,arrival_replay_preload,flush_policy,flush_timeout_ms,flush_max_wait_ms,flush_trace_output,flush_trace_path,flush_trace_events,submission_trace_path,submission_trace_events,resource_trace_path,resource_trace_events,resource_sample_interval_s,resource_metrics_status,gpu_utilization_pct_mean,gpu_utilization_pct_p50,gpu_utilization_pct_p95,gpu_utilization_pct_max,gpu_utilization_below_10pct_ratio,gpu_memory_used_mib_mean,gpu_memory_used_mib_max,gpu_memory_utilization_pct_mean,gpu_memory_utilization_pct_max,gpu_power_w_mean,gpu_power_w_max,gpu_energy_j,energy_j_per_1k_observed_tokens,vllm_running_mean,vllm_running_p50,vllm_running_p95,vllm_running_max,vllm_waiting_mean,vllm_waiting_p50,vllm_waiting_p95,vllm_waiting_max,vllm_kv_cache_usage_mean,vllm_kv_cache_usage_p50,vllm_kv_cache_usage_p95,vllm_kv_cache_usage_max,mfu_estimation_method,mfu_time_basis,model_flops_per_token,gpu_peak_tflops,mfu_precision,mfu_status,mfu_estimate,request_trace_path,request_trace_events,request_e2e_s_p50,request_e2e_s_p95,request_e2e_s_p99,request_slo_target_ms,request_slo_violation_ratio,request_slo_goodput_per_s,latency_granularity,writeback_mode,write_batch_rows,object_count,operator_invocations,max_inflight_seen,token_count,batch_rows_min,batch_rows_max,batch_rows_mean,batch_tokens_min,batch_tokens_max,batch_tokens_mean,batch_tokens_p50,batch_tokens_p95,batch_service_s_p50,batch_service_s_p95,batch_service_s_p99,vllm_metrics_status,vllm_prompt_tokens_delta,vllm_generation_tokens_delta,vllm_request_success_delta,vllm_estimated_flops_per_gpu_delta,vllm_e2e_request_latency_mean_s,vllm_request_queue_time_mean_s,vllm_request_inference_time_mean_s,vllm_request_prefill_time_mean_s,vllm_request_decode_time_mean_s,vllm_num_requests_running_after,vllm_num_requests_waiting_after,vllm_kv_cache_usage_perc_after,db_fetch_s,arrow_build_s,source_fetch_s,organizer_from_arrow_s,organizer_plan_s,organizer_collect_s,organization_policy_family,batch_prompt_token_spread_mean,prefix_group_ratio,organizer_warnings,model_service_s,model_request_wall_s,operator_wall_s,submit_s,bounded_wait_s,avg_bounded_wait_s,fanin_s,writeback_s,e2e_s,rows_per_s,tokens_per_s
ok,output_aware_bfd_gate_v2_20260726,warmup,1,seq_prompt,20260726,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,snapshot,NVIDIA GeForce RTX 5070,8,10264,12227,43.90,job_table,865,ai_complete,synthetic,ray_task,coalesced,daft_postgres,sharegpt_burstgpt,doc_id,daft,none,0,native,true,compatible_http,http://localhost:8000/v1/completions,qwen2.5-1.5b,180.0,64,0,64,16,token_budget,6144,128,128,16,prompt_only,configured_zero,tokens,qwen2.5-1.5b,qwen2.5-1.5b,sequential,organizer_input,0.41512,0.814453,0,64,4,1145.0,5004.0,5004.0,5004,2,8,round_robin,none,default,0,0,static,0,0,0,0,0,0,0,8.0,,0,False,1.0,,immediate,25.0,50.0,experiments\results\output_aware_bfd_gate_v2_20260726\000_warmup_1_seq_prompt.flush.csv,,0,experiments\results\output_aware_bfd_gate_v2_20260726\000_warmup_1_seq_prompt.submissions.csv,4,experiments\results\output_aware_bfd_gate_v2_20260726\000_warmup_1_seq_prompt.resources.csv,227,0.25,ok,9.20704845814978,8.0,9.0,98.0,0.986784140969163,10275.374449339208,10310.0,84.0383941223457,84.32158338104195,44.50718061674009,109.94,3348.6089775908,298.2904843747372,38.28193832599119,64.0,64.0,64.0,0.06167400881057269,0.0,0.0,14.0,0.03242119900950203,0.05420011126122548,0.05420011126122548,0.05420011126122548,vllm_estimated_flops_per_gpu_delta,operator_wall_s,0.0,61.7,bf16_dense_fp32_accumulate,ok,0.0067372633403907,experiments\results\output_aware_bfd_gate_v2_20260726\000_warmup_1_seq_prompt.requests.csv,64,75.328591,75.352157,75.352157,10000.0,1.0,0.0,submission,none,0,4,4,4,11226,16,16,16.0,957,5260,2806.5,1401.0,5260.0,72.9291,72.977615,72.977615,ok,10202,1024,64,31053423550464.0,72.924895,0.171495,45.931348,2.045458,43.885891,0,0,0.0,0.437509,0.0,0.437509,0.000783,2.1e-05,0.001266,none,755.5,0.0625,,291.790951,73.002417,74.703474,0.006349,0.0,0.0,0.001033,1.2e-05,75.582039,0.847,148.527
ok,output_aware_bfd_gate_v2_20260726,warmup,1,seq_fixed,20260726,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,snapshot,NVIDIA GeForce RTX 5070,8,10273,12227,43.70,job_table,866,ai_complete,synthetic,ray_task,coalesced,daft_postgres,sharegpt_burstgpt,doc_id,daft,none,0,native,true,compatible_http,http://localhost:8000/v1/completions,qwen2.5-1.5b,180.0,64,0,64,16,token_budget,6144,128,128,16,fixed_output_cap,backend_completion_cap,tokens,qwen2.5-1.5b,qwen2.5-1.5b,sequential,organizer_input,0.456787,0.85612,0,64,4,1401.0,5260.0,5260.0,5260,2,8,round_robin,none,default,0,0,static,0,0,0,0,0,0,0,8.0,,0,False,1.0,,immediate,25.0,50.0,experiments\results\output_aware_bfd_gate_v2_20260726\001_warmup_1_seq_fixed.flush.csv,,0,experiments\results\output_aware_bfd_gate_v2_20260726\001_warmup_1_seq_fixed.submissions.csv,4,experiments\results\output_aware_bfd_gate_v2_20260726\001_warmup_1_seq_fixed.resources.csv,10,0.25,ok,8.9,9.0,9.0,9.0,1.0,10281.5,10291.0,84.08849268013412,84.16618958043674,46.973,71.41,137.58907957315444,12.256287152427795,10.9,0.0,64.0,64.0,1.9,0.0,19.0,19.0,0.008996264801716603,0.0,0.05427958356512752,0.05427958356512752,vllm_estimated_flops_per_gpu_delta,operator_wall_s,0.0,61.7,bf16_dense_fp32_accumulate,ok,0.1895937371194165,experiments\results\output_aware_bfd_gate_v2_20260726\001_warmup_1_seq_fixed.requests.csv,64,3.287067,3.297892,3.297892,10000.0,0.0,19.05538,submission,none,0,4,4,4,11226,16,16,16.0,957,5260,2806.5,1401.0,5260.0,0.861529,0.868642,0.868642,ok,10202,1024,64,31043377201152.0,0.841227,0.138103,0.674735,0.176771,0.497965,0,0,0.0,0.448136,0.0,0.448136,0.000997,2.2e-05,0.00162,none,755.5,0.0625,,3.426587,0.887417,2.653749,0.007422,0.0,0.0,0.000786,9e-06,3.358632,19.055,3342.433
ok,output_aware_bfd_gate_v2_20260726,warmup,1,seq_trace,20260726,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,snapshot,NVIDIA GeForce RTX 5070,9,10279,12227,44.33,job_table,867,ai_complete,synthetic,ray_task,coalesced,daft_postgres,sharegpt_burstgpt,doc_id,daft,none,0,native,true,compatible_http,http://localhost:8000/v1/completions,qwen2.5-1.5b,180.0,64,0,64,16,token_budget,6144,128,128,16,trace_target_output,burstgpt_unpaired_trace_metadata,tokens,qwen2.5-1.5b,qwen2.5-1.5b,sequential,organizer_input,0.80721,0.983073,0,64,6,5646.0,6040.0,6040.0,6040,2,8,round_robin,none,default,0,0,static,0,0,0,0,0,0,0,8.0,,0,False,1.0,,immediate,25.0,50.0,experiments\results\output_aware_bfd_gate_v2_20260726\002_warmup_1_seq_trace.flush.csv,,0,experiments\results\output_aware_bfd_gate_v2_20260726\002_warmup_1_seq_trace.submissions.csv,6,experiments\results\output_aware_bfd_gate_v2_20260726\002_warmup_1_seq_trace.resources.csv,11,0.25,ok,9.272727272727273,10.0,10.0,10.0,0.18181818181818182,10281.0,10296.0,84.08440336959188,84.20708268585916,47.471818181818186,81.56,152.87694064974784,13.618113366270073,11.181818181818182,0.0,64.0,64.0,2.909090909090909,0.0,31.0,31.0,0.009095966419339225,0.0,0.05515377890805051,0.05515377890805051,vllm_estimated_flops_per_gpu_delta,operator_wall_s,0.0,61.7,bf16_dense_fp32_accumulate,ok,0.17036020008055416,experiments\results\output_aware_bfd_gate_v2_20260726\002_warmup_1_seq_trace.requests.csv,64,3.58186,3.5968,3.5968,10000.0,0.0,17.480049,submission,none,0,6,6,6,11226,3,16,10.666667,110,3453,1871.0,1662.0,3453.0,0.852432,0.87003,0.87003,ok,10202,1024,64,31007626199040.0,0.843177,0.112315,0.674872,0.194615,0.480257,0,0,0.0,0.448408,0.0,0.448408,0.00091,2.9e-05,0.001532,none,681.833,0.09375,,5.115662,0.921382,2.949954,0.008155,0.0,0.0,0.001446,1.1e-05,3.661317,17.48,3066.11
ok,output_aware_bfd_gate_v2_20260726,warmup,1,bfd_prompt,20260726,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,snapshot,NVIDIA GeForce RTX 5070,11,10191,12227,44.51,job_table,868,ai_complete,synthetic,ray_task,coalesced,daft_postgres,sharegpt_burstgpt,doc_id,daft,none,0,native,true,compatible_http,http://localhost:8000/v1/completions,qwen2.5-1.5b,180.0,64,0,64,16,best_fit_token_budget,6144,128,128,16,prompt_only,configured_zero,tokens,qwen2.5-1.5b,qwen2.5-1.5b,best_fit_decreasing,organizer_input,0.332096,1.0,0,64,5,432.0,6144.0,6144.0,6144,2,8,round_robin,none,default,0,0,static,0,0,0,0,0,0,0,8.0,,0,False,1.0,,immediate,25.0,50.0,experiments\results\output_aware_bfd_gate_v2_20260726\003_warmup_1_bfd_prompt.flush.csv,,0,experiments\results\output_aware_bfd_gate_v2_20260726\003_warmup_1_bfd_prompt.submissions.csv,5,experiments\results\output_aware_bfd_gate_v2_20260726\003_warmup_1_bfd_prompt.resources.csv,10,0.25,ok,14.1,8.0,69.0,69.0,0.9,10276.3,10286.0,84.0459638504948,84.12529647501431,46.042,66.91,134.27242941617968,11.960843525403499,9.8,0.0,64.0,64.0,3.0,0.0,30.0,30.0,0.008686322816498459,0.0,0.05467694508463805,0.05467694508463805,vllm_estimated_flops_per_gpu_delta,operator_wall_s,0.0,61.7,bf16_dense_fp32_accumulate,ok,0.18862319690656318,experiments\results\output_aware_bfd_gate_v2_20260726\003_warmup_1_bfd_prompt.requests.csv,64,3.23386,3.270853,3.270853,10000.0,0.0,19.046171,submission,none,0,5,5,5,11226,8,16,12.8,171,6272,2245.2,688.0,6272.0,0.829559,0.875251,0.875251,ok,10202,1024,64,31070757150720.0,0.829159,0.12626,0.645678,0.204825,0.440853,0,0,0.0,0.400657,0.0,0.400657,0.000666,1.7e-05,0.032278,none,439.0,0.078125,,4.203837,0.880268,2.669756,0.007278,0.0,0.0,0.001074,1.7e-05,3.360255,19.046,3340.817
ok,output_aware_bfd_gate_v2_20260726,warmup,1,bfd_fixed,20260726,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,snapshot,NVIDIA GeForce RTX 5070,8,10271,12227,44.35,job_table,869,ai_complete,synthetic,ray_task,coalesced,daft_postgres,sharegpt_burstgpt,doc_id,daft,none,0,native,true,compatible_http,http://localhost:8000/v1/completions,qwen2.5-1.5b,180.0,64,0,64,16,best_fit_token_budget,6144,128,128,16,fixed_output_cap,backend_completion_cap,tokens,qwen2.5-1.5b,qwen2.5-1.5b,best_fit_decreasing,organizer_input,0.36543,0.999186,0,64,5,714.0,6139.0,6139.0,6139,2,8,round_robin,none,default,0,0,static,0,0,0,0,0,0,0,8.0,,0,False,1.0,,immediate,25.0,50.0,experiments\results\output_aware_bfd_gate_v2_20260726\004_warmup_1_bfd_fixed.flush.csv,,0,experiments\results\output_aware_bfd_gate_v2_20260726\004_warmup_1_bfd_fixed.submissions.csv,5,experiments\results\output_aware_bfd_gate_v2_20260726\004_warmup_1_bfd_fixed.resources.csv,11,0.25,ok,16.0,9.0,98.0,98.0,0.9090909090909091,10279.636363636364,10287.0,84.07325070447668,84.13347509609879,52.08,119.13,162.56490929365157,14.48110718810365,6.181818181818182,0.0,64.0,64.0,0.2727272727272727,0.0,3.0,3.0,0.006711797302276526,0.0,0.05332591591830249,0.05332591591830249,vllm_estimated_flops_per_gpu_delta,operator_wall_s,0.0,61.7,bf16_dense_fp32_accumulate,ok,0.18401845516329104,experiments\results\output_aware_bfd_gate_v2_20260726\004_warmup_1_bfd_fixed.requests.csv,64,3.403566,3.40372,3.40372,10000.0,0.0,18.439644,submission,none,0,5,5,5,11226,7,16,12.8,195,6139,2245.2,714.0,6139.0,0.761094,0.821236,0.821236,ok,10202,1024,64,31034119127040.0,0.745594,0.203568,0.514609,0.238756,0.275854,0,0,0.0,0.449903,0.0,0.449903,0.00086,2.2e-05,0.035697,none,436.4,0.078125,,3.834097,0.852145,2.733335,0.007562,0.0,0.0,0.000684,1.2e-05,3.470783,18.44,3234.429
ok,output_aware_bfd_gate_v2_20260726,warmup,1,bfd_trace,20260726,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,snapshot,NVIDIA GeForce RTX 5070,9,10271,12227,44.45,job_table,870,ai_complete,synthetic,ray_task,coalesced,daft_postgres,sharegpt_burstgpt,doc_id,daft,none,0,native,true,compatible_http,http://localhost:8000/v1/completions,qwen2.5-1.5b,180.0,64,0,64,16,best_fit_token_budget,6144,128,128,16,trace_target_output,burstgpt_unpaired_trace_metadata,tokens,qwen2.5-1.5b,qwen2.5-1.5b,best_fit_decreasing,organizer_input,0.80721,0.999023,0,64,6,6105.0,6138.0,6138.0,6138,2,8,round_robin,none,default,0,0,static,0,0,0,0,0,0,0,8.0,,0,False,1.0,,immediate,25.0,50.0,experiments\results\output_aware_bfd_gate_v2_20260726\005_warmup_1_bfd_trace.flush.csv,,0,experiments\results\output_aware_bfd_gate_v2_20260726\005_warmup_1_bfd_trace.submissions.csv,6,experiments\results\output_aware_bfd_gate_v2_20260726\005_warmup_1_bfd_trace.resources.csv,11,0.25,ok,8.181818181818182,8.0,9.0,9.0,1.0,10276.90909090909,10285.0,84.05094537424627,84.11711785392983,48.61181818181818,94.89,153.46912100672722,13.670864155240265,11.727272727272727,0.0,64.0,64.0,0.5454545454545454,0.0,6.0,6.0,0.010468669850375322,0.0,0.05324644361440034,0.05324644361440034,vllm_estimated_flops_per_gpu_delta,operator_wall_s,0.0,61.7,bf16_dense_fp32_accumulate,ok,0.18126324517784143,experiments\results\output_aware_bfd_gate_v2_20260726\005_warmup_1_bfd_trace.requests.csv,64,3.419237,3.419477,3.419477,10000.0,0.0,18.372804,submission,none,0,6,6,6,11226,5,16,10.666667,369,4431,1871.0,1120.0,4431.0,0.772425,0.835571,0.835571,ok,10202,1024,64,31032120287232.0,0.767963,0.199963,0.524744,0.239944,0.2848,0,0,0.0,0.422894,0.0,0.422894,0.000587,1.6e-05,0.037489,none,533.667,0.09375,,4.732496,0.849733,2.774703,0.007477,0.0,0.0,0.000817,1.1e-05,3.483409,18.373,3222.705
ok,output_aware_bfd_gate_v2_20260726,formal,1,seq_fixed,20260726,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,snapshot,NVIDIA GeForce RTX 5070,8,10272,12227,43.86,job_table,871,ai_complete,synthetic,ray_task,coalesced,daft_postgres,sharegpt_burstgpt,doc_id,daft,none,0,native,true,compatible_http,http://localhost:8000/v1/completions,qwen2.5-1.5b,180.0,64,0,64,16,token_budget,6144,128,128,16,fixed_output_cap,backend_completion_cap,tokens,qwen2.5-1.5b,qwen2.5-1.5b,sequential,organizer_input,0.456787,0.85612,0,64,4,1401.0,5260.0,5260.0,5260,2,8,round_robin,none,default,0,0,static,0,0,0,0,0,0,0,8.0,,0,False,1.0,,immediate,25.0,50.0,experiments\results\output_aware_bfd_gate_v2_20260726\006_formal_1_seq_fixed.flush.csv,,0,experiments\results\output_aware_bfd_gate_v2_20260726\006_formal_1_seq_fixed.submissions.csv,4,experiments\results\output_aware_bfd_gate_v2_20260726\006_formal_1_seq_fixed.resources.csv,10,0.25,ok,17.9,9.0,98.0,98.0,0.9,10275.1,10285.0,84.03614950519342,84.11711785392983,48.632,89.42,140.17488419055937,12.486627845230657,13.8,0.0,64.0,64.0,2.2,0.0,19.0,19.0,0.010609552570929038,0.0,0.05555114042756104,0.05555114042756104,vllm_estimated_flops_per_gpu_delta,operator_wall_s,0.0,61.7,bf16_dense_fp32_accumulate,ok,0.19202645929313664,experiments\results\output_aware_bfd_gate_v2_20260726\006_formal_1_seq_fixed.requests.csv,64,3.218182,3.235791,3.235791,10000.0,0.0,19.370417,submission,none,0,4,4,4,11226,16,16,16.0,957,5260,2806.5,1401.0,5260.0,0.803786,0.823667,0.823667,ok,10202,1024,64,31043377201152.0,0.795115,0.062591,0.661871,0.172379,0.489492,0,0,0.0,0.4298,0.0,0.4298,0.000556,2.2e-05,0.000904,none,755.5,0.0625,,3.235307,0.888946,2.620129,0.005953,0.0,0.0,0.001017,1.5e-05,3.304007,19.37,3397.692
ok,output_aware_bfd_gate_v2_20260726,formal,1,bfd_trace,20260726,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,snapshot,NVIDIA GeForce RTX 5070,9,10274,12227,44.34,job_table,872,ai_complete,synthetic,ray_task,coalesced,daft_postgres,sharegpt_burstgpt,doc_id,daft,none,0,native,true,compatible_http,http://localhost:8000/v1/completions,qwen2.5-1.5b,180.0,64,0,64,16,best_fit_token_budget,6144,128,128,16,trace_target_output,burstgpt_unpaired_trace_metadata,tokens,qwen2.5-1.5b,qwen2.5-1.5b,best_fit_decreasing,organizer_input,0.80721,0.999023,0,64,6,6105.0,6138.0,6138.0,6138,2,8,round_robin,none,default,0,0,static,0,0,0,0,0,0,0,8.0,,0,False,1.0,,immediate,25.0,50.0,experiments\results\output_aware_bfd_gate_v2_20260726\007_formal_1_bfd_trace.flush.csv,,0,experiments\results\output_aware_bfd_gate_v2_20260726\007_formal_1_bfd_trace.submissions.csv,6,experiments\results\output_aware_bfd_gate_v2_20260726\007_formal_1_bfd_trace.resources.csv,11,0.25,ok,17.09090909090909,9.0,98.0,98.0,0.9090909090909091,10276.545454545454,10288.0,84.04797133021555,84.14165371718329,49.52818181818182,99.37,160.4261104917526,14.290585292334992,7.454545454545454,0.0,64.0,64.0,4.181818181818182,0.0,46.0,46.0,0.007925556125508432,0.0,0.05483588969244213,0.05483588969244213,vllm_estimated_flops_per_gpu_delta,operator_wall_s,0.0,61.7,bf16_dense_fp32_accumulate,ok,0.17049071515023093,experiments\results\output_aware_bfd_gate_v2_20260726\007_formal_1_bfd_trace.requests.csv,64,3.67367,3.673819,3.673819,10000.0,0.0,17.034657,submission,none,0,6,6,6,11226,5,16,10.666667,369,4431,1871.0,1120.0,4431.0,0.842877,0.854987,0.854987,ok,10202,1024,64,31061616033792.0,0.833092,0.175808,0.563429,0.235994,0.327435,0,0,0.0,0.471557,0.0,0.471557,0.000616,1.8e-05,0.043915,none,533.667,0.09375,,5.050625,0.874512,2.952828,0.008722,0.0,0.0,0.000643,1.5e-05,3.757047,17.035,2987.985
ok,output_aware_bfd_gate_v2_20260726,formal,1,bfd_fixed,20260726,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,snapshot,NVIDIA GeForce RTX 5070,9,10275,12227,44.86,job_table,873,ai_complete,synthetic,ray_task,coalesced,daft_postgres,sharegpt_burstgpt,doc_id,daft,none,0,native,true,compatible_http,http://localhost:8000/v1/completions,qwen2.5-1.5b,180.0,64,0,64,16,best_fit_token_budget,6144,128,128,16,fixed_output_cap,backend_completion_cap,tokens,qwen2.5-1.5b,qwen2.5-1.5b,best_fit_decreasing,organizer_input,0.36543,0.999186,0,64,5,714.0,6139.0,6139.0,6139,2,8,round_robin,none,default,0,0,static,0,0,0,0,0,0,0,8.0,,0,False,1.0,,immediate,25.0,50.0,experiments\results\output_aware_bfd_gate_v2_20260726\008_formal_1_bfd_fixed.flush.csv,,0,experiments\results\output_aware_bfd_gate_v2_20260726\008_formal_1_bfd_fixed.submissions.csv,5,experiments\results\output_aware_bfd_gate_v2_20260726\008_formal_1_bfd_fixed.resources.csv,10,0.25,ok,7.2,8.0,8.0,8.0,1.0,10277.2,10285.0,84.05332460947085,84.11711785392983,48.083,88.37,140.42411876916887,12.508829393298491,7.3,0.0,64.0,64.0,5.5,0.0,55.0,55.0,0.009131367718350158,0.0,0.0545974727807359,0.0545974727807359,vllm_estimated_flops_per_gpu_delta,operator_wall_s,0.0,61.7,bf16_dense_fp32_accumulate,ok,0.19288122320604736,experiments\results\output_aware_bfd_gate_v2_20260726\008_formal_1_bfd_fixed.requests.csv,64,3.285404,3.285571,3.285571,10000.0,0.0,19.064648,submission,none,0,5,5,5,11226,7,16,12.8,195,6139,2245.2,714.0,6139.0,0.794908,0.83529,0.83529,ok,10202,1024,64,31072877420544.0,0.784787,0.244358,0.474908,0.196597,0.278311,0,0,0.0,0.451697,0.0,0.451697,0.000557,1.6e-05,0.036912,none,436.4,0.078125,,3.996569,0.863484,2.610997,0.007258,0.0,0.0,0.00069,1.2e-05,3.356999,19.065,3344.058
ok,output_aware_bfd_gate_v2_20260726,formal,1,seq_trace,20260726,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,snapshot,NVIDIA GeForce RTX 5070,8,10276,12227,43.61,job_table,874,ai_complete,synthetic,ray_task,coalesced,daft_postgres,sharegpt_burstgpt,doc_id,daft,none,0,native,true,compatible_http,http://localhost:8000/v1/completions,qwen2.5-1.5b,180.0,64,0,64,16,token_budget,6144,128,128,16,trace_target_output,burstgpt_unpaired_trace_metadata,tokens,qwen2.5-1.5b,qwen2.5-1.5b,sequential,organizer_input,0.80721,0.983073,0,64,6,5646.0,6040.0,6040.0,6040,2,8,round_robin,none,default,0,0,static,0,0,0,0,0,0,0,8.0,,0,False,1.0,,immediate,25.0,50.0,experiments\results\output_aware_bfd_gate_v2_20260726\009_formal_1_seq_trace.flush.csv,,0,experiments\results\output_aware_bfd_gate_v2_20260726\009_formal_1_seq_trace.submissions.csv,6,experiments\results\output_aware_bfd_gate_v2_20260726\009_formal_1_seq_trace.resources.csv,11,0.25,ok,8.727272727272727,9.0,9.0,9.0,1.0,10275.818181818182,10285.0,84.0420232421541,84.11711785392983,50.31636363636363,104.35,159.63131451010702,14.233732903264112,10.0,0.0,63.0,63.0,2.8181818181818183,0.0,31.0,31.0,0.008539660292024596,0.0,0.05515377890805051,0.05515377890805051,vllm_estimated_flops_per_gpu_delta,operator_wall_s,0.0,61.7,bf16_dense_fp32_accumulate,ok,0.17290961962720913,experiments\results\output_aware_bfd_gate_v2_20260726\009_formal_1_seq_trace.requests.csv,64,3.518665,3.53476,3.53476,10000.0,0.0,17.639025,submission,none,0,6,6,6,11215,3,16,10.666667,110,3453,1869.166667,1662.0,3453.0,0.826618,0.842608,0.842608,ok,10202,1013,64,31036947603456.0,0.803866,0.155157,0.626068,0.171598,0.45447,0,0,0.0,0.453862,0.0,0.453862,0.000589,1.6e-05,0.001061,none,681.833,0.09375,,4.958627,0.882427,2.909207,0.006753,0.0,0.0,0.000949,8e-06,3.628318,17.639,3090.964
