schema_version,experiment_id,phase,repeat_index,job_id,server_version,pgvector_version,sample_index,sample_epoch_s,gpu_metrics_status,gpu_name,gpu_utilization_pct,gpu_memory_used_mib,gpu_memory_total_mib,gpu_power_w,vllm_metrics_status,vllm_num_requests_running,vllm_num_requests_waiting,vllm_kv_cache_usage_perc
1,prefix_aware_batching_screen_v3_512_20260726,formal,1,1121,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,0,1785026199.0208566,snapshot,NVIDIA GeForce RTX 5070,6,11647,12227,42.32,ok,0,0,0.0
1,prefix_aware_batching_screen_v3_512_20260726,formal,1,1121,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,1,1785026199.207208,snapshot,NVIDIA GeForce RTX 5070,6,11647,12227,42.32,ok,0,0,0.0
1,prefix_aware_batching_screen_v3_512_20260726,formal,1,1121,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,2,1785026199.3726108,snapshot,NVIDIA GeForce RTX 5070,6,11647,12227,42.25,ok,0,0,0.0
1,prefix_aware_batching_screen_v3_512_20260726,formal,1,1121,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,3,1785026199.5440862,snapshot,NVIDIA GeForce RTX 5070,6,11647,12227,42.25,ok,0,0,0.0
1,prefix_aware_batching_screen_v3_512_20260726,formal,1,1121,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,4,1785026199.7387357,snapshot,NVIDIA GeForce RTX 5070,6,11647,12227,42.25,ok,0,0,0.0
1,prefix_aware_batching_screen_v3_512_20260726,formal,1,1121,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,5,1785026199.924035,snapshot,NVIDIA GeForce RTX 5070,6,11647,12227,42.23,ok,0,0,0.0
1,prefix_aware_batching_screen_v3_512_20260726,formal,1,1121,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,6,1785026200.1082678,snapshot,NVIDIA GeForce RTX 5070,6,11647,12227,42.23,ok,0,0,0.0
1,prefix_aware_batching_screen_v3_512_20260726,formal,1,1121,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,7,1785026200.279095,snapshot,NVIDIA GeForce RTX 5070,6,11647,12227,42.21,ok,0,0,0.0
1,prefix_aware_batching_screen_v3_512_20260726,formal,1,1121,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,8,1785026200.4651902,snapshot,NVIDIA GeForce RTX 5070,6,11647,12227,42.21,ok,0,0,0.0
1,prefix_aware_batching_screen_v3_512_20260726,formal,1,1121,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,9,1785026200.6531827,snapshot,NVIDIA GeForce RTX 5070,6,11647,12227,42.21,ok,0,0,0.0
1,prefix_aware_batching_screen_v3_512_20260726,formal,1,1121,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,10,1785026200.8222516,snapshot,NVIDIA GeForce RTX 5070,6,11647,12227,42.21,ok,0,0,0.0
1,prefix_aware_batching_screen_v3_512_20260726,formal,1,1121,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,11,1785026201.0278141,snapshot,NVIDIA GeForce RTX 5070,6,11647,12227,42.21,ok,0,0,0.0
1,prefix_aware_batching_screen_v3_512_20260726,formal,1,1121,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,12,1785026201.2082577,snapshot,NVIDIA GeForce RTX 5070,6,11647,12227,42.21,ok,0,0,0.0
1,prefix_aware_batching_screen_v3_512_20260726,formal,1,1121,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,13,1785026201.381444,snapshot,NVIDIA GeForce RTX 5070,6,11647,12227,42.26,ok,0,0,0.0
1,prefix_aware_batching_screen_v3_512_20260726,formal,1,1121,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,14,1785026201.5865068,snapshot,NVIDIA GeForce RTX 5070,6,11647,12227,42.26,ok,0,0,0.0
1,prefix_aware_batching_screen_v3_512_20260726,formal,1,1121,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,15,1785026201.7728982,snapshot,NVIDIA GeForce RTX 5070,6,11647,12227,42.37,ok,0,0,0.0
1,prefix_aware_batching_screen_v3_512_20260726,formal,1,1121,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,16,1785026201.9406312,snapshot,NVIDIA GeForce RTX 5070,6,11647,12227,42.37,ok,0,0,0.0
1,prefix_aware_batching_screen_v3_512_20260726,formal,1,1121,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,17,1785026202.1086295,snapshot,NVIDIA GeForce RTX 5070,6,11647,12227,42.37,ok,32,124,0.031709449256933975
1,prefix_aware_batching_screen_v3_512_20260726,formal,1,1121,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,18,1785026202.2989404,snapshot,NVIDIA GeForce RTX 5070,6,11647,12227,83.13,ok,54,182,0.04275609949932446
1,prefix_aware_batching_screen_v3_512_20260726,formal,1,1121,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,19,1785026202.4664361,snapshot,NVIDIA GeForce RTX 5070,6,11647,12227,83.13,ok,60,175,0.06238575856314077
1,prefix_aware_batching_screen_v3_512_20260726,formal,1,1121,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,20,1785026202.6565163,snapshot,NVIDIA GeForce RTX 5070,6,11647,12227,83.13,ok,76,159,0.0736708257172376
1,prefix_aware_batching_screen_v3_512_20260726,formal,1,1121,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,21,1785026202.842088,snapshot,NVIDIA GeForce RTX 5070,98,11647,12227,139.06,ok,110,125,0.09496940316299773
1,prefix_aware_batching_screen_v3_512_20260726,formal,1,1121,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,22,1785026203.0075197,snapshot,NVIDIA GeForce RTX 5070,98,11647,12227,139.06,ok,121,114,0.10553921958197565
1,prefix_aware_batching_screen_v3_512_20260726,formal,1,1121,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,23,1785026203.1829247,snapshot,NVIDIA GeForce RTX 5070,98,11647,12227,139.06,ok,163,72,0.1273941031550505
1,prefix_aware_batching_screen_v3_512_20260726,formal,1,1121,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,24,1785026203.3657722,snapshot,NVIDIA GeForce RTX 5070,98,11647,12227,154.05,ok,172,62,0.137566558054518
1,prefix_aware_batching_screen_v3_512_20260726,formal,1,1121,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,25,1785026203.558307,snapshot,NVIDIA GeForce RTX 5070,98,11647,12227,154.05,ok,174,60,0.14805690216959388
1,prefix_aware_batching_screen_v3_512_20260726,formal,1,1121,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,26,1785026203.744509,snapshot,NVIDIA GeForce RTX 5070,98,11647,12227,154.05,ok,192,41,0.16864022888023522
1,prefix_aware_batching_screen_v3_512_20260726,formal,1,1121,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,27,1785026203.9318116,snapshot,NVIDIA GeForce RTX 5070,98,11647,12227,152.44,ok,198,34,0.1734085671143606
1,prefix_aware_batching_screen_v3_512_20260726,formal,1,1121,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,28,1785026204.0988703,snapshot,NVIDIA GeForce RTX 5070,98,11647,12227,152.44,ok,188,32,0.1673686720178018
1,prefix_aware_batching_screen_v3_512_20260726,formal,1,1121,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,29,1785026204.267748,snapshot,NVIDIA GeForce RTX 5070,98,11647,12227,151.32,ok,173,9,0.16562028133195583
1,prefix_aware_batching_screen_v3_512_20260726,formal,1,1121,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,30,1785026204.456735,snapshot,NVIDIA GeForce RTX 5070,98,11647,12227,151.32,ok,174,56,0.1695144242231582
1,prefix_aware_batching_screen_v3_512_20260726,formal,1,1121,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,31,1785026204.6191864,snapshot,NVIDIA GeForce RTX 5070,98,11647,12227,151.32,ok,171,54,0.16585869824366206
1,prefix_aware_batching_screen_v3_512_20260726,formal,1,1121,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,32,1785026204.8128905,snapshot,NVIDIA GeForce RTX 5070,98,11647,12227,151.52,ok,149,84,0.1623619168719701
1,prefix_aware_batching_screen_v3_512_20260726,formal,1,1121,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,33,1785026204.9753473,snapshot,NVIDIA GeForce RTX 5070,98,11647,12227,151.52,ok,157,62,0.16411030755781608
1,prefix_aware_batching_screen_v3_512_20260726,formal,1,1121,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,34,1785026205.1504586,snapshot,NVIDIA GeForce RTX 5070,98,11647,12227,151.52,ok,166,44,0.16228244456806806
1,prefix_aware_batching_screen_v3_512_20260726,formal,1,1121,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,35,1785026205.3392286,snapshot,NVIDIA GeForce RTX 5070,98,11647,12227,151.91,ok,159,37,0.16267980608757848
1,prefix_aware_batching_screen_v3_512_20260726,formal,1,1121,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,36,1785026205.5279331,snapshot,NVIDIA GeForce RTX 5070,98,11647,12227,151.91,ok,163,23,0.16196455535245968
1,prefix_aware_batching_screen_v3_512_20260726,formal,1,1121,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,37,1785026205.6942213,snapshot,NVIDIA GeForce RTX 5070,98,11647,12227,151.91,ok,161,60,0.1636334737344035
1,prefix_aware_batching_screen_v3_512_20260726,formal,1,1121,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,38,1785026205.8625643,snapshot,NVIDIA GeForce RTX 5070,98,11647,12227,152.22,ok,176,90,0.1622029722641659
1,prefix_aware_batching_screen_v3_512_20260726,formal,1,1121,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,39,1785026206.0526752,snapshot,NVIDIA GeForce RTX 5070,98,11647,12227,152.22,ok,185,75,0.1632361122148931
1,prefix_aware_batching_screen_v3_512_20260726,formal,1,1121,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,40,1785026206.241601,snapshot,NVIDIA GeForce RTX 5070,98,11647,12227,152.22,ok,193,65,0.1645076690773265
1,prefix_aware_batching_screen_v3_512_20260726,formal,1,1121,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,41,1785026206.409499,snapshot,NVIDIA GeForce RTX 5070,98,11647,12227,152.06,ok,215,68,0.1632361122148931
1,prefix_aware_batching_screen_v3_512_20260726,formal,1,1121,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,42,1785026206.5992527,snapshot,NVIDIA GeForce RTX 5070,98,11647,12227,152.06,ok,228,51,0.16720972740999762
1,prefix_aware_batching_screen_v3_512_20260726,formal,1,1121,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,43,1785026206.7863722,snapshot,NVIDIA GeForce RTX 5070,98,11647,12227,151.50,ok,243,34,0.16713025510609547
1,prefix_aware_batching_screen_v3_512_20260726,formal,1,1121,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,44,1785026206.948299,snapshot,NVIDIA GeForce RTX 5070,98,11647,12227,151.50,ok,248,15,0.1587856631963761
1,prefix_aware_batching_screen_v3_512_20260726,formal,1,1121,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,45,1785026207.1431613,snapshot,NVIDIA GeForce RTX 5070,98,11647,12227,151.50,ok,221,0,0.15067948819836285
