schema_version,experiment_id,phase,repeat_index,job_id,server_version,pgvector_version,sample_index,sample_epoch_s,gpu_metrics_status,gpu_name,gpu_utilization_pct,gpu_memory_used_mib,gpu_memory_total_mib,gpu_power_w,vllm_metrics_status,vllm_num_requests_running,vllm_num_requests_waiting,vllm_kv_cache_usage_perc
1,rc1_dataorg_4ep_1.5b_cacheON,warmup,1,1129,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,0,1785499187.685917,snapshot,NVIDIA GeForce RTX 4090;NVIDIA GeForce RTX 4090,0.0,30112.0,49128.0,129.94,ok,0,0,0.0
1,rc1_dataorg_4ep_1.5b_cacheON,warmup,1,1129,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,1,1785499188.095349,snapshot,NVIDIA GeForce RTX 4090;NVIDIA GeForce RTX 4090,0.0,30112.0,49128.0,129.94,ok,0,0,0.0
1,rc1_dataorg_4ep_1.5b_cacheON,warmup,1,1129,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,2,1785499188.4668982,snapshot,NVIDIA GeForce RTX 4090;NVIDIA GeForce RTX 4090,0.0,30112.0,49128.0,129.43,ok,0,0,0.0
1,rc1_dataorg_4ep_1.5b_cacheON,warmup,1,1129,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,3,1785499188.8006108,snapshot,NVIDIA GeForce RTX 4090;NVIDIA GeForce RTX 4090,0.0,30112.0,49128.0,127.33000000000001,ok,0,0,0.0
1,rc1_dataorg_4ep_1.5b_cacheON,warmup,1,1129,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,4,1785499189.13417,snapshot,NVIDIA GeForce RTX 4090;NVIDIA GeForce RTX 4090,0.0,30112.0,49128.0,127.33000000000001,ok,0,0,0.0
1,rc1_dataorg_4ep_1.5b_cacheON,warmup,1,1129,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,5,1785499189.5106378,snapshot,NVIDIA GeForce RTX 4090;NVIDIA GeForce RTX 4090,0.0,30112.0,49128.0,127.0,ok,0,0,0.0
1,rc1_dataorg_4ep_1.5b_cacheON,warmup,1,1129,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,6,1785499189.8638759,snapshot,NVIDIA GeForce RTX 4090;NVIDIA GeForce RTX 4090,0.0,30112.0,49128.0,125.28,ok,0,0,0.0
1,rc1_dataorg_4ep_1.5b_cacheON,warmup,1,1129,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,7,1785499190.2283032,snapshot,NVIDIA GeForce RTX 4090;NVIDIA GeForce RTX 4090,0.0,30112.0,49128.0,125.28,ok,0,0,0.0
1,rc1_dataorg_4ep_1.5b_cacheON,warmup,1,1129,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,8,1785499190.5951555,snapshot,NVIDIA GeForce RTX 4090;NVIDIA GeForce RTX 4090,0.0,30112.0,49128.0,123.68,ok,0,0,0.0
1,rc1_dataorg_4ep_1.5b_cacheON,warmup,1,1129,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,9,1785499191.0048847,snapshot,NVIDIA GeForce RTX 4090;NVIDIA GeForce RTX 4090,0.0,30112.0,49128.0,123.68,ok,0,0,0.0
