schema_version,experiment_id,phase,repeat_index,job_id,server_version,pgvector_version,sample_index,sample_epoch_s,gpu_metrics_status,gpu_name,gpu_utilization_pct,gpu_memory_used_mib,gpu_memory_total_mib,gpu_power_w,vllm_metrics_status,vllm_num_requests_running,vllm_num_requests_waiting,vllm_kv_cache_usage_perc
1,prefix_cache_routing_2ep_1.5b,warmup,1,1070,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,0,1785468642.1788838,snapshot,NVIDIA GeForce RTX 4090;NVIDIA GeForce RTX 4090,0.0,46798.0,49128.0,48.06,ok,0,0,0.0
1,prefix_cache_routing_2ep_1.5b,warmup,1,1070,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,1,1785468642.5456595,snapshot,NVIDIA GeForce RTX 4090;NVIDIA GeForce RTX 4090,0.0,46798.0,49128.0,48.06,ok,0,0,0.0
1,prefix_cache_routing_2ep_1.5b,warmup,1,1070,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,2,1785468642.9070983,snapshot,NVIDIA GeForce RTX 4090;NVIDIA GeForce RTX 4090,0.0,46798.0,49128.0,47.81,ok,0,0,0.0
1,prefix_cache_routing_2ep_1.5b,warmup,1,1070,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,3,1785468643.2449372,snapshot,NVIDIA GeForce RTX 4090;NVIDIA GeForce RTX 4090,0.0,46798.0,49128.0,47.81,ok,0,0,0.0
1,prefix_cache_routing_2ep_1.5b,warmup,1,1070,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,4,1785468643.5804372,snapshot,NVIDIA GeForce RTX 4090;NVIDIA GeForce RTX 4090,0.0,46798.0,49128.0,47.78,ok,0,0,0.0
1,prefix_cache_routing_2ep_1.5b,warmup,1,1070,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,5,1785468643.8962562,snapshot,NVIDIA GeForce RTX 4090;NVIDIA GeForce RTX 4090,0.0,46798.0,49128.0,47.790000000000006,ok,0,0,0.0
1,prefix_cache_routing_2ep_1.5b,warmup,1,1070,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,6,1785468644.2115166,snapshot,NVIDIA GeForce RTX 4090;NVIDIA GeForce RTX 4090,0.0,46798.0,49128.0,47.790000000000006,ok,0,0,0.0
1,prefix_cache_routing_2ep_1.5b,warmup,1,1070,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,7,1785468644.5516427,snapshot,NVIDIA GeForce RTX 4090;NVIDIA GeForce RTX 4090,0.0,46798.0,49128.0,47.790000000000006,ok,0,0,0.0
1,prefix_cache_routing_2ep_1.5b,warmup,1,1070,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,8,1785468644.9313226,snapshot,NVIDIA GeForce RTX 4090;NVIDIA GeForce RTX 4090,0.0,46798.0,49128.0,47.92,ok,0,0,0.0
1,prefix_cache_routing_2ep_1.5b,warmup,1,1070,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,9,1785468645.2644296,snapshot,NVIDIA GeForce RTX 4090;NVIDIA GeForce RTX 4090,0.0,46798.0,49128.0,47.92,ok,0,0,0.0
