schema_version,experiment_id,phase,repeat_index,scenario_id,random_seed,job_id,server_version,pgvector_version,request_index,request_id,submission_id,doc_id,pool_id,endpoint_id,gpu_id,prompt_tokens,estimated_output_tokens,client_estimated_output_tokens,actual_output_tokens,output_token_source,total_tokens,finish_reason,prefix_key,status,error_type,arrival_epoch_s,flush_epoch_s,submit_epoch_s,service_start_epoch_s,completion_epoch_s,buffer_s,submit_to_service_s,service_s,service_clock_domain,e2e_s,request_time_origin,latency_granularity,slo_target_s,slo_met
3,prefix_routing_2ep_1.5b_util0.45,formal,1,route_least_queued_tb,20260729,1086,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,0,1086:row:300000,1086:request:300000,300000,default,endpoint-0,0,36,252,177,256,endpoint_request,292,length,22dd9145453181ec,completed,,1785477947.5517826,1785477950.3357532,1785477950.5867972,1785477950.5912704,1785477953.342334,2.783970594406128,0.004473209381103516,2.7498559951782227,backend,5.790551424026489,offline_job_start,request,30.0,True
3,prefix_routing_2ep_1.5b_util0.45,formal,1,route_least_queued_tb,20260729,1086,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,1,1086:row:300001,1086:request:300001,300001,default,endpoint-1,1,328,256,195,255,endpoint_request,583,stop,22dd9145453181ec,completed,,1785477947.5517826,1785477950.3357532,1785477950.5903335,1785477950.593852,1785477953.3454423,2.783970594406128,0.0035185813903808594,2.7496862411499023,backend,5.793659687042236,offline_job_start,request,30.0,True
3,prefix_routing_2ep_1.5b_util0.45,formal,1,route_least_queued_tb,20260729,1086,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,2,1086:row:300002,1086:request:300002,300002,default,endpoint-0,0,680,256,200,256,endpoint_request,936,length,22dd9145453181ec,completed,,1785477947.5517826,1785477950.3357532,1785477950.5943332,1785477950.5980544,1785477953.446376,2.783970594406128,0.0037212371826171875,2.7530622482299805,backend,5.8945934772491455,offline_job_start,request,30.0,True
3,prefix_routing_2ep_1.5b_util0.45,formal,1,route_least_queued_tb,20260729,1086,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,3,1086:row:300003,1086:request:300003,300003,default,endpoint-1,1,1001,256,228,256,endpoint_request,1257,length,22dd9145453181ec,completed,,1785477947.5517826,1785477950.3357532,1785477950.5975835,1785477950.6002958,1785477953.3961334,2.783970594406128,0.002712249755859375,2.7886624336242676,backend,5.844350814819336,offline_job_start,request,30.0,True
3,prefix_routing_2ep_1.5b_util0.45,formal,1,route_least_queued_tb,20260729,1086,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,4,1086:row:300004,1086:request:300004,300004,default,endpoint-0,0,19,73,196,256,endpoint_request,275,length,f0653b2a82608a5b,completed,,1785477947.5517826,1785477950.3357532,1785477950.6000881,1785477950.6013722,1785477953.4573324,2.783970594406128,0.0012841224670410156,2.751344919204712,backend,5.905549764633179,offline_job_start,request,30.0,True
3,prefix_routing_2ep_1.5b_util0.45,formal,1,route_least_queued_tb,20260729,1086,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,5,1086:row:300005,1086:request:300005,300005,default,endpoint-1,1,64,256,142,256,endpoint_request,320,length,4517dec760e3df20,completed,,1785477947.5517826,1785477950.3357532,1785477950.6040657,1785477950.6051624,1785477953.3994253,2.783970594406128,0.0010967254638671875,2.783229112625122,backend,5.847642660140991,offline_job_start,request,30.0,True
3,prefix_routing_2ep_1.5b_util0.45,formal,1,route_least_queued_tb,20260729,1086,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,6,1086:row:300006,1086:request:300006,300006,default,endpoint-0,0,92,127,164,256,endpoint_request,348,length,e8092da46cb86f4e,completed,,1785477947.5517826,1785477950.3357532,1785477950.6066391,1785477950.6077275,1785477953.3728929,2.783970594406128,0.0010883808135986328,2.745467185974121,backend,5.821110248565674,offline_job_start,request,30.0,True
3,prefix_routing_2ep_1.5b_util0.45,formal,1,route_least_queued_tb,20260729,1086,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,7,1086:row:300007,1086:request:300007,300007,default,endpoint-1,1,227,256,200,256,endpoint_request,483,length,e8092da46cb86f4e,completed,,1785477947.5517826,1785477950.3357532,1785477950.6091046,1785477950.6101773,1785477953.4434485,2.783970594406128,0.0010726451873779297,2.7741096019744873,backend,5.891665935516357,offline_job_start,request,30.0,True
3,prefix_routing_2ep_1.5b_util0.45,formal,1,route_least_queued_tb,20260729,1086,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,8,1086:row:300008,1086:request:300008,300008,default,endpoint-0,0,518,256,191,256,endpoint_request,774,length,e8092da46cb86f4e,completed,,1785477947.5517826,1785477950.3357532,1785477950.6133676,1785477950.6144583,1785477953.3796387,2.783970594406128,0.0010907649993896484,2.739790439605713,backend,5.827856063842773,offline_job_start,request,30.0,True
3,prefix_routing_2ep_1.5b_util0.45,formal,1,route_least_queued_tb,20260729,1086,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,9,1086:row:300009,1086:request:300009,300009,default,endpoint-1,1,860,256,166,256,endpoint_request,1116,length,e8092da46cb86f4e,completed,,1785477947.5517826,1785477950.3357532,1785477950.6162896,1785477950.6174262,1785477953.4199255,2.783970594406128,0.0011365413665771484,2.7700388431549072,backend,5.86814284324646,offline_job_start,request,30.0,True
3,prefix_routing_2ep_1.5b_util0.45,formal,1,route_least_queued_tb,20260729,1086,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,10,1086:row:300010,1086:request:300010,300010,default,endpoint-0,0,1254,256,164,256,endpoint_request,1510,length,e8092da46cb86f4e,completed,,1785477947.5517826,1785477950.3357532,1785477950.6188402,1785477950.6200683,1785477953.5738978,2.783970594406128,0.0012280941009521484,2.737656593322754,backend,6.022115230560303,offline_job_start,request,30.0,True
