schema_version,experiment_id,phase,repeat_index,job_id,server_version,pgvector_version,sample_index,sample_epoch_s,gpu_metrics_status,gpu_name,gpu_utilization_pct,gpu_memory_used_mib,gpu_memory_total_mib,gpu_power_w,vllm_metrics_status,vllm_num_requests_running,vllm_num_requests_waiting,vllm_kv_cache_usage_perc
1,prefix_cache_routing_4ep_1.5b_hitrate,formal,2,1104,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,0,1785485390.6313133,snapshot,NVIDIA GeForce RTX 4090;NVIDIA GeForce RTX 4090,0.0,28764.0,49128.0,47.97,ok,0,0,0.0
1,prefix_cache_routing_4ep_1.5b_hitrate,formal,2,1104,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,1,1785485391.0271902,snapshot,NVIDIA GeForce RTX 4090;NVIDIA GeForce RTX 4090,0.0,28764.0,49128.0,47.519999999999996,ok,0,0,0.0
1,prefix_cache_routing_4ep_1.5b_hitrate,formal,2,1104,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,2,1785485391.4228332,snapshot,NVIDIA GeForce RTX 4090;NVIDIA GeForce RTX 4090,0.0,28764.0,49128.0,47.519999999999996,ok,0,0,0.0
1,prefix_cache_routing_4ep_1.5b_hitrate,formal,2,1104,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,3,1785485391.759452,snapshot,NVIDIA GeForce RTX 4090;NVIDIA GeForce RTX 4090,0.0,28764.0,49128.0,47.42,ok,0,0,0.0
1,prefix_cache_routing_4ep_1.5b_hitrate,formal,2,1104,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,4,1785485392.1139116,snapshot,NVIDIA GeForce RTX 4090;NVIDIA GeForce RTX 4090,0.0,28764.0,49128.0,47.4,ok,0,0,0.0
1,prefix_cache_routing_4ep_1.5b_hitrate,formal,2,1104,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,5,1785485392.4839792,snapshot,NVIDIA GeForce RTX 4090;NVIDIA GeForce RTX 4090,0.0,28764.0,49128.0,47.4,ok,0,0,0.0
1,prefix_cache_routing_4ep_1.5b_hitrate,formal,2,1104,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,6,1785485392.8591962,snapshot,NVIDIA GeForce RTX 4090;NVIDIA GeForce RTX 4090,0.0,28764.0,49128.0,47.26,ok,0,0,0.0
1,prefix_cache_routing_4ep_1.5b_hitrate,formal,2,1104,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,7,1785485393.3118608,snapshot,NVIDIA GeForce RTX 4090;NVIDIA GeForce RTX 4090,0.0,28764.0,49128.0,47.29,ok,0,0,0.0
1,prefix_cache_routing_4ep_1.5b_hitrate,formal,2,1104,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,8,1785485393.7413542,snapshot,NVIDIA GeForce RTX 4090;NVIDIA GeForce RTX 4090,100.0,28764.0,49128.0,214.11,ok,78,0,0.2933563416738568
1,prefix_cache_routing_4ep_1.5b_hitrate,formal,2,1104,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,9,1785485394.1204453,snapshot,NVIDIA GeForce RTX 4090;NVIDIA GeForce RTX 4090,100.0,28764.0,49128.0,455.88,ok,160,3,0.594909404659189
