schema_version,experiment_id,phase,repeat_index,job_id,server_version,pgvector_version,sample_index,sample_epoch_s,gpu_metrics_status,gpu_name,gpu_utilization_pct,gpu_memory_used_mib,gpu_memory_total_mib,gpu_power_w,vllm_metrics_status,vllm_num_requests_running,vllm_num_requests_waiting,vllm_kv_cache_usage_perc
1,row_cap_aware_packing_1024_nocache_20260726,warmup,1,1014,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,0,1785013541.21324,snapshot,NVIDIA GeForce RTX 5070,6,11649,12227,42.32,ok,0,0,0.0
1,row_cap_aware_packing_1024_nocache_20260726,warmup,1,1014,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,1,1785013541.554954,snapshot,NVIDIA GeForce RTX 5070,6,11649,12227,42.27,ok,0,0,0.0
1,row_cap_aware_packing_1024_nocache_20260726,warmup,1,1014,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,2,1785013541.922702,snapshot,NVIDIA GeForce RTX 5070,6,11649,12227,42.36,ok,0,0,0.0
1,row_cap_aware_packing_1024_nocache_20260726,warmup,1,1014,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,3,1785013542.2690804,snapshot,NVIDIA GeForce RTX 5070,6,11649,12227,42.36,ok,0,0,0.0
1,row_cap_aware_packing_1024_nocache_20260726,warmup,1,1014,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,4,1785013542.6133294,snapshot,NVIDIA GeForce RTX 5070,6,11649,12227,42.35,ok,0,0,0.0
1,row_cap_aware_packing_1024_nocache_20260726,warmup,1,1014,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,5,1785013542.9346635,snapshot,NVIDIA GeForce RTX 5070,6,11649,12227,42.36,ok,0,0,0.0
1,row_cap_aware_packing_1024_nocache_20260726,warmup,1,1014,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,6,1785013543.2633524,snapshot,NVIDIA GeForce RTX 5070,6,11649,12227,42.36,ok,0,0,0.0
1,row_cap_aware_packing_1024_nocache_20260726,warmup,1,1014,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,7,1785013543.6065078,snapshot,NVIDIA GeForce RTX 5070,6,11649,12227,42.36,ok,0,0,0.0
1,row_cap_aware_packing_1024_nocache_20260726,warmup,1,1014,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,8,1785013543.9338055,snapshot,NVIDIA GeForce RTX 5070,6,11649,12227,42.33,ok,0,0,0.0
1,row_cap_aware_packing_1024_nocache_20260726,warmup,1,1014,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,9,1785013544.2767396,snapshot,NVIDIA GeForce RTX 5070,6,11649,12227,42.33,ok,3,1,0.019470714456012117
