schema_version,experiment_id,phase,repeat_index,job_id,server_version,pgvector_version,sample_index,sample_epoch_s,gpu_metrics_status,gpu_name,gpu_utilization_pct,gpu_memory_used_mib,gpu_memory_total_mib,gpu_power_w,vllm_metrics_status,vllm_num_requests_running,vllm_num_requests_waiting,vllm_kv_cache_usage_perc
1,row_cap_aware_packing_512_screen_20260726,formal,1,956,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,0,1785011844.7630517,snapshot,NVIDIA GeForce RTX 5070,6,9853,12227,42.79,ok,0,0,0.0
1,row_cap_aware_packing_512_screen_20260726,formal,1,956,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,1,1785011845.1085887,snapshot,NVIDIA GeForce RTX 5070,6,9853,12227,42.79,ok,0,0,0.0
1,row_cap_aware_packing_512_screen_20260726,formal,1,956,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,2,1785011845.4312818,snapshot,NVIDIA GeForce RTX 5070,6,9853,12227,42.66,ok,0,0,0.0
1,row_cap_aware_packing_512_screen_20260726,formal,1,956,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,3,1785011845.7617612,snapshot,NVIDIA GeForce RTX 5070,6,9853,12227,42.56,ok,0,0,0.0
1,row_cap_aware_packing_512_screen_20260726,formal,1,956,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,4,1785011846.087754,snapshot,NVIDIA GeForce RTX 5070,6,9853,12227,42.56,ok,0,0,0.0
1,row_cap_aware_packing_512_screen_20260726,formal,1,956,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,5,1785011846.4118235,snapshot,NVIDIA GeForce RTX 5070,6,9853,12227,42.59,ok,0,0,0.0
1,row_cap_aware_packing_512_screen_20260726,formal,1,956,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,6,1785011846.7418003,snapshot,NVIDIA GeForce RTX 5070,6,9853,12227,42.58,ok,0,0,0.0
1,row_cap_aware_packing_512_screen_20260726,formal,1,956,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,7,1785011847.063427,snapshot,NVIDIA GeForce RTX 5070,6,9853,12227,42.58,ok,0,0,0.0
1,row_cap_aware_packing_512_screen_20260726,formal,1,956,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,8,1785011847.4059544,snapshot,NVIDIA GeForce RTX 5070,6,9853,12227,42.55,ok,0,0,0.0
1,row_cap_aware_packing_512_screen_20260726,formal,1,956,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,9,1785011847.744193,snapshot,NVIDIA GeForce RTX 5070,6,9853,12227,44.44,ok,0,0,0.0
1,row_cap_aware_packing_512_screen_20260726,formal,1,956,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,10,1785011848.0677614,snapshot,NVIDIA GeForce RTX 5070,6,9853,12227,44.44,ok,10,25,0.05125963601684813
1,row_cap_aware_packing_512_screen_20260726,formal,1,956,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,11,1785011848.4136248,snapshot,NVIDIA GeForce RTX 5070,98,9862,12227,100.49,ok,17,18,0.08209488993085912
1,row_cap_aware_packing_512_screen_20260726,formal,1,956,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,12,1785011848.7337718,snapshot,NVIDIA GeForce RTX 5070,98,9862,12227,155.01,ok,22,13,0.10243979972979411
1,row_cap_aware_packing_512_screen_20260726,formal,1,956,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,13,1785011849.0480733,snapshot,NVIDIA GeForce RTX 5070,98,9862,12227,155.01,ok,29,6,0.1334339982516093
1,row_cap_aware_packing_512_screen_20260726,formal,1,956,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,14,1785011849.3954344,snapshot,NVIDIA GeForce RTX 5070,98,9862,12227,156.16,ok,35,0,0.1623619168719701
1,row_cap_aware_packing_512_screen_20260726,formal,1,956,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,15,1785011849.7350643,snapshot,NVIDIA GeForce RTX 5070,98,9862,12227,155.40,ok,29,0,0.11618850830485572
1,row_cap_aware_packing_512_screen_20260726,formal,1,956,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,16,1785011850.074833,snapshot,NVIDIA GeForce RTX 5070,98,9860,12227,155.40,ok,36,21,0.11181753159024077
