schema_version,experiment_id,phase,repeat_index,job_id,server_version,pgvector_version,flush_policy,flush_timeout_ms,flush_max_wait_ms,arrival_time_scale,trace_index,elapsed_s,pending_rows,pending_tokens,oldest_age_s,action,reason,selected_wait_s,window_reason
2,interference_bulk_aimd_background_r3,formal,1,1209,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,queue_adaptive,25.0,50.0,0.0005,0,0.0,1,546,0.0,wait,fixed_fallback_wait,0.025,fixed_fallback
2,interference_bulk_aimd_background_r3,formal,1,1209,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,queue_adaptive,25.0,50.0,0.0005,1,0.03200000000651926,2,1075,0.03200000000651926,flush,fixed_fallback,0.025,fixed_fallback
2,interference_bulk_aimd_background_r3,formal,1,1209,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,queue_adaptive,25.0,50.0,0.0005,2,0.07800000000861473,1,574,0.021500000002561137,wait,underloaded_base_window_wait,0.025,underloaded_base_window
2,interference_bulk_aimd_background_r3,formal,1,1209,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,queue_adaptive,25.0,50.0,0.0005,3,0.09400000001187436,1,574,0.037500000005820766,flush,underloaded_base_window,0.025,underloaded_base_window
2,interference_bulk_aimd_background_r3,formal,1,1209,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,queue_adaptive,25.0,50.0,0.0005,4,0.09400000001187436,1,602,0.0040000000153668225,wait,underloaded_base_window_wait,0.025,underloaded_base_window
2,interference_bulk_aimd_background_r3,formal,1,1209,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,queue_adaptive,25.0,50.0,0.0005,5,0.125,3,1635,0.03500000000349246,flush,underloaded_base_window,0.025,underloaded_base_window
2,interference_bulk_aimd_background_r3,formal,1,1209,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,queue_adaptive,25.0,50.0,0.0005,6,0.14100000000325963,1,778,0.013000000006286427,wait,underloaded_base_window_wait,0.025,underloaded_base_window
2,interference_bulk_aimd_background_r3,formal,1,1209,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,queue_adaptive,25.0,50.0,0.0005,7,0.15700000000651926,2,1306,0.029000000009546056,flush,underloaded_base_window,0.025,underloaded_base_window
2,interference_bulk_aimd_background_r3,formal,1,1209,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,queue_adaptive,25.0,50.0,0.0005,8,0.21900000001187436,1,529,0.01650000001245644,wait,underloaded_base_window_wait,0.025,underloaded_base_window
2,interference_bulk_aimd_background_r3,formal,1,1209,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,queue_adaptive,25.0,50.0,0.0005,9,0.23500000000058208,1,529,0.03250000000116415,flush,underloaded_base_window,0.025,underloaded_base_window
2,interference_bulk_aimd_background_r3,formal,1,1209,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,queue_adaptive,25.0,50.0,0.0005,10,0.26600000000325963,1,517,0.0010000000038417056,wait,underloaded_base_window_wait,0.025,underloaded_base_window
2,interference_bulk_aimd_background_r3,formal,1,1209,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,queue_adaptive,25.0,50.0,0.0005,11,0.2970000000059372,2,1079,0.03200000000651926,flush,underloaded_base_window,0.025,underloaded_base_window
2,interference_bulk_aimd_background_r3,formal,1,1209,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,queue_adaptive,25.0,50.0,0.0005,12,0.32800000000861473,1,522,0.011500000007799827,wait,underloaded_base_window_wait,0.025,underloaded_base_window
2,interference_bulk_aimd_background_r3,formal,1,1209,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,queue_adaptive,25.0,50.0,0.0005,13,0.34400000001187436,2,1058,0.027500000011059456,flush,underloaded_base_window,0.025,underloaded_base_window
2,interference_bulk_aimd_background_r3,formal,1,1209,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,queue_adaptive,25.0,50.0,0.0005,14,0.375,1,545,0.006999999997788109,wait,underloaded_base_window_wait,0.025,underloaded_base_window
2,interference_bulk_aimd_background_r3,formal,1,1209,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,queue_adaptive,25.0,50.0,0.0005,15,0.40700000000651926,2,1119,0.03900000000430737,flush,underloaded_base_window,0.025,underloaded_base_window
2,interference_bulk_aimd_background_r3,formal,1,1209,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,queue_adaptive,25.0,50.0,0.0005,16,0.4220000000059372,1,518,0.014000000010128133,wait,underloaded_base_window_wait,0.025,underloaded_base_window
2,interference_bulk_aimd_background_r3,formal,1,1209,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,queue_adaptive,25.0,50.0,0.0005,17,0.4380000000091968,1,518,0.030000000013387762,flush,underloaded_base_window,0.025,underloaded_base_window
2,interference_bulk_aimd_background_r3,formal,1,1209,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,queue_adaptive,25.0,50.0,0.0005,18,0.4850000000005821,1,520,0.0044999999954598024,wait,underloaded_base_window_wait,0.025,underloaded_base_window
2,interference_bulk_aimd_background_r3,formal,1,1209,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,queue_adaptive,25.0,50.0,0.0005,19,0.5160000000032596,2,1040,0.035499999998137355,flush,underloaded_base_window,0.025,underloaded_base_window
2,interference_bulk_aimd_background_r3,formal,1,1209,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,queue_adaptive,25.0,50.0,0.0005,20,0.5160000000032596,1,559,0.004500000010011718,wait,underloaded_base_window_wait,0.025,underloaded_base_window
2,interference_bulk_aimd_background_r3,formal,1,1209,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,queue_adaptive,25.0,50.0,0.0005,21,0.5470000000059372,2,1074,0.03550000001268927,flush,underloaded_base_window,0.025,underloaded_base_window
2,interference_bulk_aimd_background_r3,formal,1,1209,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,queue_adaptive,25.0,50.0,0.0005,22,0.5780000000086147,1,524,0.01600000000325963,wait,underloaded_base_window_wait,0.025,underloaded_base_window
2,interference_bulk_aimd_background_r3,formal,1,1209,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,queue_adaptive,25.0,50.0,0.0005,23,0.5940000000118744,1,524,0.03200000000651926,flush,underloaded_base_window,0.025,underloaded_base_window
2,interference_bulk_aimd_background_r3,formal,1,1209,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,queue_adaptive,25.0,50.0,0.0005,24,0.6410000000032596,1,558,0.004500000010011718,wait,underloaded_base_window_wait,0.025,underloaded_base_window
2,interference_bulk_aimd_background_r3,formal,1,1209,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,queue_adaptive,25.0,50.0,0.0005,25,0.6720000000059372,1,558,0.03550000001268927,flush,underloaded_base_window,0.025,underloaded_base_window
