schema_version,experiment_id,phase,repeat_index,job_id,server_version,pgvector_version,sample_index,sample_epoch_s,gpu_metrics_status,gpu_name,gpu_utilization_pct,gpu_memory_used_mib,gpu_memory_total_mib,gpu_power_w,vllm_metrics_status,vllm_num_requests_running,vllm_num_requests_waiting,vllm_kv_cache_usage_perc
1,interference_bulk_aimd_background_r3,formal,1,1209,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,0,1785078592.1482558,snapshot,NVIDIA GeForce RTX 5070,3,10184,12227,41.80,ok,0,0,0.0
1,interference_bulk_aimd_background_r3,formal,1,1209,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,1,1785078592.490031,snapshot,NVIDIA GeForce RTX 5070,3,10186,12227,41.80,ok,0,0,0.0
1,interference_bulk_aimd_background_r3,formal,1,1209,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,2,1785078592.812275,snapshot,NVIDIA GeForce RTX 5070,4,10192,12227,42.06,ok,0,0,0.0
1,interference_bulk_aimd_background_r3,formal,1,1209,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,3,1785078593.1594894,snapshot,NVIDIA GeForce RTX 5070,4,10192,12227,42.21,ok,0,0,0.0
1,interference_bulk_aimd_background_r3,formal,1,1209,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,4,1785078593.4952161,snapshot,NVIDIA GeForce RTX 5070,4,10192,12227,42.21,ok,0,0,0.0
1,interference_bulk_aimd_background_r3,formal,1,1209,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,5,1785078593.8494794,snapshot,NVIDIA GeForce RTX 5070,5,10192,12227,42.15,ok,0,0,0.0
1,interference_bulk_aimd_background_r3,formal,1,1209,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,6,1785078594.1862326,snapshot,NVIDIA GeForce RTX 5070,5,10192,12227,42.17,ok,0,0,0.0
1,interference_bulk_aimd_background_r3,formal,1,1209,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,7,1785078594.52414,snapshot,NVIDIA GeForce RTX 5070,5,10192,12227,42.17,ok,0,0,0.0
1,interference_bulk_aimd_background_r3,formal,1,1209,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,8,1785078594.8535511,snapshot,NVIDIA GeForce RTX 5070,4,10186,12227,42.15,ok,0,0,0.0
1,interference_bulk_aimd_background_r3,formal,1,1209,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,9,1785078595.2020233,snapshot,NVIDIA GeForce RTX 5070,4,10186,12227,41.90,ok,0,0,0.0
