schema_version,experiment_id,phase,repeat_index,job_id,server_version,pgvector_version,sample_index,sample_epoch_s,gpu_metrics_status,gpu_name,gpu_utilization_pct,gpu_memory_used_mib,gpu_memory_total_mib,gpu_power_w,vllm_metrics_status,vllm_num_requests_running,vllm_num_requests_waiting,vllm_kv_cache_usage_perc
1,interference_small_during_bulk_aimd_r2,formal,1,1205,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,0,1785078380.0406039,snapshot,NVIDIA GeForce RTX 5070,2,10185,12227,42.38,ok,0,0,0.0
1,interference_small_during_bulk_aimd_r2,formal,1,1205,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,1,1785078380.3952112,snapshot,NVIDIA GeForce RTX 5070,2,10185,12227,42.18,ok,0,0,0.0
1,interference_small_during_bulk_aimd_r2,formal,1,1205,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,2,1785078380.778889,snapshot,NVIDIA GeForce RTX 5070,3,10185,12227,42.17,ok,0,0,0.0
1,interference_small_during_bulk_aimd_r2,formal,1,1205,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,3,1785078381.1239533,snapshot,NVIDIA GeForce RTX 5070,3,10191,12227,42.30,ok,0,0,0.0
1,interference_small_during_bulk_aimd_r2,formal,1,1205,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,4,1785078381.482473,snapshot,NVIDIA GeForce RTX 5070,3,10191,12227,42.30,ok,0,0,0.0
1,interference_small_during_bulk_aimd_r2,formal,1,1205,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,5,1785078381.8366551,snapshot,NVIDIA GeForce RTX 5070,3,10191,12227,42.23,ok,0,0,0.0
1,interference_small_during_bulk_aimd_r2,formal,1,1205,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,6,1785078382.1821625,snapshot,NVIDIA GeForce RTX 5070,3,10191,12227,42.33,ok,0,0,0.0
1,interference_small_during_bulk_aimd_r2,formal,1,1205,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,7,1785078382.5280135,snapshot,NVIDIA GeForce RTX 5070,3,10191,12227,42.33,ok,0,0,0.0
1,interference_small_during_bulk_aimd_r2,formal,1,1205,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,8,1785078382.8543577,snapshot,NVIDIA GeForce RTX 5070,3,10184,12227,42.43,ok,0,0,0.0
1,interference_small_during_bulk_aimd_r2,formal,1,1205,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,9,1785078383.1922393,snapshot,NVIDIA GeForce RTX 5070,3,10184,12227,42.40,ok,0,0,0.0
1,interference_small_during_bulk_aimd_r2,formal,1,1205,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,10,1785078383.5392907,snapshot,NVIDIA GeForce RTX 5070,3,10184,12227,42.40,ok,0,0,0.0
1,interference_small_during_bulk_aimd_r2,formal,1,1205,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,11,1785078383.8928425,snapshot,NVIDIA GeForce RTX 5070,4,10184,12227,42.49,ok,0,0,0.0
1,interference_small_during_bulk_aimd_r2,formal,1,1205,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,12,1785078384.2444167,snapshot,NVIDIA GeForce RTX 5070,4,10184,12227,42.31,ok,0,0,0.0
1,interference_small_during_bulk_aimd_r2,formal,1,1205,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,13,1785078384.6304052,snapshot,NVIDIA GeForce RTX 5070,2,10192,12227,42.09,ok,0,0,0.0
1,interference_small_during_bulk_aimd_r2,formal,1,1205,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,14,1785078384.9933648,snapshot,NVIDIA GeForce RTX 5070,2,10194,12227,42.09,ok,0,0,0.0
