schema_version,experiment_id,phase,repeat_index,job_id,server_version,pgvector_version,sample_index,sample_epoch_s,gpu_metrics_status,gpu_name,gpu_utilization_pct,gpu_memory_used_mib,gpu_memory_total_mib,gpu_power_w,vllm_metrics_status,vllm_num_requests_running,vllm_num_requests_waiting,vllm_kv_cache_usage_perc
1,interference_small_solo_r2,formal,1,1203,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,0,1785078334.8027,snapshot,NVIDIA GeForce RTX 5070,3,10196,12227,42.45,ok,0,0,0.0
1,interference_small_solo_r2,formal,1,1203,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,1,1785078335.1209915,snapshot,NVIDIA GeForce RTX 5070,3,10196,12227,42.63,ok,0,0,0.0
1,interference_small_solo_r2,formal,1,1203,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,2,1785078335.4471467,snapshot,NVIDIA GeForce RTX 5070,3,10196,12227,42.63,ok,0,0,0.0
1,interference_small_solo_r2,formal,1,1203,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,3,1785078335.764325,snapshot,NVIDIA GeForce RTX 5070,6,10188,12227,42.90,ok,0,0,0.0
1,interference_small_solo_r2,formal,1,1203,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,4,1785078336.090355,snapshot,NVIDIA GeForce RTX 5070,6,10190,12227,42.89,ok,0,0,0.0
1,interference_small_solo_r2,formal,1,1203,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,5,1785078336.4485583,snapshot,NVIDIA GeForce RTX 5070,6,10190,12227,42.89,ok,0,0,0.0
1,interference_small_solo_r2,formal,1,1203,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,6,1785078336.7867672,snapshot,NVIDIA GeForce RTX 5070,5,10193,12227,42.73,ok,0,0,0.0
1,interference_small_solo_r2,formal,1,1203,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,7,1785078337.1471918,snapshot,NVIDIA GeForce RTX 5070,5,10193,12227,42.83,ok,0,0,0.0
1,interference_small_solo_r2,formal,1,1203,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,8,1785078337.4704921,snapshot,NVIDIA GeForce RTX 5070,5,10193,12227,42.83,ok,0,0,0.0
1,interference_small_solo_r2,formal,1,1203,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,9,1785078337.810346,snapshot,NVIDIA GeForce RTX 5070,4,10193,12227,42.95,ok,8,0,0.0040943480195816395
1,interference_small_solo_r2,formal,1,1203,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,10,1785078338.1362717,snapshot,NVIDIA GeForce RTX 5070,4,10193,12227,80.97,ok,14,0,0.008010680907877155
1,interference_small_solo_r2,formal,1,1203,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,11,1785078338.4897792,snapshot,NVIDIA GeForce RTX 5070,4,10193,12227,80.97,ok,12,0,0.009612817089452608
1,interference_small_solo_r2,formal,1,1203,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,12,1785078338.8298364,snapshot,NVIDIA GeForce RTX 5070,95,10188,12227,132.65,ok,12,0,0.01228304405874503
1,interference_small_solo_r2,formal,1,1203,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,13,1785078339.15165,snapshot,NVIDIA GeForce RTX 5070,95,10183,12227,145.40,ok,12,0,0.015131286159323576
1,interference_small_solo_r2,formal,1,1203,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,14,1785078339.4766872,snapshot,NVIDIA GeForce RTX 5070,95,10185,12227,145.40,ok,14,0,0.016911437472185153
1,interference_small_solo_r2,formal,1,1203,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,15,1785078339.8056962,snapshot,NVIDIA GeForce RTX 5070,95,10185,12227,144.62,ok,13,0,0.019848687138406818
1,interference_small_solo_r2,formal,1,1203,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,16,1785078340.1303546,snapshot,NVIDIA GeForce RTX 5070,95,10185,12227,145.01,ok,13,0,0.019314641744548333
1,interference_small_solo_r2,formal,1,1203,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,17,1785078340.4723618,snapshot,NVIDIA GeForce RTX 5070,95,10184,12227,145.01,ok,12,0,0.021984868713840644
1,interference_small_solo_r2,formal,1,1203,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,18,1785078340.8327875,snapshot,NVIDIA GeForce RTX 5070,95,10191,12227,146.02,ok,11,0,0.021361815754339153
1,interference_small_solo_r2,formal,1,1203,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,19,1785078341.170083,snapshot,NVIDIA GeForce RTX 5070,95,10191,12227,146.04,ok,10,0,0.021539830885625277
1,interference_small_solo_r2,formal,1,1203,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,20,1785078341.512408,snapshot,NVIDIA GeForce RTX 5070,95,10191,12227,146.04,ok,9,0,0.021005785491766793
1,interference_small_solo_r2,formal,1,1203,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,21,1785078341.8583827,snapshot,NVIDIA GeForce RTX 5070,95,10191,12227,145.26,ok,7,0,0.01495327102803734
