schema_version,experiment_id,phase,repeat_index,scenario_id,random_seed,job_id,server_version,pgvector_version,request_index,request_id,submission_id,doc_id,pool_id,endpoint_id,gpu_id,prompt_tokens,estimated_output_tokens,client_estimated_output_tokens,actual_output_tokens,output_token_source,total_tokens,finish_reason,prefix_key,status,error_type,arrival_epoch_s,flush_epoch_s,submit_epoch_s,service_start_epoch_s,completion_epoch_s,buffer_s,submit_to_service_s,service_s,service_clock_domain,e2e_s,request_time_origin,latency_granularity,slo_target_s,slo_met
3,interference_bulk_aimd_background_r1,formal,1,manual,0,1196,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,0,1196:row:1000000,1196:batch:0,1000000,default,task-0,0,34,512,247,321,endpoint_request,355,stop,5158c58cfb5aa9d5,completed,,1785078044.0522025,1785078044.0931673,1785078044.102043,1785078049.326166,1785078052.7873023,0.04096484184265137,5.224123001098633,3.4588634967803955,backend,8.735099792480469,replayed_arrival,submission,180.0,True
3,interference_bulk_aimd_background_r1,formal,1,manual,0,1196,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,1,1196:row:1000001,1196:batch:0,1000001,default,task-0,0,17,512,64,83,endpoint_request,100,stop,c46b9b85f0bc8d8f,completed,,1785078044.0722024,1785078044.0931673,1785078044.102043,1785078049.326166,1785078052.7873023,0.020964860916137695,5.224123001098633,3.4588634967803955,backend,8.715099811553955,replayed_arrival,submission,180.0,True
3,interference_bulk_aimd_background_r1,formal,1,manual,0,1196,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,2,1196:row:1000002,1196:batch:1,1000002,default,task-0,0,62,512,290,512,endpoint_request,574,length,77745dfdc2774d38,completed,,1785078044.1087024,1785078044.156665,1785078044.1577675,1785078049.6427,1785078055.167704,0.04796266555786133,5.4849324226379395,5.522840976715088,backend,11.059001684188843,replayed_arrival,submission,180.0,True
3,interference_bulk_aimd_background_r1,formal,1,manual,0,1196,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,3,1196:row:1000003,1196:batch:2,1000003,default,task-0,0,90,512,127,179,endpoint_request,269,stop,a659f76f1324db81,completed,,1785078044.1422024,1785078044.1877458,1785078044.1898108,1785078049.6469443,1785078051.3422217,0.04554343223571777,5.457133531570435,1.6932082176208496,backend,7.200019359588623,replayed_arrival,submission,180.0,True
3,interference_bulk_aimd_background_r1,formal,1,manual,0,1196,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,4,1196:row:1000004,1196:batch:2,1000004,default,task-0,0,4,512,50,60,endpoint_request,64,stop,5ebb4cd922644752,completed,,1785078044.1567025,1785078044.1877458,1785078044.1898108,1785078049.6469443,1785078051.3422217,0.031043291091918945,5.457133531570435,1.6932082176208496,backend,7.185519218444824,replayed_arrival,submission,180.0,True
3,interference_bulk_aimd_background_r1,formal,1,manual,0,1196,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,5,1196:row:1000005,1196:batch:2,1000005,default,task-0,0,5,512,26,33,endpoint_request,38,stop,63b90a1229052208,completed,,1785078044.1662025,1785078044.1877458,1785078044.1898108,1785078049.6469443,1785078051.3422217,0.021543264389038086,5.457133531570435,1.6932082176208496,backend,7.176019191741943,replayed_arrival,submission,180.0,True
3,interference_bulk_aimd_background_r1,formal,1,manual,0,1196,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,6,1196:row:1000006,1196:batch:3,1000006,default,task-0,0,266,512,272,349,endpoint_request,615,stop,31c017e504f691cb,completed,,1785078044.1802025,1785078044.2196696,1785078044.2218657,1785078049.7799115,1785078055.2657137,0.03946709632873535,5.558045864105225,5.483705282211304,backend,11.085511207580566,replayed_arrival,submission,180.0,True
3,interference_bulk_aimd_background_r1,formal,1,manual,0,1196,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,7,1196:row:1000007,1196:batch:3,1000007,default,task-0,0,16,512,348,499,endpoint_request,515,stop,dc990017302d002a,completed,,1785078044.1832025,1785078044.2196696,1785078044.2218657,1785078049.7799115,1785078055.2657137,0.03646707534790039,5.558045864105225,5.483705282211304,backend,11.082511186599731,replayed_arrival,submission,180.0,True
3,interference_bulk_aimd_background_r1,formal,1,manual,0,1196,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,8,1196:row:1000008,1196:batch:4,1000008,default,task-0,0,17,512,45,55,endpoint_request,72,stop,ceec92194ed7ee15,completed,,1785078044.2547026,1785078044.2971106,1785078044.3005004,1785078049.9582236,1785078050.419572,0.042407989501953125,5.6577231884002686,0.45871877670288086,backend,6.164869546890259,replayed_arrival,submission,180.0,True
3,interference_bulk_aimd_background_r1,formal,1,manual,0,1196,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,9,1196:row:1000009,1196:batch:5,1000009,default,task-0,0,5,512,157,222,endpoint_request,227,stop,84c3b3ae00cf1180,completed,,1785078044.3172026,1785078044.366736,1785078044.3694878,1785078050.0813851,1785078055.7376087,0.04953336715698242,5.711897373199463,5.65425181388855,backend,11.420406103134155,replayed_arrival,submission,180.0,True
3,interference_bulk_aimd_background_r1,formal,1,manual,0,1196,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,10,1196:row:1000010,1196:batch:5,1000010,default,task-0,0,50,512,353,512,endpoint_request,562,length,8515a295c6c1e478,completed,,1785078044.3297024,1785078044.366736,1785078044.3694878,1785078050.0813851,1785078055.7376087,0.0370335578918457,5.711897373199463,5.65425181388855,backend,11.407906293869019,replayed_arrival,submission,180.0,True
3,interference_bulk_aimd_background_r1,formal,1,manual,0,1196,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,11,1196:row:1000011,1196:batch:6,1000011,default,task-0,0,10,512,256,382,endpoint_request,392,stop,2a4d59517158701f,completed,,1785078044.3687024,1785078044.4051824,1785078044.4070914,1785078050.0801332,1785078055.7390966,0.036479949951171875,5.673041820526123,5.6560282707214355,backend,11.370394229888916,replayed_arrival,submission,180.0,True
3,interference_bulk_aimd_background_r1,formal,1,manual,0,1196,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,12,1196:row:1000012,1196:batch:6,1000012,default,task-0,0,24,512,264,512,endpoint_request,536,length,f3e572dddb0c04d0,completed,,1785078044.3927026,1785078044.4051824,1785078044.4070914,1785078050.0801332,1785078055.7390966,0.012479782104492188,5.673041820526123,5.6560282707214355,backend,11.346394062042236,replayed_arrival,submission,180.0,True
3,interference_bulk_aimd_background_r1,formal,1,manual,0,1196,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,13,1196:row:1000013,1196:batch:7,1000013,default,task-0,0,33,512,124,512,endpoint_request,545,length,cb7bcd136f59c001,completed,,1785078044.4202025,1785078044.466338,1785078044.4690735,1785078050.0813851,1785078055.7498133,0.04613542556762695,5.612311601638794,5.665639162063599,backend,11.329610824584961,replayed_arrival,submission,180.0,True
3,interference_bulk_aimd_background_r1,formal,1,manual,0,1196,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,14,1196:row:1000014,1196:batch:7,1000014,default,task-0,0,62,512,258,409,endpoint_request,471,stop,e832ea1ed53e38bb,completed,,1785078044.4352024,1785078044.466338,1785078044.4690735,1785078050.0813851,1785078055.7498133,0.03113555908203125,5.612311601638794,5.665639162063599,backend,11.314610958099365,replayed_arrival,submission,180.0,True
3,interference_bulk_aimd_background_r1,formal,1,manual,0,1196,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,15,1196:row:1000015,1196:batch:8,1000015,default,task-0,0,6,512,282,512,endpoint_request,518,length,268ad095d95190da,completed,,1785078044.4602025,1785078044.4975874,1785078044.4986684,1785078050.18103,1785078055.9085164,0.037384986877441406,5.682361602783203,5.726095914840698,backend,11.44831395149231,replayed_arrival,submission,180.0,True
3,interference_bulk_aimd_background_r1,formal,1,manual,0,1196,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,16,1196:row:1000016,1196:batch:9,1000016,default,task-0,0,8,512,284,441,endpoint_request,449,stop,7beaf3607820d3fa,completed,,1785078044.5327024,1785078044.5751865,1785078044.578049,1785078050.2065516,1785078055.177286,0.04248404502868652,5.628502607345581,4.968941926956177,backend,10.644583463668823,replayed_arrival,submission,180.0,True
3,interference_bulk_aimd_background_r1,formal,1,manual,0,1196,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,17,1196:row:1000017,1196:batch:9,1000017,default,task-0,0,8,512,41,48,endpoint_request,56,stop,5b18db2768af12f2,completed,,1785078044.5367024,1785078044.5751865,1785078044.578049,1785078050.2065516,1785078055.177286,0.03848409652709961,5.628502607345581,4.968941926956177,backend,10.640583515167236,replayed_arrival,submission,180.0,True
3,interference_bulk_aimd_background_r1,formal,1,manual,0,1196,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,18,1196:row:1000018,1196:batch:10,1000018,default,task-0,0,47,512,271,392,endpoint_request,439,stop,47e14e8f2811effc,completed,,1785078044.5637023,1785078044.6055079,1785078044.607905,1785078050.3673549,1785078054.8927073,0.04180550575256348,5.7594499588012695,4.523508310317993,backend,10.329005002975464,replayed_arrival,submission,180.0,True
3,interference_bulk_aimd_background_r1,formal,1,manual,0,1196,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,19,1196:row:1000019,1196:batch:10,1000019,default,task-0,0,3,512,19,26,endpoint_request,29,stop,b2edbe58c03fb2c7,completed,,1785078044.5857024,1785078044.6055079,1785078044.607905,1785078050.3673549,1785078054.8927073,0.019805431365966797,5.7594499588012695,4.523508310317993,backend,10.307004928588867,replayed_arrival,submission,180.0,True
