schema_version,experiment_id,phase,repeat_index,job_id,server_version,pgvector_version,sample_index,sample_epoch_s,gpu_metrics_status,gpu_name,gpu_utilization_pct,gpu_memory_used_mib,gpu_memory_total_mib,gpu_power_w,vllm_metrics_status,vllm_num_requests_running,vllm_num_requests_waiting,vllm_kv_cache_usage_perc
1,interference_bulk_aimd_background_r1,formal,1,1196,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,0,1785078042.979282,snapshot,NVIDIA GeForce RTX 5070,2,10185,12227,42.13,ok,0,0,0.0
1,interference_bulk_aimd_background_r1,formal,1,1196,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,1,1785078043.3310738,snapshot,NVIDIA GeForce RTX 5070,2,10185,12227,42.02,ok,0,0,0.0
1,interference_bulk_aimd_background_r1,formal,1,1196,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,2,1785078043.6675823,snapshot,NVIDIA GeForce RTX 5070,3,10192,12227,42.15,ok,0,0,0.0
1,interference_bulk_aimd_background_r1,formal,1,1196,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,3,1785078044.010113,snapshot,NVIDIA GeForce RTX 5070,3,10192,12227,42.21,ok,0,0,0.0
1,interference_bulk_aimd_background_r1,formal,1,1196,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,4,1785078044.3516343,snapshot,NVIDIA GeForce RTX 5070,3,10192,12227,42.21,ok,0,0,0.0
1,interference_bulk_aimd_background_r1,formal,1,1196,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,5,1785078044.6884649,snapshot,NVIDIA GeForce RTX 5070,3,10187,12227,42.17,ok,0,0,0.0
1,interference_bulk_aimd_background_r1,formal,1,1196,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,6,1785078045.031179,snapshot,NVIDIA GeForce RTX 5070,3,10187,12227,42.14,ok,0,0,0.0
1,interference_bulk_aimd_background_r1,formal,1,1196,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,7,1785078045.3763876,snapshot,NVIDIA GeForce RTX 5070,3,10187,12227,42.14,ok,0,0,0.0
1,interference_bulk_aimd_background_r1,formal,1,1196,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,8,1785078045.7113514,snapshot,NVIDIA GeForce RTX 5070,2,10187,12227,42.04,ok,0,0,0.0
1,interference_bulk_aimd_background_r1,formal,1,1196,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,9,1785078046.05192,snapshot,NVIDIA GeForce RTX 5070,2,10187,12227,41.93,ok,0,0,0.0
1,interference_bulk_aimd_background_r1,formal,1,1196,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,10,1785078046.3936548,snapshot,NVIDIA GeForce RTX 5070,2,10187,12227,41.93,ok,0,0,0.0
1,interference_bulk_aimd_background_r1,formal,1,1196,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,11,1785078046.7300718,snapshot,NVIDIA GeForce RTX 5070,3,10180,12227,41.88,ok,0,0,0.0
1,interference_bulk_aimd_background_r1,formal,1,1196,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,12,1785078047.0677829,snapshot,NVIDIA GeForce RTX 5070,3,10180,12227,41.81,ok,0,0,0.0
1,interference_bulk_aimd_background_r1,formal,1,1196,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,13,1785078047.4053624,snapshot,NVIDIA GeForce RTX 5070,3,10180,12227,41.81,ok,0,0,0.0
1,interference_bulk_aimd_background_r1,formal,1,1196,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,14,1785078047.7447045,snapshot,NVIDIA GeForce RTX 5070,3,10187,12227,41.79,ok,0,0,0.0
1,interference_bulk_aimd_background_r1,formal,1,1196,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,15,1785078048.0835214,snapshot,NVIDIA GeForce RTX 5070,3,10187,12227,42.01,ok,0,0,0.0
1,interference_bulk_aimd_background_r1,formal,1,1196,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,16,1785078048.4392183,snapshot,NVIDIA GeForce RTX 5070,3,10187,12227,42.01,ok,0,0,0.0
1,interference_bulk_aimd_background_r1,formal,1,1196,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,17,1785078048.7733657,snapshot,NVIDIA GeForce RTX 5070,2,10187,12227,41.93,ok,0,0,0.0
1,interference_bulk_aimd_background_r1,formal,1,1196,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,18,1785078049.1094959,snapshot,NVIDIA GeForce RTX 5070,2,10187,12227,41.84,ok,0,0,0.0
1,interference_bulk_aimd_background_r1,formal,1,1196,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,19,1785078049.4532807,snapshot,NVIDIA GeForce RTX 5070,2,10187,12227,41.84,ok,2,0,0.0006230529595016021
1,interference_bulk_aimd_background_r1,formal,1,1196,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,20,1785078049.8243325,snapshot,NVIDIA GeForce RTX 5070,59,10185,12227,52.11,ok,6,0,0.0027592345349354286
