schema_version,experiment_id,phase,repeat_index,scenario_id,random_seed,job_id,server_version,pgvector_version,request_index,request_id,submission_id,doc_id,pool_id,endpoint_id,gpu_id,prompt_tokens,estimated_output_tokens,client_estimated_output_tokens,actual_output_tokens,output_token_source,total_tokens,finish_reason,prefix_key,status,error_type,arrival_epoch_s,flush_epoch_s,submit_epoch_s,service_start_epoch_s,completion_epoch_s,buffer_s,submit_to_service_s,service_s,service_clock_domain,e2e_s,request_time_origin,latency_granularity,slo_target_s,slo_met
3,interference_bulk_aimd_background_r3,formal,1,manual,0,1187,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,0,1187:row:1000000,1187:batch:0,1000000,default,task-0,0,34,512,233,301,endpoint_request,335,stop,5158c58cfb5aa9d5,completed,,1785077266.0255651,1785077266.1282697,1785077266.139427,1785077271.4266331,1785077275.3594565,0.10270452499389648,5.287206172943115,3.9308347702026367,backend,9.33389139175415,replayed_arrival,submission,180.0,True
3,interference_bulk_aimd_background_r3,formal,1,manual,0,1187,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,1,1187:row:1000001,1187:batch:0,1000001,default,task-0,0,17,512,67,90,endpoint_request,107,stop,c46b9b85f0bc8d8f,completed,,1785077266.0455651,1785077266.1282697,1785077266.139427,1785077271.4266331,1785077275.3594565,0.08270454406738281,5.287206172943115,3.9308347702026367,backend,9.313891410827637,replayed_arrival,submission,180.0,True
3,interference_bulk_aimd_background_r3,formal,1,manual,0,1187,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,2,1187:row:1000002,1187:batch:1,1000002,default,task-0,0,62,512,235,442,endpoint_request,504,stop,77745dfdc2774d38,completed,,1785077266.082065,1785077266.1588266,1785077266.1614106,1785077271.7073808,1785077277.4663455,0.07676148414611816,5.54597020149231,5.756760120391846,backend,11.384280443191528,replayed_arrival,submission,180.0,True
3,interference_bulk_aimd_background_r3,formal,1,manual,0,1187,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,3,1187:row:1000003,1187:batch:1,1000003,default,task-0,0,90,512,266,349,endpoint_request,439,stop,a659f76f1324db81,completed,,1785077266.115565,1785077266.1588266,1785077266.1614106,1785077271.7073808,1785077277.4663455,0.04326152801513672,5.54597020149231,5.756760120391846,backend,11.350780487060547,replayed_arrival,submission,180.0,True
3,interference_bulk_aimd_background_r3,formal,1,manual,0,1187,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,4,1187:row:1000004,1187:batch:1,1000004,default,task-0,0,4,512,46,56,endpoint_request,60,stop,5ebb4cd922644752,completed,,1785077266.1300652,1785077266.1588266,1785077266.1614106,1785077271.7073808,1785077277.4663455,0.02876138687133789,5.54597020149231,5.756760120391846,backend,11.336280345916748,replayed_arrival,submission,180.0,True
3,interference_bulk_aimd_background_r3,formal,1,manual,0,1187,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,5,1187:row:1000005,1187:batch:2,1000005,default,task-0,0,5,512,26,33,endpoint_request,38,stop,63b90a1229052208,completed,,1785077266.1395652,1785077266.2348409,1785077266.2378905,1785077271.9469514,1785077277.994518,0.0952756404876709,5.709060907363892,6.0457985401153564,backend,11.854952812194824,replayed_arrival,submission,180.0,True
3,interference_bulk_aimd_background_r3,formal,1,manual,0,1187,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,6,1187:row:1000006,1187:batch:2,1000006,default,task-0,0,266,512,263,359,endpoint_request,625,stop,31c017e504f691cb,completed,,1785077266.1535652,1785077266.2348409,1785077266.2378905,1785077271.9469514,1785077277.994518,0.08127570152282715,5.709060907363892,6.0457985401153564,backend,11.84095287322998,replayed_arrival,submission,180.0,True
3,interference_bulk_aimd_background_r3,formal,1,manual,0,1187,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,7,1187:row:1000007,1187:batch:2,1000007,default,task-0,0,16,512,324,461,endpoint_request,477,stop,dc990017302d002a,completed,,1785077266.1565652,1785077266.2348409,1785077266.2378905,1785077271.9469514,1785077277.994518,0.07827568054199219,5.709060907363892,6.0457985401153564,backend,11.837952852249146,replayed_arrival,submission,180.0,True
3,interference_bulk_aimd_background_r3,formal,1,manual,0,1187,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,8,1187:row:1000008,1187:batch:3,1000008,default,task-0,0,17,512,42,51,endpoint_request,68,stop,ceec92194ed7ee15,completed,,1785077266.2280653,1785077266.3274515,1785077266.3299375,1785077272.0510113,1785077272.7943451,0.09938621520996094,5.721073865890503,0.734044075012207,backend,6.566279888153076,replayed_arrival,submission,180.0,True
3,interference_bulk_aimd_background_r3,formal,1,manual,0,1187,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,9,1187:row:1000009,1187:batch:4,1000009,default,task-0,0,5,512,178,247,endpoint_request,252,stop,84c3b3ae00cf1180,completed,,1785077266.2905653,1785077266.3877788,1785077266.3903372,1785077272.1302428,1785077278.8048708,0.0972135066986084,5.739905595779419,6.672921657562256,backend,12.514305591583252,replayed_arrival,submission,180.0,True
