schema_version,experiment_id,phase,repeat_index,job_id,server_version,pgvector_version,sample_index,sample_epoch_s,gpu_metrics_status,gpu_name,gpu_utilization_pct,gpu_memory_used_mib,gpu_memory_total_mib,gpu_power_w,vllm_metrics_status,vllm_num_requests_running,vllm_num_requests_waiting,vllm_kv_cache_usage_perc
1,interference_bulk_k8_background_r2,formal,1,1180,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,0,1785076977.1828947,snapshot,NVIDIA GeForce RTX 5070,4,10171,12227,42.21,ok,0,0,0.0
1,interference_bulk_k8_background_r2,formal,1,1180,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,1,1785076977.5449233,snapshot,NVIDIA GeForce RTX 5070,3,10171,12227,42.00,ok,0,0,0.0
1,interference_bulk_k8_background_r2,formal,1,1180,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,2,1785076977.8847399,snapshot,NVIDIA GeForce RTX 5070,3,10171,12227,42.14,ok,0,0,0.0
1,interference_bulk_k8_background_r2,formal,1,1180,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,3,1785076978.221529,snapshot,NVIDIA GeForce RTX 5070,3,10171,12227,42.14,ok,0,0,0.0
1,interference_bulk_k8_background_r2,formal,1,1180,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,4,1785076978.5659876,snapshot,NVIDIA GeForce RTX 5070,4,10171,12227,42.42,ok,0,0,0.0
1,interference_bulk_k8_background_r2,formal,1,1180,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,5,1785076978.9248023,snapshot,NVIDIA GeForce RTX 5070,4,10167,12227,42.16,ok,0,0,0.0
1,interference_bulk_k8_background_r2,formal,1,1180,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,6,1785076979.2597294,snapshot,NVIDIA GeForce RTX 5070,4,10167,12227,42.16,ok,0,0,0.0
1,interference_bulk_k8_background_r2,formal,1,1180,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,7,1785076979.6052396,snapshot,NVIDIA GeForce RTX 5070,4,10167,12227,41.97,ok,0,0,0.0
1,interference_bulk_k8_background_r2,formal,1,1180,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,8,1785076979.9462,snapshot,NVIDIA GeForce RTX 5070,4,10167,12227,42.25,ok,0,0,0.0
1,interference_bulk_k8_background_r2,formal,1,1180,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,9,1785076980.2887642,snapshot,NVIDIA GeForce RTX 5070,4,10167,12227,42.25,ok,0,0,0.0
1,interference_bulk_k8_background_r2,formal,1,1180,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,10,1785076980.6265993,snapshot,NVIDIA GeForce RTX 5070,4,10167,12227,42.56,ok,0,0,0.0
1,interference_bulk_k8_background_r2,formal,1,1180,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,11,1785076980.9523246,snapshot,NVIDIA GeForce RTX 5070,4,10171,12227,42.43,ok,0,0,0.0
1,interference_bulk_k8_background_r2,formal,1,1180,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,12,1785076981.2971852,snapshot,NVIDIA GeForce RTX 5070,4,10171,12227,42.43,ok,2,0,0.0006230529595016021
1,interference_bulk_k8_background_r2,formal,1,1180,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,13,1785076981.6526504,snapshot,NVIDIA GeForce RTX 5070,26,10171,12227,47.11,ok,16,0,0.007298620382732546
1,interference_bulk_k8_background_r2,formal,1,1180,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,14,1785076982.0105743,snapshot,NVIDIA GeForce RTX 5070,26,10179,12227,100.11,ok,17,0,0.010413885180240334
1,interference_bulk_k8_background_r2,formal,1,1180,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,15,1785076982.372105,snapshot,NVIDIA GeForce RTX 5070,26,10180,12227,100.11,ok,15,0,0.013885180240320483
1,interference_bulk_k8_background_r2,formal,1,1180,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,16,1785076982.7311573,snapshot,NVIDIA GeForce RTX 5070,89,10184,12227,151.12,ok,15,0,0.017890520694259004
1,interference_bulk_k8_background_r2,formal,1,1180,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,17,1785076983.0835254,snapshot,NVIDIA GeForce RTX 5070,89,10184,12227,157.66,ok,14,0,0.020026702269692942
