schema_version,experiment_id,phase,repeat_index,scenario_id,random_seed,job_id,server_version,pgvector_version,request_index,request_id,submission_id,doc_id,pool_id,endpoint_id,gpu_id,prompt_tokens,estimated_output_tokens,client_estimated_output_tokens,actual_output_tokens,output_token_source,total_tokens,finish_reason,prefix_key,status,error_type,arrival_epoch_s,flush_epoch_s,submit_epoch_s,service_start_epoch_s,completion_epoch_s,buffer_s,submit_to_service_s,service_s,service_clock_domain,e2e_s,request_time_origin,latency_granularity,slo_target_s,slo_met
3,vllm_eager_512_20260726,formal,2,ray_task_k8,20260731,1129,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,0,1129:row:1000000,1129:batch:0,1000000,default,task-0,0,34,512,247,321,endpoint_request,355,stop,5158c58cfb5aa9d5,completed,,1785064607.6578753,1785064607.7258403,1785064607.7335508,1785064609.9957027,1785064620.57792,0.06796503067016602,2.2621519565582275,10.578712940216064,backend,12.920044660568237,replayed_arrival,submission,180.0,True
3,vllm_eager_512_20260726,formal,2,ray_task_k8,20260731,1129,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,1,1129:row:1000001,1129:batch:0,1000001,default,task-0,0,17,512,64,83,endpoint_request,100,stop,c46b9b85f0bc8d8f,completed,,1785064607.6778753,1785064607.7258403,1785064607.7335508,1785064609.9957027,1785064620.57792,0.047965049743652344,2.2621519565582275,10.578712940216064,backend,12.900044679641724,replayed_arrival,submission,180.0,True
3,vllm_eager_512_20260726,formal,2,ray_task_k8,20260731,1129,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,2,1129:row:1000002,1129:batch:1,1000002,default,task-0,0,62,512,322,496,endpoint_request,558,stop,77745dfdc2774d38,completed,,1785064607.7143753,1785064607.7719429,1785064607.7743134,1785064610.0820632,1785064625.062036,0.057567596435546875,2.3077497482299805,14.976283311843872,backend,17.347660779953003,replayed_arrival,submission,180.0,True
3,vllm_eager_512_20260726,formal,2,ray_task_k8,20260731,1129,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,3,1129:row:1000003,1129:batch:1,1000003,default,task-0,0,90,512,313,473,endpoint_request,563,stop,a659f76f1324db81,completed,,1785064607.7478752,1785064607.7719429,1785064607.7743134,1785064610.0820632,1785064625.062036,0.02406764030456543,2.3077497482299805,14.976283311843872,backend,17.31416082382202,replayed_arrival,submission,180.0,True
3,vllm_eager_512_20260726,formal,2,ray_task_k8,20260731,1129,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,4,1129:row:1000004,1129:batch:1,1000004,default,task-0,0,4,512,50,60,endpoint_request,64,stop,5ebb4cd922644752,completed,,1785064607.7623754,1785064607.7719429,1785064607.7743134,1785064610.0820632,1785064625.062036,0.009567499160766602,2.3077497482299805,14.976283311843872,backend,17.299660682678223,replayed_arrival,submission,180.0,True
3,vllm_eager_512_20260726,formal,2,ray_task_k8,20260731,1129,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,5,1129:row:1000005,1129:batch:2,1000005,default,task-0,0,5,512,26,33,endpoint_request,38,stop,63b90a1229052208,completed,,1785064607.7718754,1785064607.834033,1785064607.8362348,1785064610.165896,1785064624.675012,0.062157630920410156,2.3296611309051514,14.50666618347168,backend,16.903136730194092,replayed_arrival,submission,180.0,True
3,vllm_eager_512_20260726,formal,2,ray_task_k8,20260731,1129,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,6,1129:row:1000006,1129:batch:2,1000006,default,task-0,0,266,512,355,472,endpoint_request,738,stop,31c017e504f691cb,completed,,1785064607.7858753,1785064607.834033,1785064607.8362348,1785064610.165896,1785064624.675012,0.048157691955566406,2.3296611309051514,14.50666618347168,backend,16.889136791229248,replayed_arrival,submission,180.0,True
3,vllm_eager_512_20260726,formal,2,ray_task_k8,20260731,1129,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,7,1129:row:1000007,1129:batch:2,1000007,default,task-0,0,16,512,311,401,endpoint_request,417,stop,dc990017302d002a,completed,,1785064607.7888753,1785064607.834033,1785064607.8362348,1785064610.165896,1785064624.675012,0.045157670974731445,2.3296611309051514,14.50666618347168,backend,16.886136770248413,replayed_arrival,submission,180.0,True
3,vllm_eager_512_20260726,formal,2,ray_task_k8,20260731,1129,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,8,1129:row:1000008,1129:batch:3,1000008,default,task-0,0,17,512,45,55,endpoint_request,72,stop,ceec92194ed7ee15,completed,,1785064607.8603754,1785064607.9277878,1785064607.9299345,1785064610.3238518,1785064611.797934,0.0674123764038086,2.3939173221588135,1.4705443382263184,backend,3.937558650970459,replayed_arrival,submission,180.0,True
3,vllm_eager_512_20260726,formal,2,ray_task_k8,20260731,1129,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,9,1129:row:1000009,1129:batch:4,1000009,default,task-0,0,5,512,177,247,endpoint_request,252,stop,84c3b3ae00cf1180,completed,,1785064607.9228754,1785064607.9912329,1785064607.9933329,1785064610.3929098,1785064625.3846583,0.06835746765136719,2.3995769023895264,14.988750696182251,backend,17.461782932281494,replayed_arrival,submission,180.0,True
3,vllm_eager_512_20260726,formal,2,ray_task_k8,20260731,1129,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,10,1129:row:1000010,1129:batch:4,1000010,default,task-0,0,50,512,376,512,endpoint_request,562,length,8515a295c6c1e478,completed,,1785064607.9353752,1785064607.9912329,1785064607.9933329,1785064610.3929098,1785064625.3846583,0.05585765838623047,2.3995769023895264,14.988750696182251,backend,17.449283123016357,replayed_arrival,submission,180.0,True
3,vllm_eager_512_20260726,formal,2,ray_task_k8,20260731,1129,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,11,1129:row:1000011,1129:batch:5,1000011,default,task-0,0,10,512,260,386,endpoint_request,396,stop,2a4d59517158701f,completed,,1785064607.9743752,1785064608.0380464,1785064608.040077,1785064610.4719372,1785064625.414735,0.06367111206054688,2.4318602085113525,14.938148736953735,backend,17.440359830856323,replayed_arrival,submission,180.0,True
