schema_version,experiment_id,phase,repeat_index,scenario_id,random_seed,job_id,server_version,pgvector_version,request_index,request_id,submission_id,doc_id,pool_id,endpoint_id,gpu_id,prompt_tokens,estimated_output_tokens,client_estimated_output_tokens,actual_output_tokens,output_token_source,total_tokens,finish_reason,prefix_key,status,error_type,arrival_epoch_s,flush_epoch_s,submit_epoch_s,service_start_epoch_s,completion_epoch_s,buffer_s,submit_to_service_s,service_s,service_clock_domain,e2e_s,request_time_origin,latency_granularity,slo_target_s,slo_met
3,vllm_graph_gate_64_20260726,formal,1,ray_task_k8,20260731,1131,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,0,1131:row:1000000,1131:batch:0,1000000,default,task-0,0,34,512,232,300,endpoint_request,334,stop,5158c58cfb5aa9d5,completed,,1785066182.9221592,1785066182.9738781,1785066182.9794462,1785066185.298958,1785066214.4773653,0.051718950271606445,2.319511890411377,29.176502466201782,backend,31.555206060409546,replayed_arrival,submission,180.0,True
3,vllm_graph_gate_64_20260726,formal,1,ray_task_k8,20260731,1131,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,1,1131:row:1000001,1131:batch:0,1000001,default,task-0,0,17,512,64,86,endpoint_request,103,stop,c46b9b85f0bc8d8f,completed,,1785066182.9421592,1785066182.9738781,1785066182.9794462,1785066185.298958,1785066214.4773653,0.03171896934509277,2.319511890411377,29.176502466201782,backend,31.535206079483032,replayed_arrival,submission,180.0,True
3,vllm_graph_gate_64_20260726,formal,1,ray_task_k8,20260731,1131,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,2,1131:row:1000002,1131:batch:1,1000002,default,task-0,0,62,512,290,449,endpoint_request,511,stop,77745dfdc2774d38,completed,,1785066182.9786592,1785066183.0209434,1785066183.0231192,1785066185.3501554,1785066215.7947052,0.042284250259399414,2.327036142349243,30.442444801330566,backend,32.81604599952698,replayed_arrival,submission,180.0,True
3,vllm_graph_gate_64_20260726,formal,1,ray_task_k8,20260731,1131,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,3,1131:row:1000003,1131:batch:1,1000003,default,task-0,0,90,512,127,179,endpoint_request,269,stop,a659f76f1324db81,completed,,1785066183.012159,1785066183.0209434,1785066183.0231192,1785066185.3501554,1785066215.7947052,0.008784294128417969,2.327036142349243,30.442444801330566,backend,32.782546043395996,replayed_arrival,submission,180.0,True
3,vllm_graph_gate_64_20260726,formal,1,ray_task_k8,20260731,1131,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,4,1131:row:1000004,1131:batch:1,1000004,default,task-0,0,4,512,50,60,endpoint_request,64,stop,5ebb4cd922644752,completed,,1785066183.0209434,1785066183.0209434,1785066183.0231192,1785066185.3501554,1785066215.7947052,0.0,2.327036142349243,30.442444801330566,backend,32.77376174926758,replayed_arrival,submission,180.0,True
3,vllm_graph_gate_64_20260726,formal,1,ray_task_k8,20260731,1131,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,5,1131:row:1000005,1131:batch:2,1000005,default,task-0,0,5,512,26,33,endpoint_request,38,stop,63b90a1229052208,completed,,1785066183.0361593,1785066183.084115,1785066183.0862327,1785066185.4203334,1785066215.4704738,0.04795575141906738,2.3341007232666016,30.04837465286255,backend,32.434314489364624,replayed_arrival,submission,180.0,True
3,vllm_graph_gate_64_20260726,formal,1,ray_task_k8,20260731,1131,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,6,1131:row:1000006,1131:batch:2,1000006,default,task-0,0,266,512,273,356,endpoint_request,622,stop,31c017e504f691cb,completed,,1785066183.0501592,1785066183.084115,1785066183.0862327,1785066185.4203334,1785066215.4704738,0.03395581245422363,2.3341007232666016,30.04837465286255,backend,32.42031455039978,replayed_arrival,submission,180.0,True
3,vllm_graph_gate_64_20260726,formal,1,ray_task_k8,20260731,1131,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,7,1131:row:1000007,1131:batch:2,1000007,default,task-0,0,16,512,303,420,endpoint_request,436,stop,dc990017302d002a,completed,,1785066183.0531592,1785066183.084115,1785066183.0862327,1785066185.4203334,1785066215.4704738,0.030955791473388672,2.3341007232666016,30.04837465286255,backend,32.417314529418945,replayed_arrival,submission,180.0,True
3,vllm_graph_gate_64_20260726,formal,1,ray_task_k8,20260731,1131,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,8,1131:row:1000008,1131:batch:3,1000008,default,task-0,0,17,512,45,55,endpoint_request,72,stop,ceec92194ed7ee15,completed,,1785066183.1246593,1785066183.1773868,1785066183.1786435,1785066185.5205867,1785066212.4577634,0.052727460861206055,2.3419432640075684,26.934987545013428,backend,29.333104133605957,replayed_arrival,submission,180.0,True
3,vllm_graph_gate_64_20260726,formal,1,ray_task_k8,20260731,1131,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,9,1131:row:1000009,1131:batch:4,1000009,default,task-0,0,5,512,160,224,endpoint_request,229,stop,84c3b3ae00cf1180,completed,,1785066183.1871593,1785066183.2385402,1785066183.2421875,1785066185.5827143,1785066216.3164515,0.05138087272644043,2.340526819229126,30.72939968109131,backend,33.129292249679565,replayed_arrival,submission,180.0,True
