status,experiment_id,phase,repeat_index,scenario_id,random_seed,server_version,pgvector_version,gpu_metrics_status,gpu_name,gpu_utilization_pct,gpu_memory_used_mib,gpu_memory_total_mib,gpu_power_w,database_trigger,job_id,operator,seed_workload,executor,strategy,data_source,source_workload_name,source_order,organizer,organizer_partition_mode,organizer_partitions,daft_runner,organizer_partition_effective,model_backend,model_endpoint_url,model_name,model_request_timeout_s,total_rows,written_rows,db_fetch_rows,ray_batch_rows,batching_policy,token_budget,embedding_dim,embedding_vector_dim,completion_max_tokens,output_cost_mode,output_cost_source,packing_cost_unit,cost_model_id,cost_tokenizer_id,packing_algorithm,packing_scope,packing_budget_utilization_mean,packing_budget_utilization_p95,packing_oversized_rows,packing_input_rows,packing_batch_count,batch_estimated_cost_units_p50,batch_estimated_cost_units_p95,batch_estimated_cost_units_p99,batch_estimated_cost_units_max,model_workers,max_inflight_limit,endpoint_routing,pool_routing,endpoint_pool_ids,endpoint_gpu_ids,long_request_token_threshold,scheduling_policy,adaptive_min_inflight,adaptive_max_inflight,controller_min_window,controller_max_window,adaptive_sample_interval_s,adaptive_downshifts,adaptive_upshifts,adaptive_limit_mean,control_trace_path,control_trace_events,arrival_replay,arrival_time_scale,arrival_replay_preload,flush_policy,flush_timeout_ms,flush_max_wait_ms,flush_trace_output,flush_trace_path,flush_trace_events,submission_trace_path,submission_trace_events,resource_trace_path,resource_trace_events,resource_sample_interval_s,resource_metrics_status,gpu_utilization_pct_mean,gpu_utilization_pct_p50,gpu_utilization_pct_p95,gpu_utilization_pct_max,gpu_utilization_below_10pct_ratio,gpu_memory_used_mib_mean,gpu_memory_used_mib_max,gpu_memory_utilization_pct_mean,gpu_memory_utilization_pct_max,gpu_power_w_mean,gpu_power_w_max,gpu_energy_j,energy_j_per_1k_observed_tokens,vllm_running_mean,vllm_running_p50,vllm_running_p95,vllm_running_max,vllm_waiting_mean,vllm_waiting_p50,vllm_waiting_p95,vllm_waiting_max,vllm_kv_cache_usage_mean,vllm_kv_cache_usage_p50,vllm_kv_cache_usage_p95,vllm_kv_cache_usage_max,mfu_estimation_method,mfu_time_basis,model_flops_per_token,gpu_peak_tflops,mfu_precision,mfu_status,mfu_estimate,request_trace_path,request_trace_events,request_e2e_s_p50,request_e2e_s_p95,request_e2e_s_p99,request_slo_target_ms,request_slo_violation_ratio,request_slo_goodput_per_s,latency_granularity,writeback_mode,write_batch_rows,object_count,operator_invocations,max_inflight_seen,token_count,batch_rows_min,batch_rows_max,batch_rows_mean,batch_tokens_min,batch_tokens_max,batch_tokens_mean,batch_tokens_p50,batch_tokens_p95,batch_service_s_p50,batch_service_s_p95,batch_service_s_p99,vllm_metrics_status,vllm_prompt_tokens_delta,vllm_generation_tokens_delta,vllm_request_success_delta,vllm_estimated_flops_per_gpu_delta,vllm_e2e_request_latency_mean_s,vllm_request_queue_time_mean_s,vllm_request_inference_time_mean_s,vllm_request_prefill_time_mean_s,vllm_request_decode_time_mean_s,vllm_num_requests_running_after,vllm_num_requests_waiting_after,vllm_kv_cache_usage_perc_after,db_fetch_s,arrow_build_s,source_fetch_s,organizer_from_arrow_s,organizer_plan_s,organizer_collect_s,organization_policy_family,batch_prompt_token_spread_mean,prefix_group_ratio,organizer_warnings,model_service_s,model_request_wall_s,operator_wall_s,submit_s,bounded_wait_s,avg_bounded_wait_s,fanin_s,writeback_s,e2e_s,rows_per_s,tokens_per_s
ok,row_cap_aware_packing_512_nocache_targeted_screen_20260726,formal,1,r64_b6144_bfd,20260726,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,snapshot,NVIDIA GeForce RTX 5070,6,9865,12227,41.51,job_table,989,ai_complete,synthetic,ray_task,coalesced,daft_postgres,sharegpt_burstgpt,doc_id,daft,none,0,native,true,compatible_http,http://localhost:8000/v1/completions,qwen2.5-1.5b,180.0,512,0,512,64,best_fit_token_budget,6144,128,128,16,fixed_output_cap,backend_completion_cap,tokens,qwen2.5-1.5b,qwen2.5-1.5b,best_fit_decreasing,organizer_input,0.718058,1.0,0,512,16,6141.0,6144.0,6144.0,6144,2,8,round_robin,none,default,0,0,static,0,0,0,0,0,0,0,8.0,,0,False,1.0,,immediate,25.0,50.0,experiments\results\row_cap_aware_packing_512_20260726\nocache_targeted_screen\000_formal_1_r64_b6144_bfd.flush.csv,,0,experiments\results\row_cap_aware_packing_512_20260726\nocache_targeted_screen\000_formal_1_r64_b6144_bfd.submissions.csv,16,experiments\results\row_cap_aware_packing_512_20260726\nocache_targeted_screen\000_formal_1_r64_b6144_bfd.resources.csv,24,0.25,ok,59.583333333333336,97.0,98.0,98.0,0.4166666666666667,10161.333333333334,11221.0,83.10569504648183,91.77230718900793,100.73,154.92,774.1705786013601,10.971494268889206,57.791666666666664,11.0,249.0,254.0,35.291666666666664,11.0,133.0,143.0,0.06859122095949562,0.030596837002304644,0.16800445044901857,0.17364698402606693,vllm_estimated_flops_per_gpu_delta,operator_wall_s,0.0,61.7,bf16_dense_fp32_accumulate,ok,0.4527893685215996,experiments\results\row_cap_aware_packing_512_20260726\nocache_targeted_screen\000_formal_1_r64_b6144_bfd.requests.csv,512,7.444778,7.635719,7.635719,10000.0,0.0,64.039476,submission,none,0,16,16,8,70562,4,64,32.0,136,6144,4410.125,6141.0,6144.0,2.097998,3.959632,3.959632,ok,62396,8166,512,194398676189184.0,1.615534,0.559146,0.985796,0.188309,0.797487,0,0,0.0,0.456038,0.0,0.456038,0.000695,1.6e-05,0.039859,none,351.5,0.048828,,36.161927,4.883539,6.95844,0.014452,6.207648,0.775956,0.003347,1e-05,7.995069,64.039,8825.69
ok,row_cap_aware_packing_512_nocache_targeted_screen_20260726,formal,1,r32_b6144_bfd,20260726,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,snapshot,NVIDIA GeForce RTX 5070,6,11221,12227,41.99,job_table,990,ai_complete,synthetic,ray_task,coalesced,daft_postgres,sharegpt_burstgpt,doc_id,daft,none,0,native,true,compatible_http,http://localhost:8000/v1/completions,qwen2.5-1.5b,180.0,512,0,512,32,best_fit_token_budget,6144,128,128,16,fixed_output_cap,backend_completion_cap,tokens,qwen2.5-1.5b,qwen2.5-1.5b,best_fit_decreasing,organizer_input,0.522224,1.0,0,512,22,1835.0,6144.0,6144.0,6144,2,8,round_robin,none,default,0,0,static,0,0,0,0,0,0,0,8.0,,0,False,1.0,,immediate,25.0,50.0,experiments\results\row_cap_aware_packing_512_20260726\nocache_targeted_screen\001_formal_1_r32_b6144_bfd.flush.csv,,0,experiments\results\row_cap_aware_packing_512_20260726\nocache_targeted_screen\001_formal_1_r32_b6144_bfd.submissions.csv,22,experiments\results\row_cap_aware_packing_512_20260726\nocache_targeted_screen\001_formal_1_r32_b6144_bfd.resources.csv,25,0.25,ok,53.6,95.0,98.0,98.0,0.48,11272.6,11649.0,92.19432403696736,95.27275701316758,102.994,156.01,824.9525190019608,11.687197447113602,51.04,12.0,213.0,256.0,19.2,0.0,67.0,71.0,0.061937534769132954,0.034332035285702944,0.16689183819438924,0.16927600731145198,vllm_estimated_flops_per_gpu_delta,operator_wall_s,0.0,61.7,bf16_dense_fp32_accumulate,ok,0.44478832734259477,experiments\results\row_cap_aware_packing_512_20260726\nocache_targeted_screen\001_formal_1_r32_b6144_bfd.requests.csv,512,7.453228,7.759619,7.81367,10000.0,0.0,62.877688,submission,none,0,22,22,8,70586,4,32,23.272727,289,6144,3208.454545,1835.0,6144.0,0.919288,3.618763,3.796167,ok,62396,8190,512,194463196250112.0,1.250479,0.2975,0.899942,0.157065,0.742877,0,0,0.0,0.508267,0.0,0.508267,0.000739,1.6e-05,0.042539,none,254.818,0.064453,,37.438292,4.934807,7.085963,0.020371,6.700722,0.478623,0.005087,1.3e-05,8.142793,62.878,8668.524
ok,row_cap_aware_packing_512_nocache_targeted_screen_20260726,formal,1,r64_b6144_rowcap,20260726,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,snapshot,NVIDIA GeForce RTX 5070,6,11649,12227,42.69,job_table,991,ai_complete,synthetic,ray_task,coalesced,daft_postgres,sharegpt_burstgpt,doc_id,daft,none,0,native,true,compatible_http,http://localhost:8000/v1/completions,qwen2.5-1.5b,180.0,512,0,512,64,row_cap_aware_token_budget,6144,128,128,16,fixed_output_cap,backend_completion_cap,tokens,qwen2.5-1.5b,qwen2.5-1.5b,row_cap_aware_best_fit_decreasing,organizer_input,0.718058,1.0,0,512,16,6135.0,6144.0,6144.0,6144,2,8,round_robin,none,default,0,0,static,0,0,0,0,0,0,0,8.0,,0,False,1.0,,immediate,25.0,50.0,experiments\results\row_cap_aware_packing_512_20260726\nocache_targeted_screen\002_formal_1_r64_b6144_rowcap.flush.csv,,0,experiments\results\row_cap_aware_packing_512_20260726\nocache_targeted_screen\002_formal_1_r64_b6144_rowcap.submissions.csv,16,experiments\results\row_cap_aware_packing_512_20260726\nocache_targeted_screen\002_formal_1_r64_b6144_rowcap.resources.csv,24,0.25,ok,55.625,36.0,98.0,98.0,0.375,11649.0,11649.0,95.27275701316758,95.27275701316758,102.66333333333334,156.84,795.7686813855172,11.275024531518563,57.208333333333336,10.0,246.0,251.0,34.958333333333336,21.0,123.0,131.0,0.06794550849029113,0.029643169355479615,0.16871970118413737,0.17118334260510215,vllm_estimated_flops_per_gpu_delta,operator_wall_s,0.0,61.7,bf16_dense_fp32_accumulate,ok,0.44909226750712744,experiments\results\row_cap_aware_packing_512_20260726\nocache_targeted_screen\002_formal_1_r64_b6144_rowcap.requests.csv,512,7.555085,7.747351,7.747351,10000.0,0.0,63.128629,submission,none,0,16,16,8,70578,4,64,32.0,119,6144,4411.125,6135.0,6144.0,1.978952,4.010285,4.010285,ok,62396,8182,512,194599852621824.0,1.604019,0.542991,0.988987,0.188404,0.800583,0,0,0.0,0.479082,0.0,0.479082,0.00062,2e-05,0.04124,none,362.625,0.050781,,36.452585,4.888274,7.022985,0.015413,6.27068,0.783835,0.003668,1e-05,8.110425,63.129,8702.134
ok,row_cap_aware_packing_512_nocache_targeted_screen_20260726,formal,1,r32_b8192_rowcap,20260726,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,snapshot,NVIDIA GeForce RTX 5070,6,11649,12227,43.13,job_table,992,ai_complete,synthetic,ray_task,coalesced,daft_postgres,sharegpt_burstgpt,doc_id,daft,none,0,native,true,compatible_http,http://localhost:8000/v1/completions,qwen2.5-1.5b,180.0,512,0,512,32,row_cap_aware_token_budget,8192,128,128,16,fixed_output_cap,backend_completion_cap,tokens,qwen2.5-1.5b,qwen2.5-1.5b,row_cap_aware_best_fit_decreasing,organizer_input,0.430835,0.999878,0,512,20,1471.0,8191.0,8192.0,8192,2,8,round_robin,none,default,0,0,static,0,0,0,0,0,0,0,8.0,,0,False,1.0,,immediate,25.0,50.0,experiments\results\row_cap_aware_packing_512_20260726\nocache_targeted_screen\003_formal_1_r32_b8192_rowcap.flush.csv,,0,experiments\results\row_cap_aware_packing_512_20260726\nocache_targeted_screen\003_formal_1_r32_b8192_rowcap.submissions.csv,20,experiments\results\row_cap_aware_packing_512_20260726\nocache_targeted_screen\003_formal_1_r32_b8192_rowcap.resources.csv,24,0.25,ok,55.75,96.0,98.0,98.0,0.4583333333333333,11649.0,11649.0,95.27275701316758,95.27275701316758,104.24791666666667,156.77,807.3539647841453,11.439983630909063,52.291666666666664,10.0,200.0,255.0,37.791666666666664,0.0,125.0,133.0,0.06406129963707648,0.030596837002304644,0.1669713104982914,0.16784550584121438,vllm_estimated_flops_per_gpu_delta,operator_wall_s,0.0,61.7,bf16_dense_fp32_accumulate,ok,0.45646741412016806,experiments\results\row_cap_aware_packing_512_20260726\nocache_targeted_screen\003_formal_1_r32_b8192_rowcap.requests.csv,512,7.206089,7.534317,7.579279,10000.0,0.0,64.541093,submission,none,0,20,20,8,70573,6,32,25.6,289,8192,3528.65,1471.0,8191.0,0.913058,3.788663,3.931719,ok,62396,8177,512,194415986933760.0,1.553606,0.609597,0.8851,0.171987,0.713114,0,0,0.0,0.441089,0.0,0.441089,0.000567,1.6e-05,0.040203,none,270.25,0.0625,,36.382063,4.804732,6.902987,0.017716,6.508495,0.542375,0.004632,9e-06,7.93293,64.541,8896.208
ok,row_cap_aware_packing_512_nocache_targeted_screen_20260726,formal,1,r16_b6144_seq,20260726,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,snapshot,NVIDIA GeForce RTX 5070,6,11649,12227,42.58,job_table,993,ai_complete,synthetic,ray_task,coalesced,daft_postgres,sharegpt_burstgpt,doc_id,daft,none,0,native,true,compatible_http,http://localhost:8000/v1/completions,qwen2.5-1.5b,180.0,512,0,512,16,token_budget,6144,128,128,16,fixed_output_cap,backend_completion_cap,tokens,qwen2.5-1.5b,qwen2.5-1.5b,sequential,organizer_input,0.348149,0.85612,0,512,33,1516.0,5260.0,6124.0,6124,2,8,round_robin,none,default,0,0,static,0,0,0,0,0,0,0,8.0,,0,False,1.0,,immediate,25.0,50.0,experiments\results\row_cap_aware_packing_512_20260726\nocache_targeted_screen\004_formal_1_r16_b6144_seq.flush.csv,,0,experiments\results\row_cap_aware_packing_512_20260726\nocache_targeted_screen\004_formal_1_r16_b6144_seq.submissions.csv,33,experiments\results\row_cap_aware_packing_512_20260726\nocache_targeted_screen\004_formal_1_r16_b6144_seq.resources.csv,25,0.25,ok,60.96,97.0,98.0,98.0,0.4,11654.24,11659.0,95.31561298765028,95.35454322401243,102.3424,153.61,825.5550542652607,11.699877471482273,54.08,57.0,128.0,128.0,7.52,0.0,51.0,54.0,0.03945323054915361,0.04156401494079309,0.11078439163951359,0.12246682031312084,vllm_estimated_flops_per_gpu_delta,operator_wall_s,0.0,61.7,bf16_dense_fp32_accumulate,ok,0.4381469294860268,experiments\results\row_cap_aware_packing_512_20260726\nocache_targeted_screen\004_formal_1_r16_b6144_seq.requests.csv,512,6.767236,7.820275,7.820478,10000.0,0.0,62.194091,submission,none,0,33,33,8,70561,1,16,15.515152,646,6124,2138.212121,1516.0,5260.0,1.10059,1.986997,2.084415,ok,62396,8165,512,194531994574848.0,1.141146,0.13651,0.93518,0.182829,0.752351,0,0,0.0,0.48213,0.0,0.48213,0.000588,1.6e-05,0.005133,none,632.97,0.070312,,38.120003,5.08554,7.195916,0.048693,6.829291,0.273172,0.006987,9e-06,8.232293,62.194,8571.245
ok,row_cap_aware_packing_512_nocache_targeted_screen_20260726,formal,1,r32_b8192_bfd,20260726,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,snapshot,NVIDIA GeForce RTX 5070,6,11649,12227,42.64,job_table,994,ai_complete,synthetic,ray_task,coalesced,daft_postgres,sharegpt_burstgpt,doc_id,daft,none,0,native,true,compatible_http,http://localhost:8000/v1/completions,qwen2.5-1.5b,180.0,512,0,512,32,best_fit_token_budget,8192,128,128,16,fixed_output_cap,backend_completion_cap,tokens,qwen2.5-1.5b,qwen2.5-1.5b,best_fit_decreasing,organizer_input,0.430835,1.0,0,512,20,1471.0,8192.0,8192.0,8192,2,8,round_robin,none,default,0,0,static,0,0,0,0,0,0,0,8.0,,0,False,1.0,,immediate,25.0,50.0,experiments\results\row_cap_aware_packing_512_20260726\nocache_targeted_screen\005_formal_1_r32_b8192_bfd.flush.csv,,0,experiments\results\row_cap_aware_packing_512_20260726\nocache_targeted_screen\005_formal_1_r32_b8192_bfd.submissions.csv,20,experiments\results\row_cap_aware_packing_512_20260726\nocache_targeted_screen\005_formal_1_r32_b8192_bfd.resources.csv,25,0.25,ok,57.44,97.0,98.0,98.0,0.44,11649.0,11649.0,95.27275701316758,95.27275701316758,101.5688,155.49,823.3535438740254,11.664214085595644,51.28,8.0,215.0,242.0,36.2,0.0,130.0,134.0,0.0627259000238417,0.029086863228165005,0.1695144242231582,0.1698323134387666,vllm_estimated_flops_per_gpu_delta,operator_wall_s,0.0,61.7,bf16_dense_fp32_accumulate,ok,0.4471591396873608,experiments\results\row_cap_aware_packing_512_20260726\nocache_targeted_screen\005_formal_1_r32_b8192_bfd.requests.csv,512,7.332414,7.702727,7.731854,10000.0,0.0,62.723866,submission,none,0,20,20,8,70588,6,32,25.6,306,8192,3529.4,1471.0,8192.0,0.914643,3.838247,4.022475,ok,62396,8192,512,194473238151168.0,1.562259,0.593917,0.913718,0.172572,0.741146,0,0,0.0,0.446056,0.0,0.446056,0.000603,2.2e-05,0.037763,none,247.7,0.0625,,36.821021,4.825781,7.048758,0.019347,6.625395,0.552116,0.005127,1.2e-05,8.162762,62.724,8647.563
ok,row_cap_aware_packing_512_nocache_targeted_screen_20260726,formal,1,r64_b6144_seq,20260726,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,snapshot,NVIDIA GeForce RTX 5070,6,11648,12227,42.45,job_table,995,ai_complete,synthetic,ray_task,coalesced,daft_postgres,sharegpt_burstgpt,doc_id,daft,none,0,native,true,compatible_http,http://localhost:8000/v1/completions,qwen2.5-1.5b,180.0,512,0,512,64,token_budget,6144,128,128,16,fixed_output_cap,backend_completion_cap,tokens,qwen2.5-1.5b,qwen2.5-1.5b,sequential,organizer_input,0.883764,0.996582,0,512,13,5908.0,6123.0,6123.0,6123,2,8,round_robin,none,default,0,0,static,0,0,0,0,0,0,0,8.0,,0,False,1.0,,immediate,25.0,50.0,experiments\results\row_cap_aware_packing_512_20260726\nocache_targeted_screen\006_formal_1_r64_b6144_seq.flush.csv,,0,experiments\results\row_cap_aware_packing_512_20260726\nocache_targeted_screen\006_formal_1_r64_b6144_seq.submissions.csv,13,experiments\results\row_cap_aware_packing_512_20260726\nocache_targeted_screen\006_formal_1_r64_b6144_seq.resources.csv,25,0.25,ok,53.72,95.0,98.0,98.0,0.48,11648.0,11648.0,95.2645783920831,95.2645783920831,99.5056,151.41,800.3474593567848,11.338293468532681,103.84,116.0,244.0,255.0,45.4,37.0,154.0,207.0,0.07591512357943256,0.06755145831677656,0.17030914726217916,0.1726933163792418,vllm_estimated_flops_per_gpu_delta,operator_wall_s,0.0,61.7,bf16_dense_fp32_accumulate,ok,0.4357697389786956,experiments\results\row_cap_aware_packing_512_20260726\nocache_targeted_screen\006_formal_1_r64_b6144_seq.requests.csv,512,7.409547,7.888678,7.888678,10000.0,0.0,62.098982,submission,none,0,13,13,8,70588,8,64,39.384615,1621,6123,5429.846154,5908.0,6123.0,2.830996,4.403861,4.403861,ok,62396,8192,512,194253044097024.0,2.590859,0.702501,1.790777,0.254852,1.535925,0,0,0.0,0.469933,0.0,0.469933,0.000667,1.7e-05,0.005116,none,1102.077,0.035156,,37.314008,5.042393,7.224796,0.024541,6.096505,1.219301,0.003278,1.2e-05,8.244902,62.099,8561.412
ok,row_cap_aware_packing_512_nocache_targeted_screen_20260726,formal,1,r16_b6144_rowcap,20260726,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,snapshot,NVIDIA GeForce RTX 5070,6,11648,12227,42.10,job_table,996,ai_complete,synthetic,ray_task,coalesced,daft_postgres,sharegpt_burstgpt,doc_id,daft,none,0,native,true,compatible_http,http://localhost:8000/v1/completions,qwen2.5-1.5b,180.0,512,0,512,16,row_cap_aware_token_budget,6144,128,128,16,fixed_output_cap,backend_completion_cap,tokens,qwen2.5-1.5b,qwen2.5-1.5b,row_cap_aware_best_fit_decreasing,organizer_input,0.319137,1.0,0,512,36,661.0,6144.0,6144.0,6144,2,8,round_robin,none,default,0,0,static,0,0,0,0,0,0,0,8.0,,0,False,1.0,,immediate,25.0,50.0,experiments\results\row_cap_aware_packing_512_20260726\nocache_targeted_screen\007_formal_1_r16_b6144_rowcap.flush.csv,,0,experiments\results\row_cap_aware_packing_512_20260726\nocache_targeted_screen\007_formal_1_r16_b6144_rowcap.submissions.csv,36,experiments\results\row_cap_aware_packing_512_20260726\nocache_targeted_screen\007_formal_1_r16_b6144_rowcap.resources.csv,25,0.25,ok,53.52,36.0,98.0,98.0,0.4,11648.0,11648.0,95.2645783920831,95.2645783920831,100.9988,154.86,817.7636538207531,11.586665162242529,35.36,12.0,112.0,112.0,12.96,0.0,61.0,67.0,0.05418103790828896,0.015656043868711778,0.16625605976317248,0.16848128427243103,vllm_estimated_flops_per_gpu_delta,operator_wall_s,0.0,61.7,bf16_dense_fp32_accumulate,ok,0.4288209250331091,experiments\results\row_cap_aware_packing_512_20260726\nocache_targeted_screen\007_formal_1_r16_b6144_rowcap.requests.csv,512,7.404404,7.971052,8.061467,10000.0,0.0,60.778129,submission,none,0,36,36,8,70578,4,16,14.222222,119,6144,1960.5,661.0,6144.0,0.485826,3.476619,3.552752,ok,62396,8182,512,194584529952768.0,0.878138,0.217438,0.622947,0.108689,0.514258,0,0,0.0,0.483769,0.0,0.483769,0.000569,1.6e-05,0.043773,none,151.028,0.089844,,38.995639,5.054399,7.354399,0.030761,7.043676,0.25156,0.00803,1e-05,8.424083,60.778,8378.123
ok,row_cap_aware_packing_512_nocache_targeted_screen_20260726,formal,1,r32_b6144_seq,20260726,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,snapshot,NVIDIA GeForce RTX 5070,6,11648,12227,41.89,job_table,997,ai_complete,synthetic,ray_task,coalesced,daft_postgres,sharegpt_burstgpt,doc_id,daft,none,0,native,true,compatible_http,http://localhost:8000/v1/completions,qwen2.5-1.5b,180.0,512,0,512,32,token_budget,6144,128,128,16,fixed_output_cap,backend_completion_cap,tokens,qwen2.5-1.5b,qwen2.5-1.5b,sequential,organizer_input,0.638274,0.984212,0,512,18,3377.0,6047.0,6047.0,6047,2,8,round_robin,none,default,0,0,static,0,0,0,0,0,0,0,8.0,,0,False,1.0,,immediate,25.0,50.0,experiments\results\row_cap_aware_packing_512_20260726\nocache_targeted_screen\008_formal_1_r32_b6144_seq.flush.csv,,0,experiments\results\row_cap_aware_packing_512_20260726\nocache_targeted_screen\008_formal_1_r32_b6144_seq.submissions.csv,18,experiments\results\row_cap_aware_packing_512_20260726\nocache_targeted_screen\008_formal_1_r32_b6144_seq.resources.csv,25,0.25,ok,61.08,97.0,98.0,98.0,0.4,11648.0,11648.0,95.2645783920831,95.2645783920831,100.768,150.79,813.277705309391,11.523431553352287,89.88,83.0,207.0,256.0,18.16,0.0,71.0,135.0,0.06646109830723992,0.06659779066995153,0.1618056107446555,0.16601764285146625,vllm_estimated_flops_per_gpu_delta,operator_wall_s,0.0,61.7,bf16_dense_fp32_accumulate,ok,0.4453638804156962,experiments\results\row_cap_aware_packing_512_20260726\nocache_targeted_screen\008_formal_1_r32_b6144_seq.requests.csv,512,7.26763,7.745675,7.758099,10000.0,0.0,62.618353,submission,none,0,18,18,8,70576,6,32,28.444444,1319,6047,3920.888889,3375.0,6047.0,2.082817,3.803522,3.803522,ok,62396,8180,512,194465769332736.0,1.971431,0.326637,1.568828,0.241804,1.327024,0,0,0.0,0.476421,0.0,0.476421,0.000876,2.3e-05,0.005817,none,926.667,0.044922,,37.446858,4.98641,7.076899,0.028512,6.554998,0.6555,0.004666,8e-06,8.176517,62.618,8631.549
ok,row_cap_aware_packing_512_nocache_targeted_screen_20260726,formal,1,r32_b6144_rowcap,20260726,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,snapshot,NVIDIA GeForce RTX 5070,6,11648,12227,41.87,job_table,998,ai_complete,synthetic,ray_task,coalesced,daft_postgres,sharegpt_burstgpt,doc_id,daft,none,0,native,true,compatible_http,http://localhost:8000/v1/completions,qwen2.5-1.5b,180.0,512,0,512,32,row_cap_aware_token_budget,6144,128,128,16,fixed_output_cap,backend_completion_cap,tokens,qwen2.5-1.5b,qwen2.5-1.5b,row_cap_aware_best_fit_decreasing,organizer_input,0.522224,1.0,0,512,22,1835.0,6144.0,6144.0,6144,2,8,round_robin,none,default,0,0,static,0,0,0,0,0,0,0,8.0,,0,False,1.0,,immediate,25.0,50.0,experiments\results\row_cap_aware_packing_512_20260726\nocache_targeted_screen\009_formal_1_r32_b6144_rowcap.flush.csv,,0,experiments\results\row_cap_aware_packing_512_20260726\nocache_targeted_screen\009_formal_1_r32_b6144_rowcap.submissions.csv,22,experiments\results\row_cap_aware_packing_512_20260726\nocache_targeted_screen\009_formal_1_r32_b6144_rowcap.resources.csv,25,0.25,ok,57.44,97.0,98.0,98.0,0.44,11648.0,11648.0,95.2645783920831,95.2645783920831,101.8408,154.74,811.9152876365185,11.503801292704788,50.24,13.0,223.0,231.0,17.56,0.0,67.0,71.0,0.0636541365334181,0.030199475482794225,0.16871970118413737,0.171978065644123,vllm_estimated_flops_per_gpu_delta,operator_wall_s,0.0,61.7,bf16_dense_fp32_accumulate,ok,0.44417544296731226,experiments\results\row_cap_aware_packing_512_20260726\nocache_targeted_screen\009_formal_1_r32_b6144_rowcap.requests.csv,512,7.421414,7.809073,7.821439,10000.0,0.0,62.570491,submission,none,0,22,22,8,70578,4,32,23.272727,272,6144,3208.090909,1835.0,6144.0,0.843192,3.785567,3.84145,ok,62396,8182,512,194340298776576.0,1.203461,0.28551,0.859003,0.152065,0.706938,0,0,0.0,0.483166,0.0,0.483166,0.000838,2.3e-05,0.042235,none,261.5,0.066406,,37.420371,4.871061,7.091256,0.020501,6.666207,0.476158,0.005416,1.1e-05,8.182771,62.57,8625.196
