mode,batch_size,repeat_index,wall_s,host_ownership_copy_s,h2d_cuda_s,forward_cuda_s,images_per_s,host_input_bytes,device_input_bytes,logical_h2d_gbps,output_sum,output_norm_error
r2_pageable_fp32,16,1,0.011509677395224571,0.006322167813777924,0.0011647679805755614,0.003943360090255738,1390.1345320624268,9633792,4816896,8.27099659387918,-24.953208923339844,0.0
r0_gpu_resident,16,1,0.003982987254858017,0.0,0.0,0.003946655988693237,4017.0854125844694,0,4816896,,-24.953208923339844,0.0
r1_pinned_fp16,16,1,0.0041731782257556915,0.0,0.00021728000044822694,0.003898240089416504,3834.008310800738,4816896,4816896,22.169072119215873,-24.953208923339844,0.0
r0_gpu_resident,16,2,0.004006389528512955,0.0,0.0,0.00396998405456543,3993.620661727991,0,4816896,,-24.953208923339844,0.0
r1_pinned_fp16,16,2,0.004320209845900536,0.0,0.00021750399470329285,0.004045536041259765,3703.5238034056297,4816896,4816896,22.14624152798181,-24.953208923339844,0.0
r2_pageable_fp32,16,2,0.006122032180428505,0.0005476120859384537,0.0011416959762573242,0.004361343860626221,2613.5112538529806,9633792,4816896,8.438141326889166,-24.953208923339844,0.0
r1_pinned_fp16,16,3,0.004186931997537613,0.0,0.00021731199324131012,0.003909408092498779,3821.4138680565625,4816896,4816896,22.16580837602997,-24.953208923339844,0.0
r2_pageable_fp32,16,3,0.011195341125130653,0.0005454644560813904,0.0011902719736099244,0.009335519790649414,1429.1659201061884,9633792,4816896,8.093773703485674,-24.953208923339844,0.0
r0_gpu_resident,16,3,0.004190994426608086,0.0,0.0,0.004139200210571289,3817.7096820788056,0,4816896,,-24.953208923339844,0.0
r0_gpu_resident,16,4,0.003956565633416176,0.0,0.0,0.003917792081832886,4043.91118015785,0,4816896,,-24.953208923339844,0.0
r1_pinned_fp16,16,4,0.0042691584676504135,0.0,0.00021750399470329285,0.003993088006973266,3747.8112188245395,4816896,4816896,22.14624152798181,-24.953208923339844,0.0
r2_pageable_fp32,16,4,0.012299368157982826,0.006070321425795555,0.0012373440265655517,0.004903935909271241,1300.8798333770749,9633792,4816896,7.785863747805165,-24.953208923339844,0.0
r0_gpu_resident,16,5,0.006018368527293205,0.0,0.0,0.005967584133148194,2658.5277932782374,0,4816896,,-24.953208923339844,0.0
r1_pinned_fp16,16,5,0.006272386759519577,0.0,0.00022390399873256682,0.005969088077545166,2550.8631105562586,4816896,4816896,21.513220073185693,-24.953208923339844,0.0
